term,log_odds,tfd
hi,0.28853992748757606,0.00022732439190725165
everyone,1.301183474279284,0.0009377131166174131
welcome,1.0647000943579685,0.001122414185042055
back,0.2404194632825725,0.004191293475789952
first,0.6276539781399793,0.00866674244146397
code,0.04799222247932885,0.0048448511025233005
academy,2.102333867290414,0.00042623323482609686
channel,0.9631920000456262,0.0012644919299840873
today,1.345573351974596,0.0024863605364855647
project,1.1167116775584964,0.0053421232098204135
continue,-0.04190270765408172,0.00029836326437826776
series,-0.9452108637605976,0.00011366219595362583
make,0.6919191604021794,0.011508297340304615
roblox,4.196815420622696,0.001378154125937713
city,1.1841361438691256,0.0004120254603318936
hope,0.7207613313121646,0.0010371675380768356
enjoy,-0.6716120758841082,4.2623323482609685e-05
fourth,1.522525737470825,0.00042623323482609686
part,1.3264660140535731,0.005143214366901568
learning,-1.3454659348693616,0.00018470106842464196
implement,-1.913381584334523,4.2623323482609685e-05
vehicle,1.5338992754698664,0.00019890884291884518
ill,0.3945693229835256,0.004546487838145033
giving,-0.4989322780597815,0.00015628551943623552
suggestion,-0.7844120802377452,2.8415548988406457e-05
type,0.11113907965351098,0.0033956581041145713
add,0.9506205399807882,0.009576040009092976
look,-0.09250720773361776,0.0040918390543305296
lively,4.184168064949626,5.6831097976812913e-05
let,-0.18653434367602467,0.01395203455330757
get,-0.4655861157523981,0.005043759945442146
last,0.2754914209420396,0.0015628551943623551
week,-0.9780391340739333,0.00011366219595362583
added,0.6126707481556636,0.0008950897931348033
couple,0.09002322836823054,0.00046885655830870653
road,2.574953298314337,0.0007103887247101614
test,-0.668071823031432,0.0006677654012275517
see,-0.2806779666299921,0.008027392589224823
best,-1.7908528039420974,7.103887247101614e-05
option,0.9530458620470141,0.0019748806546942485
beside,0.23427954375679633,1.4207774494203228e-05
bridge,3.1604007480133918,0.0005256876562855195
loop,0.11034482789543987,0.0015344396453739486
around,0.4670650868284289,0.0014776085473971357
parking,3.7010009004806137,0.00012786997044782905
lot,-1.1353197269639597,0.000681973175721755
thats,-0.46102504076352463,0.004688565583087065
put,0.7822795009542206,0.00585360309161173
im,0.8129474615380852,0.02899806774266879
one,0.21574818375905705,0.01518811093430325
work,-1.0096010237001443,0.001193453057513071
still,-0.6660666430750226,0.0006251420777449421
since,0.5805069463217732,0.001307115253466697
element,-0.6561376790995062,0.0009092975676290066
push,-0.449466382193859,0.00018470106842464196
little,0.20472203684883736,0.003068879290747897
bit,0.2528936057467048,0.0029836326437826777
behind,-0.023839026798727903,0.00019890884291884518
doesnt,-0.35509610698421606,0.0008240509206637872
interfere,2.806461783893534,4.2623323482609685e-05
main,-0.289853815080008,0.0006535576267333485
moved,0.4593413398763505,0.00012786997044782905
pawn,1.6719712075605226,4.2623323482609685e-05
dont,-0.4402795417039137,0.0033388270061377586
really,-1.1619135359222885,0.0013213230279609002
need,-0.17064393647122836,0.005981473062059559
putting,-0.08918270521091666,0.00017049329393043874
car,0.6631804756063155,0.0006535576267333485
start,0.7034660281894919,0.00545578540577404
cool,-1.1914102455943398,0.00031257103887247104
fast,-0.26549792727564087,0.00019890884291884518
tesla,0.648981648918034,2.8415548988406457e-05
noble,2.603303524959581,1.4207774494203228e-05
leave,0.4520322782897808,0.0007245964992043647
usually,-0.23509439284887237,0.0002557399408956581
normal,0.44366726526921335,0.00038360991134348715
size,0.8304745908323722,0.0023300750170493294
unless,-0.4957436952409109,5.6831097976812913e-05
theyre,-0.5670333351969623,0.0005825187542623324
big,0.38740169990312034,0.0008382586951579905
small,-0.16172563978987708,0.0003409865878608775
case,-0.8724233932703865,0.0008666742441463969
lamborghini,4.052398787318502,2.8415548988406457e-05
take,0.046955185999411446,0.003353034780631962
load,-0.39749542468967747,0.00028415548988406454
script,0.5676321600011779,0.0011650375085246647
inside,0.3936710267522864,0.003736644691975449
tiny,-0.14381535584825877,7.103887247101614e-05
comparison,-0.7547140121736595,2.8415548988406457e-05
monster,-0.08688051261060167,7.103887247101614e-05
truck,0.9141478501397519,4.2623323482609685e-05
scary,0.013253774451017115,1.4207774494203228e-05
imagine,-0.1344911935145811,0.00017049329393043874
crashed,1.1316295522379665,2.8415548988406457e-05
crush,1.5012190105807224,2.8415548988406457e-05
two,0.43681218777025305,0.0068765628551943625
together,0.046318342619422956,0.000497272107297113
kind,-1.0821999518943632,0.001065583087065242
know,-1.2083441636140995,0.0019606728802000453
wont,-0.3458711762814296,0.00029836326437826776
survive,1.680820822837505,4.2623323482609685e-05
curious,-0.20624882619487492,4.2623323482609685e-05
future,-0.9638012417935833,9.945442145942259e-05
also,0.10178501774304266,0.005512616503750852
quite,-0.700780810474765,0.00024153216640145488
think,-1.6351588445705512,0.000681973175721755
barely,0.8020242953909306,2.8415548988406457e-05
fit,0.49705072582908855,0.0002699477153898613
space,0.5602019617838172,0.0016054785178449649
five,0.7184527296906182,0.0022732439190725163
try,-0.43807297892848834,0.00136394635144351
besides,-0.5255143897125764,2.8415548988406457e-05
example,-1.2779423870044337,0.0006961809502159581
spare,1.3151494315240297,1.4207774494203228e-05
dry,0.482344578439393,1.4207774494203228e-05
seed,-0.7621915842521937,1.4207774494203228e-05
body,0.020236128805942062,0.0004404410093203001
master,-1.8499309177216428,1.4207774494203228e-05
