term,log_odds,tfd
welcome,1.0022765447820965,0.001048476214568161
back,0.884562965212768,0.007905177808252006
guy,1.0575683571572514,0.006277543303731909
kid,2.151346631232529,0.001091746661518593
playground,3.1200084323986905,0.0009053508900398089
today,1.171507749157453,0.002066995965862946
another,0.5432899384619563,0.0035415196580968994
video,0.08686433807429819,0.003381751853972227
normal,-0.2730351592225636,0.00018972426739804818
scratch,2.2491231729863856,0.002030382510751042
python,-1.221044697295899,0.0003561490633612483
either,0.02373092985605686,0.0005259023552437125
grip,1.4211143995009563,2.9956463273376027e-05
patch,1.151294343070849,0.00012315434901276812
didnt,-0.0606875048608417,0.0007322691022380807
know,-0.23167323712956667,0.0052257385932444845
gross,-0.29350318041252305,3.328495919264003e-06
batch,-2.154750244092765,6.656991838528006e-06
made,0.6032855918573453,0.0013613548309789772
link,-1.0853727620292313,0.0003661345511190403
description,-0.30677324388497623,0.0003528205674419843
go,0.5055449493349717,0.01853306527846197
channel,0.8560702088826961,0.001131688612549761
u,-0.4658954266314422,0.0015777070657311374
chris,-1.9859927504505024,3.328495919264003e-06
he,1.334990052474316,0.0007855250369463047
good,-0.17329704546655164,0.0018406582433529936
coder,-0.9292146844069838,9.98548775779201e-06
havent,0.18741000911622324,0.0005159168674859205
seen,-1.1420779948577964,0.0001164973571742401
game,1.4920474413102773,0.008537592032912168
see,0.2475992386581856,0.01358692034243566
theyre,-0.5621054864797977,0.0005924722736289925
really,-0.5445932773643867,0.0024664154761746262
fun,-0.3458275536242787,0.0002496371939448002
pretty,0.5083137688557052,0.002326618647565538
let,0.25740074627974946,0.021698464897682037
get,0.3179759556865819,0.011013992996844586
griff,2.8724405811189104,5.3255934708224047e-05
similar,0.12446029604556168,0.0004493469491006404
kick,1.31060341703298,0.00013313983677056012
ball,2.3656652540046452,0.0017374748698558095
remember,0.11726873784617482,0.001041819222729633
dont,0.10684004187875057,0.005771611924003781
try,0.11721089358088033,0.0023832030781930262
home,-0.7976378391746892,0.00017308178780172815
dangerous,0.01904021614271578,1.6642479596320015e-05
dance,1.5242526947088286,0.00013646833268982412
middle,0.9704312353292764,0.0006224287369023685
road,-0.38165688990029756,3.661345511190403e-05
kicking,1.3090853901760027,1.3313983677056012e-05
bus,1.023703151178697,6.324142246601605e-05
bounce,2.5955282690120924,0.0005125883715666565
around,0.8744344312591564,0.002206792794472034
kind,-0.042665160699292666,0.0030289312865302426
satisfying,-0.28438961277740826,6.656991838528006e-06
something,-0.22358847522437128,0.0029390618967101148
knock,1.1905606797841448,3.661345511190403e-05
tour,-1.2954985939973649,3.328495919264003e-06
anyways,0.937689775050986,0.0004193904858272644
start,0.9457505293844576,0.006883329561037958
already,0.36238406573500653,0.00208696694137853
new,0.28884900319914875,0.0040407940459865
project,0.4175729086724798,0.0026561397435726744
first,0.06381136849148059,0.00493948794418778
thing,-0.1795843599434839,0.005405477372884741
im,-0.2822871259465585,0.009742507555685736
ask,-0.22667087434960234,0.00036946304703830435
share,1.4187827010470453,0.001228214994208417
subscribe,1.707145937285634,0.001268156945239585
thats,0.09184455713920399,0.00814815801035828
please,1.1517847286463274,0.0013946397901716172
name,-0.685606550470433,0.0019504986086887057
there,-0.03954837311874883,0.0026827677109267866
physic,-0.25886557140692495,6.989841430454407e-05
extension,-0.6939655070907422,0.00011316886125497611
click,0.6733716429510597,0.004576681888988004
expansion,-0.46024000618977945,3.328495919264003e-06
normally,-0.4752986152392725,7.988390206233608e-05
translate,-1.6292274437050398,1.3313983677056012e-05
text,-1.3253919249200936,0.0005059313797281284
speech,-0.24448618639543487,2.329947143484802e-05
pen,2.2564208985012795,0.0007422545899958727
box,0.5586121861473623,0.001125031620711233
bunch,-0.3888600074471771,0.0003661345511190403
block,1.180545269025431,0.0026794392150075222
cool,-0.303816489698902,0.0007755395491885127
show,1.0365953573735533,0.006357427205794246
tried,-0.46812608114724424,6.656991838528006e-05
mean,-0.0027514107913275405,0.0026528112476534105
everything,-0.012845395382672776,0.0013813258064945613
anything,-0.13541823214070525,0.0009120078818783368
want,0.06023250500973846,0.011453354458187435
place,0.07819385868933758,0.0008454379634930567
youve,-1.0458002218211389,0.00018639577147878416
comment,0.47291190486412205,0.0013014419044322253
section,-0.2174371730765611,0.0005225738593244484
beach,2.1140606759919183,7.322691022380806e-05
city,-0.34408581934522964,8.986938982012808e-05
watch,-0.08007232134178717,0.00030289312865302426
two,0.5438344784162761,0.007622255655114566
also,0.14839353044514073,0.005774940419923045
change,1.144976298236497,0.008867113128919303
backdrop,4.452061619109373,0.0029823323436605465
colorful,1.0752145990536728,2.329947143484802e-05
one,0.7413899576116338,0.025482964757885206
used,-0.9557109402785336,0.0004327044695043204
sound,1.9490939985898035,0.0026827677109267866
think,0.14431979785106344,0.004070750509259875
probably,-0.5458365917312031,0.0006490567042564806
number,0.3010305598885762,0.0046232808318577
find,-0.6394413473037687,0.0007688825573499847
music,1.7513070373502966,0.0009186648737168648
forever,3.471561204199098,0.0028525210028092505
play,1.2883739324427061,0.002499700435367266
done,0.5334930024050252,0.002256720233260994
next,0.6987821008956951,0.005405477372884741
code,0.18584908402704092,0.005558588185170885
cat,2.289195946723428,0.0020603389740244176
experimented,1.8326687924737342,9.98548775779201e-06
green,2.3384854387090135,0.003255269009040195
flag,2.9099669102150787,0.0026661252313304666
clicked,3.258970082685328,0.003311853439667683
pointing,1.245450938771576,0.0004560039409391684
direction,1.5133628680016393,0.0017874023086447697
point,0.24967834208356082,0.0026561397435726744
side,0.764095875139298,0.0017774168208869775
called,0.07424111713069628,0.0024597584843360984
x,0.754634628088576,0.004463513027733028
world,-1.0852012209601365,0.00020303825107510418
little,0.9299285036559832,0.006274214807812646
bit,0.6478566169635993,0.0044069285971055396
coordinate,0.7552196436149162,0.00039276251847315233
negative,2.2391820799048245,0.004746435180870468
zero,1.045347194151299,0.005112569731989509
enable,-1.7918786287223138,1.6642479596320015e-05
sprite,2.829794359769081,0.006670305822205062
theyll,1.4554829682920993,0.0004759749164547524
make,0.8807331615378243,0.013773316113914445
need,-0.034020309008240504,0.0068633585855223745
precision,-1.0398490554266662,6.656991838528006e-06
weve,-1.6326113227995442,0.0002629511776218562
got,0.46004801834850323,0.003651360023432611
loop,0.3252824120358334,0.0019038996658190096
step,0.44731317344094185,0.0013680118228175052
simulation,-2.2405908391711558,3.328495919264003e-06
said,-0.5990271333145131,0.00047930341237401643
still,-0.10303900885627455,0.001108389141114913
simple,-0.11121784995920707,0.0008887084104434888
key,0.34739076309669603,0.002100280925055586
part,0.3631203782156972,0.001967141088285026
itll,2.571773778602278,0.0054420908279966445
push,0.06740055231337537,0.0003195356082493443
force,1.4170855541999852,0.0006856701593683846
bajillion,2.227084064395314,6.656991838528006e-06
care,-1.3492390556442528,7.322691022380806e-05
must,-1.7379893115472744,4.659894286969604e-05
fall,1.849095756621843,0.0006989841430454407
work,0.12805238948307232,0.0037345724214142115
position,1.6404357521354387,0.004999400870734532
touching,4.341074597113433,0.003538191162177635
spin,1.3677952587590285,0.0002196807306714242
ever,-0.6907583548462417,0.00014312532452835213
tennis,3.1825955094227503,0.0001264828449320321
sometimes,-0.13114693791271836,0.0003395065837649283
hit,0.8873863893679483,0.00250302893128653
velocity,0.9260277786228874,0.0003261926000878723
better,0.29483868411076175,0.001138345604388289
went,-0.5247815293882653,0.00017973877964025617
wanted,-0.6855354486110092,0.00037612003887683233
difference,-1.4147738371779701,9.985487757792009e-05
different,-0.16769471472163197,0.002130237388328962
coded,1.152936002964188,0.00014312532452835213
gaming,1.2601239333394545,5.9912926546752054e-05
might,-0.37716847071159726,0.001068447190083745
posting,0.6623009579276303,4.9927438788960046e-05
much,-0.1794950895235772,0.0016342914963586254
app,-3.887584694638885,2.329947143484802e-05
love,-2.297209733170664,3.994195103116804e-05
overall,-0.6939483458956363,3.328495919264003e-05
id,-2.8737796486796947,8.986938982012808e-05
bye,1.1066516977866687,0.00029623613681449627
coming,-0.14195848399553684,0.0003461635756034563
second,1.0515884290736695,0.005002729366653797
post,-1.9308776405796757,0.0001264828449320321
watched,0.1282690716027063,4.659894286969604e-05
rock,2.356538401673734,0.0008354524757352648
monster,2.0618331544291144,0.0006324142246601606
accidentally,1.2175536488964906,0.0001164973571742401
named,-0.7382696446674802,9.652638165865609e-05
saw,-0.3081638266419308,0.00021302373883289619
day,-0.1255544537165227,0.0006590421920142726
spring,0.132585510440249,7.322691022380806e-05
fill,0.4527358117724273,0.0003827770307153603
punxsutawney,5.89064571052496,3.328495919264003e-06
phil,0.48219352915879676,9.98548775779201e-06
whatever,0.44400231287694636,0.0017541173494521295
heck,-1.805112280029801,3.328495919264003e-06
groundhog,3.6934211331887408,6.656991838528006e-06
dude,0.020138875888472543,0.00010318337349718409
would,-1.1556602063141483,0.0012714854411588492
six,1.0035653177440285,0.0013480408473019211
week,-0.4199452118623912,0.0002096952429136322
winter,2.398014122903173,7.655540614307207e-05
heat,-0.5933786515421199,6.656991838528006e-06
summer,-0.5040086308540506,1.6642479596320015e-05
live,-1.1410388150180157,0.00017973877964025617
hot,-0.14505318421659316,5.3255934708224047e-05
wrong,0.40269444554678674,0.0006191002409831046
wonderful,-1.5401525629749286,1.997097551558402e-05
barbecue,2.0839832207546403,9.98548775779201e-06
cooking,0.719025997022881,2.329947143484802e-05
animation,0.2953786016878817,0.0005325593470822405
people,-1.3002179680226387,0.00042604747766579237
decided,0.9326314383846174,0.00019638125923657616
agree,-1.2569135606644937,1.3313983677056012e-05
light,0.3760198137722853,0.00039609101439241635
fire,1.13416342642098,0.0004193904858272644
chat,-1.6724807061107905,0.00010318337349718409
bucket,-1.3011062868979237,3.328495919264003e-05
grill,3.5477093220073472,2.6627967354112023e-05
hold,0.42538563176113275,0.0005558588185170885
drew,2.92844821805754,0.00038943402255388836
put,1.2786309381345249,0.00944627141887124
skewer,4.854553778838184,5.3255934708224047e-05
food,-0.8949419344829692,4.659894286969604e-05
eat,-0.015778907473547217,6.656991838528006e-05
hungry,-0.39087309317985847,6.656991838528006e-06
eating,0.6149741396834025,3.661345511190403e-05
flip,1.5912455126708114,0.00039941951031168037
dump,-0.46604048649022056,1.3313983677056012e-05
teach,-0.1446041779861038,0.00015311081228614414
showcase,-1.0775773152242665,1.3313983677056012e-05
provide,-2.7082556904782997,3.661345511190403e-05
draw,1.239324828638067,0.002126908892409698
teaching,0.1322927087838277,0.00011316886125497611
stick,-0.6673444941964654,6.656991838528006e-05
minute,-0.461430631722084,0.00027626516129891225
stuff,-0.1345067420428259,0.001164973571742401
vlogs,1.9355632156363674,6.656991838528006e-06
artist,-0.9452830155549808,1.997097551558402e-05
color,0.9758008751476674,0.004067422013340612
real,0.6259952771870555,0.0008421094675737928
quick,0.9254011787317018,0.001025176743133313
log,-2.6982064248760884,4.327044695043204e-05
paint,2.2413781899924774,0.0004493469491006404
outline,1.9082748198524029,0.0004892889001318084
look,-0.18100842689435725,0.0037545433969297954
big,0.4276906928139509,0.0008753944267664328
screen,0.06046581547830271,0.001151659588065345
tilt,1.479869662565093,1.3313983677056012e-05
long,-0.3044835791339131,0.00046266093277769644
skinny,2.025142720731707,1.6642479596320015e-05
soap,0.7607469956018869,3.328495919264003e-06
wood,1.729438203073733,7.655540614307207e-05
always,0.16870240095087902,0.0012614999534010572
thick,1.2430548086529167,4.327044695043204e-05
thicker,1.6662480200546619,4.327044695043204e-05
smaller,1.0867234263468184,0.0006889986552876486
silk,2.5096510361803244,6.656991838528006e-06
bigger,0.9777807628198552,0.0006390712164986886
fine,0.16309797603393533,0.0008654089390086408
control,0.7550847060383706,0.001111717637034177
c,-0.5129326788672456,0.0006557136960950086
ctrl,1.9431497859262319,0.0006057862573060485
v,0.1177244630762353,0.0004393614613428484
less,0.6437060082029559,0.0013480408473019211
top,0.06714995725709033,0.001234871986046945
bottom,0.14418696158832278,0.0006224287369023685
fighter,2.284061499137854,3.994195103116804e-05
use,0.05295041637350471,0.006623706879335366
costume,4.452688786370385,0.007602284679598983
copy,-0.14537356868068724,0.001041819222729633
easier,0.04326900746885945,0.0003827770307153603
cube,-1.7787417992770056,1.997097551558402e-05
tall,-0.7458631167536713,9.98548775779201e-06
way,-0.6430840816258997,0.0019238706413345938
ill,0.4082858457061121,0.0045999813604228525
later,0.9229112046564917,0.0015510790983770254
worry,-1.1841838958304376,9.319788573939208e-05
thickness,2.1484817026537524,0.00018306727555952016
line,-0.4197873374389103,0.0014146107656872013
across,-0.516449491298978,0.00011316886125497611
close,-0.7751040095015483,0.0003195356082493443
ready,0.2148805390836179,0.0004193904858272644
god,0.09875596835849233,9.319788573939208e-05
multiple,-0.8282963984267149,0.0002529656898640642
shift,0.974363200276702,0.0004327044695043204
youre,-0.5862103133317348,0.0019571556005272338
oopsies,4.399991334080827,0.00012315434901276812
three,0.6777952101399879,0.00424050380114234
great,-0.7018017458443211,0.0005292308511629765
opinion,0.5389664359297138,8.654089390086408e-05
follow,-0.010398514375268538,0.0003162071123300803
along,-1.3833801448875038,8.986938982012808e-05
thought,-0.4475771255721347,0.00019638125923657616
pull,-1.0766113882215365,0.00010651186941644809
farther,-0.21726764922626857,6.656991838528006e-06
plain,-1.0357803337196734,1.997097551558402e-05
old,0.597975840052183,0.00047264642053548845
loading,-1.7140353155204717,3.328495919264003e-05
ten,1.2990500931129,0.0006290857287408966
cant,-0.1153988183565878,0.0007289406063188166
even,-0.7831436141078955,0.0007089696308032326
hiding,1.3564738900037518,6.656991838528006e-05
longer,-0.10824914652556195,0.00019638125923657616
sure,0.07761913187132138,0.00197046958420429
size,0.5986013596878371,0.0018439867392722577
shorter,0.7299651874844719,8.654089390086408e-05
fruit,2.2776811976701534,0.0005691728021941445
veggie,2.1673648296936916,6.656991838528006e-06
vegetable,0.5496794478295741,9.98548775779201e-06
