term,log_odds,tfd
laughter,1.907536865172295,0.00013885995973061168
hello,0.045893692078456796,0.0007116572936193849
everyone,0.812594889510927,0.0005727973338887732
welcome,0.9221470949222808,0.0009720197181142818
back,-0.8366375557987912,0.0014233145872387697
today,-0.05784954185854505,0.0006075123238214261
start,0.14020129706450818,0.0031069915989724362
learning,0.25215592526989505,0.0009373047281816288
dictionary,1.0544325741677405,0.0007810872734846907
python,0.8515672095541774,0.0028119141845448863
let,0.2972795697332404,0.022616815941123376
u,1.9359417725093018,0.01721863500659585
see,0.252901787275205,0.013677706033465251
initialize,1.2727360949466615,0.0006595848087204055
come,0.18116394503809596,0.0021002568909255018
collection,0.11611439401043605,0.0002950774144275498
special,0.24018873937321175,0.0002603624244948969
type,0.9228913147154055,0.007637297785183642
tell,-0.6126852270085719,0.00041657987919183504
first,0.4129086527959443,0.006995070471429563
consider,2.0104229733571315,0.0009893772130806081
list,0.8006515800992176,0.005207248489897938
e,1.757352029510095,0.0017878219815316253
id,-1.01814572714093,0.0005727973338887732
meaning,0.11258094259369084,0.0002603624244948969
employee,-0.09137389365639018,0.0001735749496632646
im,-3.694444808747416,0.0003124349093938763
element,1.5527801147365905,0.008279525098937722
mean,0.4169853702416879,0.004026938832187739
value,1.1232705717072196,0.013920710962993821
referenced,1.8066892783346513,8.67874748316323e-05
index,2.2034354539032686,0.010709574394223426
number,1.4931607341025959,0.015187808095535653
default,0.13986789868424426,0.0010067347080469347
zero,0.297360207509759,0.002447406790252031
keep,0.7355931628632975,0.002464764285218357
continuing,1.5379834031129267,0.00013885995973061168
reference,0.5340036067236564,0.0007637297785183642
seen,0.33050444222252,0.0005033673540234673
automatically,0.8135756554938217,0.0008158022634173436
given,2.973054865450251,0.007810872734846907
language,1.1008948368893587,0.001996111921127543
instead,0.578017165165848,0.0020655419009928486
square,1.0174941871729544,0.0012670971325418315
bracket,1.4843383362891083,0.001996111921127543
flow,0.11804848074428391,0.00015621745469693814
creator,0.29231910540461187,5.207248489897938e-05
give,1.7314714841429872,0.016125112823717282
called,0.6196914522304328,0.004235228771783656
key,-0.25578307588212407,0.0011455946677775464
name,0.4758979520310772,0.006196625702978546
rahim,7.548817957999201,1.735749496632646e-05
bifurcated,5.814216902611094,6.942997986530584e-05
using,-0.02910932541759939,0.0030028466291744777
colon,0.3566358992859558,0.00027771991946122336
together,-0.008901768124573346,0.0004686523640908144
becomes,2.875374146461288,0.0034194265083663127
item,-0.8235256088026375,0.0005380823439561203
second,0.22865673380026574,0.002221759355689787
murali,6.961031293097082,3.471498993265292e-05
similar,1.4611553005408284,0.001701034506699993
way,-0.4323520160993945,0.0023606193154203986
third,0.853067996354576,0.000867874748316323
giving,2.584655416091379,0.0034888564882316186
al,0.3702724742355013,1.735749496632646e-05
pair,-0.7663035570392569,8.67874748316323e-05
bated,8.396115818386404,5.207248489897938e-05
comma,1.891222655259416,0.0028466291744775394
execute,1.4129213369426172,0.0011803096577101993
want,-1.3007467854693677,0.002933416649309172
eid,3.505766690164651,3.471498993265292e-05
getting,-0.4863199800882315,0.0007290147885857113
create,-0.16935138670049393,0.0033326390335346803
empty,0.4988780444414463,0.0008158022634173436
mentioning,2.123349805791181,0.00013885995973061168
one,0.2528181959736094,0.015760605429424427
flower,0.9196949159489273,8.67874748316323e-05
without,0.825889851584951,0.0010414496979795876
example,1.0172035493177,0.006942997986530584
rcore,7.916542738124519,0.00010414496979795876
n,1.8947874960791047,0.0043740887315142675
ro,1.2778295261409016,1.735749496632646e-05
equal,1.4936827054376285,0.015882107894188712
diction,3.8852563118695547,1.735749496632646e-05
accessing,0.3279565542251249,6.942997986530584e-05
access,0.41720665429959025,0.0014233145872387697
mention,0.8667929062280407,0.0003818648892591821
used,0.11325788277134143,0.0012497396375755051
get,-0.5202142118519221,0.004773311115739777
mural,4.181522128012727,1.735749496632646e-05
case,0.7509586772797591,0.004408803721446921
error,0.5925943608812199,0.002534194265083663
abc,0.9972615458223105,6.942997986530584e-05
changing,0.5962317099082352,0.0003992223842255086
adding,-0.06266169858065113,0.0003818648892591821
new,0.1660850604463703,0.0035756439630632506
learn,0.8822028046984243,0.002221759355689787
insert,-0.5500215408367859,0.00013885995973061168
rore,5.939380045565101,1.735749496632646e-05
inside,0.23154584474435727,0.003176421578837742
wanted,-0.08558660636168065,0.0006769423036867319
add,-0.7371343528934006,0.001770464486565299
samir,3.6901957292981704,3.471498993265292e-05
added,0.20154627199178984,0.0005901548288550996
check,1.0320421604446377,0.005519683399291814
end,0.2536763292727703,0.0020655419009928486
mad,0.712558680722134,1.735749496632646e-05
need,0.08090138037317357,0.007689370270082621
change,0.17218086197351667,0.003402069013399986
mistake,0.16534172918877638,0.00019093244462959106
put,-0.7455530590271588,0.0012670971325418315
updating,-1.3537736793748865,1.735749496632646e-05
thing,-1.5326770964043914,0.0013885995973061168
note,-0.4184820276297369,0.0002950774144275498
duplicated,0.8456298447583384,1.735749496632646e-05
unique,-0.49632150415158394,0.00012150246476428522
remember,0.1712706863379951,0.0010935221828785669
must,0.6319349720445522,0.0005033673540234673
immutable,2.037631868078053,0.00022564743456224398
code,-0.8196629302647057,0.002030826911060196
string,1.7954604821831581,0.010518641949593835
integer,2.136283110861323,0.00421787127681733
also,0.7067478590364171,0.010084704575435673
rav,5.351593380662981,1.735749496632646e-05
accepted,2.597316462065538,0.0002603624244948969
mutable,2.1781799298715385,0.0001735749496632646
