term,log_odds,tfd
hey,0.8810422571208977,0.0014912249850525798
month,-0.036512739485648996,0.00029543136496324693
rolling,0.5904361218618847,4.220448070903528e-05
beginner,-0.3173807443369243,0.00012661344212710582
coding,-0.7009134375411438,0.0003517040059086273
video,-0.09740757924919331,0.0028136320472690185
really,0.6179195882664854,0.007835965251644216
help,-0.30951542020139305,0.0006541694509900468
encourage,0.38895611588468054,9.847712165441564e-05
new,0.10960960800807369,0.0033833925368409947
people,0.7258313541547229,0.003207540533886681
get,0.39858522842495514,0.011950902120775155
whether,-0.9441807452024913,0.00017585200295431366
youre,0.9106800046307388,0.008665986705588576
high,0.6209089142564757,0.0006119649702810115
school,-1.7426129632944183,3.517040059086273e-05
college,-2.022536584727783,7.034080118172546e-06
looking,0.1147760489427883,0.0011043505785530898
better,0.09094570415297396,0.000928498575598776
career,0.3486685367861298,0.00011957936200893328
maybe,-0.2987339247797144,0.001287236661625576
way,0.2800360604786018,0.004818344880948194
take,-0.2809608570850464,0.002419723560651356
care,0.8237757778023611,0.0006471353708718742
family,-0.30443743130895995,7.7374881299898e-05
also,0.10173353045743325,0.005514718812647276
encouraging,0.5542041352914351,7.034080118172546e-06
meantime,0.641480588492027,2.110224035451764e-05
code,-0.1655972436776388,0.003917982625822108
level,0.20988987335220663,0.0009003622551260859
learn,1.6187696678928147,0.004593254317166673
technology,0.6876301556884669,0.00028839728484507436
enjoy,0.5332924594933154,0.00016178384271796855
learning,0.54882919282677,0.0012661344212710583
curve,-0.07371415475591846,7.7374881299898e-05
pain,0.9399428399729614,7.034080118172546e-05
give,0.3254764401498856,0.003974255266767489
guy,-0.1158635645333005,0.001969542433088313
little,0.46011784403048556,0.003960187106531144
bit,-0.18222284878284845,0.0019343720324974502
extra,0.059358817007687734,0.00023915872401786655
encouragement,1.0650297590574256,1.4068160236345092e-05
incentive,1.2218294470562607,1.4068160236345092e-05
giving,0.08249104267715468,0.00028839728484507436
away,0.8149610487825212,0.0008933281750079133
beautiful,-0.024770913025229414,0.0002110224035451764
dot,-0.5015102187062968,0.001856997151197552
keyboard,2.075483520018062,0.000991805296662329
ultimate,1.0964644025561043,5.627264094538037e-05
yes,-0.4131853893550018,0.0005697604895719763
reached,-0.20966602099324444,3.517040059086273e-05
awesome,0.7616101503331679,0.0012661344212710583
adopt,0.23802055270743955,7.034080118172546e-06
long,0.2046648309388955,0.0007667147328808075
since,-0.32818970535821723,0.000527556008862941
loved,-0.26350576791027264,1.4068160236345092e-05
admired,4.446024433402061,7.034080118172546e-06
mechanical,2.9366699795249436,0.00011957936200893328
said,-0.42108519818517437,0.0005697604895719763
would,-0.32007758295501626,0.0029191432490416067
provide,-1.7237065246326582,9.847712165441564e-05
one,-0.07060340051697966,0.011416312031794043
coder,1.5025342209102064,0.00012661344212710582
thats,0.7126286304316355,0.015109204093834629
paraphrase,3.2092618062531346,7.034080118172546e-06
something,-0.21214232929212637,0.0029683818098688143
anyway,0.08086459894007597,0.0002461928041360391
notice,0.7711770255868012,0.0012942707417437484
there,0.5011819883917856,0.004593254317166673
key,0.1521254171447883,0.0017303837090704463
cap,0.047783804993360594,4.220448070903528e-05
inscription,4.697338861682968,7.034080118172546e-06
let,0.19449677679461924,0.020405866422818556
tell,0.09461481374063493,0.0008581577744170506
story,-1.3819403111525537,3.517040059086273e-05
da,1.231368024076569,6.330672106355291e-05
came,0.034332145017707656,0.0001828860830724862
owner,-2.1115427529617508,7.034080118172546e-06
founder,-0.3066074442624915,7.034080118172546e-06
created,-0.023211049469047167,0.0009425667358351212
blank,-0.371565340537264,9.14430415362431e-05
wanted,-0.4998724918536896,0.00045018112756304294
type,-0.46446495048491065,0.0019132697921429324
got,0.667078699816842,0.004494777195512257
within,-0.3684616054839878,0.0005838286498083213
week,-0.30940828634555,0.000232124643899694
typing,-0.010298445302834549,0.00016881792283614112
double,-0.8671815456397257,0.00020398832342700385
speed,-0.9821746558019756,0.00012661344212710582
friend,2.404999017319573,0.002574473323251152
mean,-0.43404277752146603,0.0017233496289522738
born,-0.4443246948196921,7.034080118172546e-06
web,1.5849474080762902,0.003545176379558963
developer,1.195681389993267,0.0017303837090704463
development,1.1110562181052397,0.0009496008159532937
dont,0.07747642087719046,0.005606161854183519
touch,0.1285363198657513,0.00016178384271796855
meaning,-1.5198373648449341,4.923856082720782e-05
typed,-0.5519383094404279,4.923856082720782e-05
sense,0.10151137448221481,0.0005556923293356311
feel,0.844417790390586,0.0010973164984349171
knowledge,-1.209877719462829,4.220448070903528e-05
want,0.0048319496630278656,0.010839517462103893
hard,-0.4641109411603705,0.0002602609643723842
honestly,1.3371052079407801,0.0003657721661449724
getting,0.04066876281536235,0.0012450321809165407
lot,0.7289142540873252,0.004417402314212359
faster,0.49603024640892696,0.00026729504449055677
four,-0.2605320895117689,0.0009355326557169486
look,0.07331072670512304,0.004832413041184539
amazing,-1.3365933838549593,5.627264094538037e-05
letter,-1.040392782562783,9.847712165441564e-05
specifically,-0.8007489807799221,7.034080118172546e-05
without,2.5993487243225432e-05,0.0004572152076812155
cooler,1.1774930180879999,3.517040059086273e-05
beneficial,-0.08178463142856177,7.034080118172546e-06
whoever,0.25224597419177386,3.517040059086273e-05
win,-0.5418415182065696,7.7374881299898e-05
cheering,2.068538032234898,7.034080118172546e-06
mx,1.2906620142561867,4.220448070903528e-05
switch,-0.1659850562362713,0.00029543136496324693
arguably,1.5425118819448387,2.110224035451764e-05
best,-0.25630770312364193,0.0003587380860267998
office,-0.3113164515662433,4.220448070903528e-05
setting,0.13435927767721187,0.000604930890162839
clicky,3.598726573014858,3.517040059086273e-05
quiet,2.0731304628091083,9.14430415362431e-05
allows,-0.13124912372416975,0.0002602609643723842
normal,-0.15745032709308743,0.0002110224035451764
listen,1.332187114850634,0.0004009425667358351
reason,-0.08698460209335758,0.0006119649702810115
dock,0.5817920918102641,2.8136320472690184e-05
aluminum,3.935198809636071,1.4068160236345092e-05
plastic,2.235421730119666,3.517040059086273e-05
anodized,5.544636722070171,7.034080118172546e-06
make,0.15849469346051434,0.006759750993563816
sound,-0.6278165267618372,0.0002110224035451764
different,-0.06206630175884739,0.0023634509197059755
encased,3.507754794809131,7.034080118172546e-06
cheap,1.1693636104120695,4.220448070903528e-05
housing,1.1098595220107608,7.034080118172546e-06
listened,0.8532888398410277,7.034080118172546e-06
thing,0.4186522145300969,0.009798473604614357
love,0.28428923838666753,0.000541624169099286
daf,5.033811098304181,7.034080118172546e-06
quality,-0.5276394677742243,4.923856082720782e-05
good,0.23866180404963647,0.0027714275665599833
cherry,1.4192960594791066,2.8136320472690184e-05
blue,-0.23856396206815758,0.00023915872401786655
know,0.0012774504212327874,0.006583898990609503
brown,-0.4281545597721894,4.923856082720782e-05
find,0.045889083668640036,0.00151936130552527
price,-1.47083944259816,6.330672106355291e-05
point,-0.39259524618137887,0.0013997819435163366
might,-0.3603194106851311,0.001083248338198572
able,-0.17416993685394477,0.001146555059262125
cheaper,1.136563378458189,2.8136320472690184e-05
guaranteed,0.8949181598210111,2.8136320472690184e-05
construction,0.3946536500279531,2.110224035451764e-05
along,-0.1481870483267047,0.000309499525199592
pretty,0.37065555206227085,0.002032849154151866
much,0.18607113443972795,0.0023493827594696305
lucky,-0.6278985999301129,1.4068160236345092e-05
winner,-0.5406906769765423,3.517040059086273e-05
enter,-0.45387130670327214,0.00048535152815390567
subscribe,-0.5063040114710602,0.00014068160236345092
thumb,0.39034035481767676,7.7374881299898e-05
comment,-0.9834724242861268,0.0003024654450814195
randomly,-0.33868566641810754,4.923856082720782e-05
selecting,-0.9166082150818156,2.110224035451764e-05
somebody,-0.1686438812066571,0.00025322688425421163
im,0.09409077432428883,0.014159603277881336
sorry,-1.105430228442306,0.0002110224035451764
go,0.8135973501620722,0.025231245383884923
ahead,0.4950548943983069,0.0038617099848767275
