term,log_odds,tfd
new,-0.15483162810051507,0.0025986742994877974
programming,2.405908652906591,0.006959927689062971
world,0.742893721407908,0.0012579090087375716
havent,0.6175698962942218,0.0007909008737571558
done,-1.2364877496158588,0.00038415185296776137
whether,-0.38750797811808313,0.0003088279602289846
python,1.735967645303009,0.0067264236215727625
language,1.2771790439143629,0.0023727026212714674
want,-0.8799817476503556,0.004481771617957216
learn,1.3768585993368396,0.0036230792407351614
answer,0.5949919529643423,0.0010695992768906296
yes,-1.2653982135873674,0.00024103645676408557
video,1.1085007603077432,0.009332630310334438
series,1.1528609892882267,0.0009716782163302199
whats,-0.00010808225307569348,0.0010695992768906296
guy,-0.5761887388843165,0.001242844230189816
name,0.22885574626359828,0.004843326303103345
puneet,8.228299894360475,0.00015064778547755348
im,-2.448220035947515,0.0011147936125338958
cofounder,1.2540704687730118,1.5064778547755348e-05
programmer,2.047656045504201,0.0011147936125338958
also,0.44161546233440463,0.0077357637842723715
oracle,-0.2302043007070825,1.5064778547755348e-05
certified,1.2090628727155759,1.5064778547755348e-05
java,0.30845496102277425,0.0005649291955408255
professional,0.7951344365990641,0.00012805061765592046
former,1.1247037465921375,1.5064778547755348e-05
microsoft,-0.49086553748516665,6.779150346489907e-05
valuable,-0.7865850478716676,1.5064778547755348e-05
delighted,3.559216382628731,1.5064778547755348e-05
instructor,0.001777363764844074,2.2597167821633022e-05
ill,2.362206009910831,0.03150045194335643
teach,-0.36401013963790835,0.00012051822838204278
everything,-1.5521044463044862,0.0002937631816812293
need,-0.6169771147933573,0.003833986140403736
know,-0.5210428708793721,0.003909310033142513
get,0.08136191333097939,0.008714974389876468
started,0.33025970228555707,0.0009264838806869539
step,-0.7827324738972573,0.00039921663151551673
let,0.34338539419153224,0.023666767098523653
begin,-2.086566988772728,2.2597167821633022e-05
important,-0.8176518963510576,0.0003540222958722507
question,-0.1309463869969477,0.001152455558903284
c,1.2398041998645977,0.003743597469117204
plus,0.8982517625781746,0.0033443808376016873
dozen,1.1602856450730747,3.0129557095510696e-05
first,0.311256770771636,0.006319674600783368
perspective,-1.1456831088574604,1.5064778547755348e-05
beginner,0.5130878413679235,0.0002937631816812293
one,-0.5525605345073721,0.00705784874962338
easiest,-0.13073087724603522,5.272672491714372e-05
easy,0.02266613616509161,0.0005799939740885808
use,0.49243673539349114,0.010259114191021391
syntax,1.2450317152909085,0.0010846640554383852
take,-0.3866672838054482,0.002176860500150648
look,-1.1764705285793011,0.001385959626393492
program,1.9820169639881196,0.008489002711660138
add,0.33059560433354945,0.005159686652606207
two,0.16190005880881023,0.0052274781560711055
number,1.432134010170454,0.014206086170533294
written,-0.24192604664018447,0.00021843928894245255
dont,-1.1561698856560498,0.0016345284724314552
understand,0.6243385544033725,0.001250376619463694
yet,-1.3848748883284352,0.00011298583910816512
see,0.20392288146418086,0.013023501054534498
would,-1.2888573738409643,0.0011072612232600181
write,0.17645377972202692,0.0022898463392588128
code,1.12035353962256,0.014070503163603495
much,-0.8380286208379543,0.0008436275986742995
readable,1.4047402880554023,0.00022597167821633023
simplicity,1.2414840748547724,7.532389273877674e-05
allows,0.67996654550717,0.0005875263633624586
focus,-0.013986107800364562,0.00022597167821633023
logic,-0.7157173017181392,0.00015818017475143116
rather,-0.004147753848918671,0.0002636336245857186
focusing,0.197239714119857,3.766194636938837e-05
thats,-1.4711441872785171,0.001709852365170232
reason,-0.8946938015802823,0.0002711660138595963
taught,-0.48087439906878976,2.2597167821633022e-05
many,0.03975042256748073,0.001152455558903284
university,0.7737728648388783,0.00015064778547755348
another,0.1759846006403124,0.0024630912925579992
growing,0.5384953025739245,6.779150346489907e-05
popularity,1.7930950747880885,4.5194335643266044e-05
application,-1.8673281676731137,0.0001732449532991865
used,1.212829587329395,0.003743597469117204
machine,-1.2270498857805359,0.00015064778547755348
