term,log_odds,tfd
welcome,-0.2691549545303123,0.00029817104910725566
another,0.7275658140369691,0.004235039646642038
video,0.2665866427250356,0.004037943529435547
series,-0.9154400788490067,0.00012381679157843668
learn,-0.7467780559930095,0.00043967595376832614
cs,2.574474107528281,0.006938794074987492
tutorial,-1.2836849590131296,0.00018951549731393368
beginner,1.5114253981398709,0.0007782769756358877
guy,2.6810269338904336,0.02817716414063566
lot,-2.957207630032306,0.0001111824250908411
use,0.3674865849463404,0.009033572038630838
along,0.8786350839482782,0.0008591369211564994
html,2.0318878191132588,0.004851596731236702
document,0.058987389233055666,0.0003613428815452336
important,0.588334034132322,0.001442844652883415
want,-0.34318269666275436,0.007679167951160593
become,-0.24853907354497143,0.00018951549731393368
frontend,-2.0246919712898457,7.580619892557347e-06
developer,-2.383869596370976,4.80105926528632e-05
end,-0.08554513609820964,0.0014782208790486827
go,-2.0372739852218613,0.0014782208790486827
zeroth,1.5075296074571267,7.580619892557347e-05
level,-1.1401653572521646,0.00023499921666927777
advanced,-3.200102005377937,5.053746595038232e-06
concept,-0.9415819615780284,0.00013139741147099403
know,-2.712901921097403,0.00043967595376832614
far,1.1139650598473283,0.0013266084811975358
front,-2.938425188765139,1.768811308263381e-05
development,-2.313681310408803,3.032247957022939e-05
concerned,3.8896640640016678,0.0010511792917679522
first,0.28054507823403957,0.006117560253293779
part,-0.06197777512104726,0.001291232255032268
introduction,-2.5194688554420437,5.053746595038232e-06
overview,-2.9983921321626035,2.526873297519116e-06
language,0.3268838821924505,0.0009223087535944772
style,1.3287828662335277,0.002425798365618351
ive,-3.356562755215962,4.548371935534408e-05
already,-0.07607680399660642,0.0013518772141727269
created,-0.27950819736207655,0.0007327932562805436
separate,0.3793137924851717,0.00043967595376832614
regarding,-1.1515763219001478,7.580619892557347e-06
order,1.794507875314081,0.007067664613160967
make,-0.6584004674460981,0.0030044523507502287
web,0.8795247736401156,0.0017511231951807473
page,1.5321047533165915,0.007823199729119183
watch,-1.6028635532159632,6.569870573549701e-05
link,0.32121158582872167,0.00148580149894124
given,0.29735305483652885,0.0005508583788591672
description,-0.6333181389145547,0.0002552142030494307
section,0.5768290615146796,0.0011472004770736787
learning,-3.6692382107992656,1.768811308263381e-05
least,-1.5821313803867396,8.338681881813082e-05
basic,-1.0451828354205581,0.00022741859677672042
tag,2.8598269986040794,0.011168779975034493
work,-1.5692379622017993,0.0006898364102227186
full,-0.7456146898484509,0.00019456924390897192
form,1.018564197058897,0.0019608536788748338
cascading,-0.14768927297603915,5.053746595038232e-06
stylesheets,1.5110115051253048,7.580619892557347e-06
define,1.295255576245147,0.0022438634881969746
externally,-0.20165699670879697,2.526873297519116e-06
internal,0.4382300173781333,0.0001111824250908411
also,0.4196478824709821,0.007542716793094561
allowed,-0.6130054926130605,5.306433924790143e-05
defined,1.4439403484244717,0.001397360933528071
inside,1.6300512629604242,0.012351356678273438
inline,2.157523199942553,0.00042198784068569236
property,2.092374697297428,0.0068983641022271865
describes,-0.27590064486842536,1.2634366487595579e-05
element,1.7393498989446492,0.009559161684514815
displayed,3.9568550109501066,0.004500361342881545
playlist,-0.130718171875598,6.317183243797789e-05
seen,1.4597120614515326,0.001528758344999065
create,-0.5412986275203527,0.002312089067229991
color,1.8878201806683201,0.009677924729498213
different,-0.1215598061381254,0.002231229121709379
font,1.1898703984557248,0.001460532765966049
family,0.6531953332958758,0.0002072036103965675
size,0.48584480062586044,0.0016475213899824635
describe,-1.537141359529805,1.5161239785114695e-05
using,0.5589875797730172,0.005377186377120678
save,2.0779972070900627,0.010072116963911196
control,0.812120824434189,0.0011724692100488698
layout,0.1999202186017573,0.00030322479570229387
multiple,0.7461213603168521,0.0012078454362141374
check,0.7883772206259095,0.00428810398588994
help,1.6220842112630924,0.0043411683251378405
example,0.2416519011530974,0.0031990215946592006
three,-0.1179808009489749,0.0019305311993046044
location,-1.9977316732134192,4.80105926528632e-05
write,-0.7618028601819591,0.0009020937672143244
code,0.9631316396077736,0.011906626977910074
something,-0.8112044863337438,0.0016399407700899062
called,-0.056816713843687805,0.002160476669378844
head,-0.580505344183031,0.0002501604564543925
external,0.9922857892318943,0.000240052963264316
file,1.5185399952123209,0.016447418293551924
syntax,0.26453118811973253,0.00040935347419809675
rule,-0.4466019767042232,0.00018446175071889546
consist,-0.3366052954952746,5.053746595038232e-06
selector,1.7160647574896741,0.0006266645777847407
declaration,-1.206064727685331,2.0214986380152927e-05
block,0.6644470147728038,0.0016121451638171959
see,0.5263124027002344,0.01786246734016263
h,0.2633073494733092,0.0005154821526938997
identifying,-1.2086339371401953,2.526873297519116e-06
need,-0.8294732750524819,0.0031156347758410697
provided,3.3426743170651276,0.0031990215946592006
particular,2.361178878370464,0.006701267985020695
open,0.42417848875765546,0.002357572786585335
curly,0.9540748028007291,0.000631718324379779
brace,1.3172584017019142,0.0006595139306524892
followed,4.032353841572499,0.005281165191814952
colon,2.001653996835765,0.0013872534403379945
