term,log_odds,tfd
good,-0.6220243026669906,0.0011782137565381939
morning,-0.6153929746465934,2.975287263985338e-05
everyone,-0.9891538740597187,9.520919244753081e-05
wanted,-0.8075867495912492,0.00033323217356635783
give,-0.361495599386607,0.002008318903190103
update,-0.39175377462592526,0.0005861315910051115
whats,-1.412300709290334,0.0002618252792307097
coming,-0.8557574907994063,0.00016959137404716425
next,0.29387648569396513,0.0036238998875341415
week,-0.2455941669750005,0.00024992413017476837
way,-0.41356856778362167,0.0024189085456200795
daisy,2.863578592433933,2.975287263985338e-05
say,-1.0487969123090002,0.002924707380497587
hi,1.0281703585368644,0.00048199653676562473
many,-0.15126001564152225,0.0009550672117392934
know,-0.8982824886513766,0.0026926349739067306
ive,-0.27817480972199166,0.0010056470952270443
working,-0.45808203692619665,0.0008866356046676306
course,1.4404396849789582,0.007128788284508869
testing,1.5554526026304436,0.0011514361711623257
react,1.242322772350763,0.00224634188430893
application,1.6294108861620278,0.005611391779876347
ton,0.12726339180319862,0.00024694884291078304
request,0.07330297103979433,0.0007884511249561145
worked,-0.24026746628323123,0.00017851723583912026
really,-1.0345079157326118,0.001514421217368537
hard,-0.5507297810490805,0.00024099826838281237
make,-0.6088006141256698,0.003153804499824458
sure,-0.46068540327222546,0.001154411458426311
best,0.14526243390592736,0.0005385269947813462
hour,0.3189512999033365,0.0005623292928932289
long,0.020586547612129653,0.0006396867617568476
cover,0.08281674242092824,0.00028860286460657774
everything,-0.33845063813635146,0.0009996965206990735
basic,0.40677115557361293,0.0009639930735312495
advanced,0.870013686949338,0.00036000975894222585
topic,0.6464847055640466,0.00043141665327787397
state,0.6173673128062724,0.0019607143069663375
management,-0.01930904787603012,0.00012198677782339885
authentication,-0.05992104383519435,0.00010413505423948682
routing,0.8525872003901758,0.00012198677782339885
im,-0.6282485123159797,0.006908617026973954
excited,-0.2511370006239645,0.00010413505423948682
hope,-0.506085338955227,0.0003064545881904898
stay,-1.0942241970085664,7.14068943356481e-05
tuned,-2.362543104722629,2.975287263985338e-06
wonderful,-3.121021361906351,2.975287263985338e-06
day,0.209549555657379,0.0009193637645714694
meet,-1.7785985681934697,1.1901149055941352e-05
luke,0.7470429263478563,8.925861791956013e-06
back,0.35015348456020917,0.004668225717192995
set,0.2968829822731132,0.004980630879911455
crazy,-2.1625003386839046,1.7851723583912025e-05
goal,-1.6875382491136206,3.867873443180939e-05
build,0.6357010172378205,0.0017940982201831586
website,-0.03890737286002839,0.0005682798674211995
million,0.6745204506831645,0.0002707511410226657
visitor,-0.6144362656523104,5.950574527970676e-06
month,0.20389639200272666,0.0003778614825261379
guess,-1.2438783203524255,0.0001963689594230323
crushed,0.7602010109253673,2.975287263985338e-06
disaster,-0.022909665435834316,8.925861791956013e-06
suddenly,-0.12385742828171213,2.677758537586804e-05
traffic,-1.329944626370413,1.7851723583912025e-05
tanking,3.580256270404072,2.975287263985338e-06
isnt,-1.0828892795799148,0.0001100856287674575
owner,-2.129382041196022,8.925861791956013e-06
facing,-0.7580242755176417,1.487643631992669e-05
problem,0.5053280061505443,0.0016750867296237452
created,-0.7241071839471651,0.0004700953877096834
amazing,-1.272803018151609,6.248103254369209e-05
content,0.09898895203133377,0.0008390310084438652
starting,-0.3811052404749107,0.00028265229007860707
january,0.7880442769801516,5.950574527970676e-05
saw,-0.16135008073643758,0.00024694884291078304
slowly,-1.5602927694047874,8.925861791956013e-06
disappear,0.09434483456908722,3.2728159903838714e-05
frustrating,-0.7174825477472202,5.950574527970676e-06
curious,0.43287076411499487,9.223390518354546e-05
started,0.08787166103539137,0.0007289453796764078
reading,0.048171127573911024,0.00016364079951919358
com,-0.27424626469935925,1.7851723583912025e-05
comment,-0.1624142482904616,0.0006932419325085837
people,-0.6702600747608091,0.0008003522740120558
blaming,2.222132786250878,2.975287263985338e-06
sort,-0.7978402846214808,0.0004552189513897567
thing,-1.4394728752594328,0.001541198802744405
google,-0.36716055210743404,0.0002856275773425924
changing,-0.4898421148053858,0.00013686321414332553
algorithm,0.37250380980280856,0.0006010080273250383
bad,-0.0949702472960801,0.00024992413017476837
technical,0.1532412057159761,9.520919244753081e-05
usual,-1.5220912684256338,1.1901149055941352e-05
stuff,-1.8291808575311916,0.00021422068300694432
always,0.0555375381662106,0.001127633873050443
pretend,-1.9318274856455773,2.975287263985338e-06
seo,-0.3006200060272371,5.950574527970676e-06
expert,0.3373441601053337,8.330804339158946e-05
exactly,-0.09028206585085496,0.000714068943356481
happened,0.03314502778549232,0.00020231953395100297
something,-0.903905534836049,0.0014935942065206396
interesting,-0.6462501635810425,0.0002528994174387537
story,-0.3775566506540741,0.00010413505423948682
dropping,-0.9420497710808358,8.925861791956013e-06
seem,-0.781814499426905,4.4629308959780065e-05
pop,-1.35126181353959,5.6530458015721415e-05
around,-0.9607552208740266,0.0003570344716782405
thats,-0.7521585773083241,0.00352274012055864
roughly,-0.16321658231403727,2.0827010847897364e-05
chat,-0.8830777805470289,0.00022909711932687102
gpt,1.0129572878014135,0.00016066551225520824
went,-2.9358023156918125,1.487643631992669e-05
totally,-0.43896118443526344,0.00010711034150347216
viral,0.20532681556252708,2.975287263985338e-06
think,-1.3123587903887772,0.0009550672117392934
search,-0.16334323722867555,0.0006039833145890236
personally,0.6049578913146252,0.00015173965046325224
much,-0.8423040922892057,0.0008449815829718359
prefer,1.5697008899117642,0.00037191090799816725
asking,-0.2390031381020341,0.0001428137886712962
question,-0.4964035680543156,0.0008033275612760412
getting,-1.2220828613578265,0.0003540591844142552
straight,-0.8727282707771719,5.355517075173608e-05
answer,-1.075417360409619,0.00020231953395100297
instead,0.348075682572932,0.0016423585697199065
whole,-1.1755935326442157,0.00020827010847897364
dance,0.525805953304228,5.057988348775074e-05
clicking,-0.5922453923961039,7.14068943356481e-05
link,0.19734176748635784,0.0013150769706815192
dealing,1.1649186949423593,0.00022909711932687102
ad,-1.0732336575408479,3.867873443180939e-05
popping,-0.4358537128039582,1.487643631992669e-05
every,0.490420911362282,0.0020350964885659712
corner,-0.8367027083734556,6.843160707166276e-05
scrolling,-2.640333899695667,2.975287263985338e-06
article,-0.8193529754646381,5.057988348775074e-05
sometimes,0.029663700877564366,0.00039868849337403527
take,0.07653680622890084,0.0034572838007509623
forever,-1.18710670494736,3.2728159903838714e-05
get,0.1540645378828822,0.009363229019761858
point,0.06712712045763382,0.0022165890116690764
could,-1.7472927310626798,0.0005504281438372875
big,-0.3868740395947673,0.00038976263158207927
reason,0.039101256688764255,0.000696217219772569
dropped,-0.12385742828171213,2.677758537586804e-05
curiosity,-0.5565090077019806,5.950574527970676e-06
ran,-1.7093872229991862,1.487643631992669e-05
poll,-2.3165923003290607,2.975287263985338e-06
youtube,-0.6616479554745823,0.00020231953395100297
twitter,-0.8873073064661406,5.355517075173608e-05
linkedin,-1.1517097119619106,1.1901149055941352e-05
result,0.9568370854362006,0.0021511326918613994
super,-0.8240672130390987,0.00020827010847897364
still,-0.6648989514492012,0.0006337361872288769
use,0.49193203507488015,0.010220111751789634
go,-0.8554385719420404,0.004802113644072336
jpt,3.221622461980007,2.3802298111882704e-05
often,1.0525480586054419,0.0005891068782690969
usage,-2.2568260885991966,2.975287263985338e-06
seems,-2.311326552183213,2.0827010847897364e-05
here,1.4607954161489622,0.0025200683125955812
main,-0.254074841196872,0.0006843160707166277
across,-0.28699939626631205,0.0001428137886712962
platform,0.38674375193909905,0.00038976263158207927
lot,-0.3076324020049237,0.001576902249912229
using,0.21059007158767898,0.0038172935596931883
even,-0.569819458802273,0.0008777097428756747
seen,0.15666634710645766,0.00042844136601388863
drop,-0.5296705424715925,0.0001874430976310763
since,-1.8431311595614395,0.00011603620329542818
directly,-0.1345455386485434,0.00027372642828665106
may,0.34686113421141823,0.0008122534230679972
need,0.04385526307162922,0.0074144158618514614
click,-0.3346348647010798,0.0016869878786796866
brings,0.8630132438624899,0.00011306091603144283
u,-0.7519306820896471,0.0011871396183301497
mean,-0.40335395858998796,0.0017821970711272173
blogin,5.777480847740292,2.975287263985338e-06
dead,-0.5490894565625226,2.3802298111882704e-05
easily,0.5740804998603855,0.0004165402169579473
bother,-1.3358241141550071,5.950574527970676e-06
process,-0.9650597024480645,0.00024099826838281237
writing,0.3346520234369703,0.0005623292928932289
blog,-0.4882391726902718,8.62833306555748e-05
post,-1.072671409740539,0.00030050401366251914
ai,0.09944550624359806,0.00033620746083034317
tool,0.7372123169712161,0.001356730992377314
learn,1.0890487293955933,0.002698585548434701
text,-0.5235805009332817,0.001127633873050443
stop,-0.352375233712262,0.00033620746083034317
new,0.4190653438016426,0.0045938435355933616
happening,-0.6959039628146391,0.00017554194857513492
world,0.5724651604508048,0.0010592022659787802
block,0.3190961313344183,0.0011484608838983404
work,-0.3814638166476411,0.0022522924588369007
together,-0.585480574209507,0.0002677758537586804
want,-0.20777992854445199,0.008780072716020732
hear,-0.6155889086253069,8.925861791956013e-05
idea,-0.9984374548176204,0.0003213310245104165
let,0.055027323201672286,0.017756514391464497
talk,0.569667946509343,0.0015739269626482437
video,-0.29000802218996335,0.002326674640436534
please,-0.4613855971113847,0.00028265229007860707
subscribe,0.3500498722673988,0.00033620746083034317
tech,-0.2445704410924433,8.62833306555748e-05
see,-0.174630586832796,0.00894073822827594
student,-0.6787192668664819,0.0002856275773425924
try,-1.281225583427141,0.0005920821655330822
unrelated,1.299111508647896,1.487643631992669e-05
programming,0.9236769162091073,0.0016155809843440385
language,1.0284938255059277,0.0018387275291429387
time,-0.00452218753690884,0.004599794110121332
bit,-0.8207580307815285,0.0010264741060749415
c,0.33343949254139155,0.0015203717918965075
learning,0.1939155039735176,0.000889610891931616
javascript,1.3716479381454134,0.0030496694455849713
python,0.9968200574064234,0.00321628553236815
applying,0.167210170947036,8.033275612760412e-05
job,0.506951068151981,0.001056226978714795
response,-0.14145016951110045,0.0003213310245104165
frustrated,0.19023218934004216,8.925861791956013e-06
wonder,-0.251709012222796,5.355517075173608e-05
wrong,-0.7648701119798602,0.00019339367215904696
trying,-1.5252890834551593,0.0001487643631992669
recipe,-1.1228943239442228,2.3802298111882704e-05
failure,-0.8877395316809955,1.487643631992669e-05
focus,0.6206353621881848,0.00042844136601388863
look,0.3583388719598437,0.006405793479360432
certain,-0.5359547484364171,0.00021422068300694432
strength,-0.36197257708113983,2.0827010847897364e-05
used,0.15526797420536148,0.0013091263961535486
specific,-0.17358593593496327,0.0004641448131817127
kind,-1.1803553471599177,0.0009758942225871908
example,0.3276410922462451,0.0034840613861268307
powerful,0.639355865347535,0.000220171257534915
beast,0.9927707479201223,1.1901149055941352e-05
come,-0.3805294978042537,0.0012049913419140618
building,0.9930092251358387,0.001145485596634355
game,-2.155892767204591,0.00022909711932687102
controlling,0.6208916410209562,2.975287263985338e-05
physical,-0.5526677737855036,3.570344716782405e-05
object,1.2504557269750693,0.0074917733307150805
smartwatches,4.678868559072182,5.950574527970676e-06
selfdriving,1.3384560684791482,1.7851723583912025e-05
car,-0.42055357688534667,0.00022314654479890032
cool,-1.692508380946943,0.00019339367215904696
gadget,0.4983463006090289,5.950574527970676e-06
hand,-0.7533845301126858,0.00017554194857513492
making,-1.2133915447734152,0.0002052948212149883
interactive,0.26448643906235975,9.520919244753081e-05
dynamic,0.15735872766954573,0.0001725666613111496
two,0.12019437465521651,0.0050133590398152945
completely,-0.40992013483849676,0.00017554194857513492
different,0.09144256994387522,0.002755116006450423
specialization,0.3525308302588888,2.975287263985338e-06
someone,0.05883426889252836,0.0002975287263985338
become,0.29211566784271054,0.0003243063117744018
dentist,1.862604773329739,8.925861791956013e-06
heart,-0.7769652453508383,3.570344716782405e-05
surgeon,2.7329584100168685,8.925861791956013e-06
wouldnt,-0.6646801142942552,9.223390518354546e-05
hired,-0.2919363122261137,8.925861791956013e-06
little,-1.1207554901477104,0.0008211792848599532
coding,-0.3104842597517339,0.0005236505584614194
software,1.0675480901904477,0.0007973769867480705
engineering,0.6901076520826369,0.00012198677782339885
realistic,-0.40730225916898116,1.7851723583912025e-05
cant,-1.808045765244184,0.0001338879268793402
either,0.05836691158790009,0.0005444775693093168
career,-0.22039924588141085,6.843160707166276e-05
path,-0.1008599792034818,0.0005355517075173608
requires,0.30979863555901616,9.818447971151615e-05
core,0.8915517927495102,0.0004195155042219326
youll,-0.5596215428877943,0.0005504281438372875
engine,1.1428119773416225,0.0004790212495016394
unreal,0.18412219069846353,1.487643631992669e-05
plus,-0.20630113473511028,0.0011157327239945016
skill,0.49146278323040626,0.0004700953877096834
graphic,-2.0891020500038007,1.487643631992669e-05
design,0.02443410673676079,0.0003570344716782405
creating,-0.1933903686684725,0.0004552189513897567
awesome,-2.445218552627626,5.057988348775074e-05
html,0.4778785927293805,0.001091930425882619
cs,0.3146451856393047,0.0008152287103319826
ui,0.09642704830390901,0.0004016637806380206
toolkit,-0.04655075506748639,1.1901149055941352e-05
angular,3.5028237248559657,0.002412957971092109
favor,-0.3033672605023759,5.950574527970676e-06
one,-0.37388776226148057,0.008452791116982345
technology,-0.6294925395339663,7.735746886361879e-05
employer,1.9310403865130528,0.00010115976697550149
care,0.0007272423005182205,0.0002856275773425924
made,-0.9062585483375332,0.00030347930092650447
short,1.3266975090952013,0.0007229948051484371
practical,0.3453012609442844,7.438218159963345e-05
break,0.14722108426958128,0.0005028235476135221
takech,5.526166419459385,8.925861791956013e-06
clear,-0.7830128111313038,0.00020231953395100297
direction,-1.9019058824784407,5.950574527970676e-05
check,-1.0338771344241027,0.0007051430815645251
description,0.33257873566330787,0.0006664643471327157
box,-0.01137183257457119,0.0006396867617568476
hey,-0.7285240897135685,0.00030050401366251914
