channel_name,video_title,video_url,publish_date,video_length,views,likes,comments,transcript_filename
Cave of Programming,Python for Complete Beginners: 0101 Introduction,https://www.youtube.com/watch?v=0qAJupt6l0c,2023-09-09,6:39,1689,86,20,pythonforcompletebeginners0101introduction.txt
Cave of Programming,Python for Complete Beginners: 0102 How to Use This Course,https://www.youtube.com/watch?v=_YfAx8CPiOQ,2023-09-12,11:39,670,32,2,pythonforcompletebeginners0102howtousethiscourse.txt
Cave of Programming,Python for Beginners: 0103 Installing Python,https://www.youtube.com/watch?v=-lpF2Bbi2bs,2023-09-16,4:21,500,27,5,pythonforbeginners0103installingpython.txt
Cave of Programming,Python for Beginners: 0104 Installing Powershell,https://www.youtube.com/watch?v=cn7R0fbSaxQ,2023-09-19,5:21,436,18,3,pythonforbeginners0104installingpowershell.txt
Cave of Programming,Python for Beginners: 0105 Python Virtual Environments,https://www.youtube.com/watch?v=wiw3AL1lFPk,2023-09-26,7:35,464,23,2,pythonforbeginners0105pythonvirtualenvironments.txt
Cave of Programming,Python for Beginners: 0107 Hello World,https://www.youtube.com/watch?v=5-U8e6BBc30,2023-10-04,5:14,370,12,1,pythonforbeginners0107helloworld.txt
Cave of Programming,Python for Beginners: 0106 Visual Studio Code,https://www.youtube.com/watch?v=gjkCJsQjau8,2023-10-01,6:46,337,13,0,pythonforbeginners0106visualstudiocode.txt
Cave of Programming,Python for Complete Beginners: 0108 The Shebang or Hashbang,https://www.youtube.com/watch?v=hVo77bXMwQI,2023-10-08,5:11,372,10,0,pythonforcompletebeginners0108theshebangorhashbang.txt
Cave of Programming,Python for Complete Beginners: 0109 Where to Find the Source Code,https://www.youtube.com/watch?v=OYIcJMex_hs,2023-10-11,3:14,266,9,0,pythonforcompletebeginners0109wheretofindthesourcecode.txt
Cave of Programming,Python for Complete Beginners: 0110 VS Code Tips,https://www.youtube.com/watch?v=LOcZucQi0CE,2023-10-15,6:45,265,7,0,pythonforcompletebeginners0110vscodetips.txt
Cave of Programming,Python for Complete Beginners: 0111 Variables,https://www.youtube.com/watch?v=yQSGkMqWYis,2023-10-18,6:39,242,5,0,pythonforcompletebeginners0111variables.txt
Cave of Programming,Python for Complete Beginners: 0112 An Interactive Program,https://www.youtube.com/watch?v=rj44Vr5p6rs,2023-10-22,6:55,256,6,1,pythonforcompletebeginners0112aninteractiveprogram.txt
Cave of Programming,Python for Complete Beginners: 0113 Builtin Functions,https://www.youtube.com/watch?v=hYC7SepTq9w,2023-10-25,6:20,213,10,2,pythonforcompletebeginners0113builtinfunctions.txt
Cave of Programming,Python for Complete Beginners: 0114 Numeric Variables,https://www.youtube.com/watch?v=4eTO_ln6ITA,2023-10-30,8:20,246,8,4,pythonforcompletebeginners0114numericvariables.txt
Cave of Programming,Python for Complete Beginners: 0115 Numeric Expressions,https://www.youtube.com/watch?v=dRwbpWIyF_Q,2023-11-02,5:39,244,4,2,pythonforcompletebeginners0115numericexpressions.txt
Cave of Programming,Python for Complete Beginners: 0116 Types in Python,https://www.youtube.com/watch?v=dVVLWZ6cmPM,2023-11-09,6:07,199,9,0,pythonforcompletebeginners0116typesinpython.txt
Cave of Programming,Python for Complete Beginners: 0117 Performing Calculations,https://www.youtube.com/watch?v=Bg2Q5sGj7Z8,2023-11-16,9:29,229,10,0,pythonforcompletebeginners0117performingcalculations.txt
Cave of Programming,Python for Complete Beginners: 0201 A Program Inspired by Wargames,https://www.youtube.com/watch?v=4C56gHtfNsY,2023-12-15,2:08,116,2,1,pythonforcompletebeginners0201aprograminspiredbywargames.txt
Cave of Programming,Python for Complete Beginners: 0202 Boolean Variables,https://www.youtube.com/watch?v=qdvWlMCwpFQ,2023-12-15,6:48,176,6,0,pythonforcompletebeginners0202booleanvariables.txt
Cave of Programming,Python for Complete Beginners: 0203 The If Statement,https://www.youtube.com/watch?v=SSSwOwr1QQw,2023-12-21,9:00,178,6,0,pythonforcompletebeginners0203theifstatement.txt
Cave of Programming,Python for Complete Beginners: 0204 If Else,https://www.youtube.com/watch?v=vonFyAcWcpM,2023-12-28,2:47,235,7,3,pythonforcompletebeginners0204ifelse.txt
Cave of Programming,Python for Complete Beginners: 0205 Constants,https://www.youtube.com/watch?v=Z_MGLcwJjj8,2024-01-04,7:26,208,5,3,pythonforcompletebeginners0205constants.txt
Cave of Programming,Python for Complete Beginners: 0206 If Else If,https://www.youtube.com/watch?v=M3EM_tVEDWg,2024-01-11,7:54,172,9,0,pythonforcompletebeginners0206ifelseif.txt
Cave of Programming,Python for Complete Beginners: 0207 Comparison Operators,https://www.youtube.com/watch?v=nfpz2CPDlDI,2024-01-18,8:48,141,3,0,pythonforcompletebeginners0207comparisonoperators.txt
Cave of Programming,Python for Complete Beginners: 0208 Fridge Exercise,https://www.youtube.com/watch?v=q1ANgTsShBY,2024-01-25,5:03,189,8,0,pythonforcompletebeginners0208fridgeexercise.txt
Cave of Programming,Python for Complete Beginners: 0209 Fridge Solution,https://www.youtube.com/watch?v=7mpwgVsdAB8,2024-02-01,9:38,178,7,1,pythonforcompletebeginners0209fridgesolution.txt
