channel_name,video_title,video_url,publish_date,video_length,views,likes,comments,transcript_filename
Code With Conner,Let's Learn Java - ArrayLists (an introduction),https://www.youtube.com/watch?v=vzZVIPQy9EM,2021-02-03,12:24,152,8,0,letslearnjavaarraylistsanintroduction.txt
Code With Conner,Let's Learn Java - Recursion,https://www.youtube.com/watch?v=RXO1HKNDiWs,2021-03-10,12:10,237,5,9,letslearnjavarecursion.txt
Code With Conner,Let's Learn Java - Searching and Sorting Algorithms,https://www.youtube.com/watch?v=j341dy9BU9Y,2021-03-23,27:44,1617,36,10,letslearnjavasearchingandsortingalgorithms.txt
Code With Conner,Lets Learn Java - Strings,https://www.youtube.com/watch?v=5zpdr9zjMUE,2022-01-05,7:22,54,0,0,letslearnjavastrings.txt
Code With Conner,Lets Learn Java - Loops,https://www.youtube.com/watch?v=XzSjOtNvNhM,2022-01-07,9:56,85,0,0,letslearnjavaloops.txt
Code With Conner,Course Introduction - Let's Learn Python - Coding for beginners,https://www.youtube.com/watch?v=OymscbItiXw,2021-01-07,4:12,1746,59,6,courseintroductionletslearnpythoncodingforbeginners.txt
Code With Conner,Setup and Our First Program - Let's Learn Python - Coding for beginners,https://www.youtube.com/watch?v=4nQkV8jWnKA,2021-01-07,12:19,796,24,2,setupandourfirstprogramletslearnpythoncodingforbeginners.txt
Code With Conner,"Let's Learn Python - Console, Math, Randoms, and User Input - Unit 1 Topic 3 - Let's Learn Python",https://www.youtube.com/watch?v=FuOwybh_2fg,2021-01-07,24:26,591,11,3,letslearnpythonconsolemathrandomsanduserinputunit1topic3letslearnpython.txt
Code With Conner,"Let's Learn Python - Booleans, Conditional and Logical Operators - Unit 2 Topic 1",https://www.youtube.com/watch?v=ZN86EUQp-_s,2021-01-12,13:57,505,16,0,letslearnpythonbooleansconditionalandlogicaloperatorsunit2topic1.txt
Code With Conner,Let's Learn Python - Turtle Graphics and Nested Loops - Unit 2 Topic 5,https://www.youtube.com/watch?v=b9Azh285bVk,2021-01-18,13:58,892,14,0,letslearnpythonturtlegraphicsandnestedloopsunit2topic5.txt
Code With Conner,Let's Learn Python - Functions that take parameters - Unit 3 Topic 2,https://www.youtube.com/watch?v=NMTv1_tcoXU,2021-01-22,11:36,347,7,0,letslearnpythonfunctionsthattakeparametersunit3topic2.txt
Code With Conner,Let's Learn Python - Turtle Drawing Program - Unit 3 Project,https://www.youtube.com/watch?v=yi1XD9hQgsw,2021-01-27,3:33,262,6,0,letslearnpythonturtledrawingprogramunit3project.txt
Code With Conner,Let's Learn Python - Strings - Unit 4 - Topic 1,https://www.youtube.com/watch?v=EvbYfYKoAzs,2021-02-03,8:58,304,6,0,letslearnpythonstringsunit4topic1.txt
Code With Conner,Let's Learn Python - String Functions - Unit 4 Topic 3,https://www.youtube.com/watch?v=XX7bSwD9xO0,2021-02-19,5:18,247,4,0,letslearnpythonstringfunctionsunit4topic3.txt
Code With Conner,Let's Learn Python - Project Time - Unit 4,https://www.youtube.com/watch?v=Kj7wxSMwhts,2021-02-19,4:03,226,5,0,letslearnpythonprojecttimeunit4.txt
