channel_name,video_title,video_url,publish_date,video_length,views,likes,comments,transcript_filename
Coding With Kids,Learn Python with ChatGPT | Card Guessing Game,https://www.youtube.com/watch?v=hfycEzpKsww,2023-06-08,10:14,166,6,1,learnpythonwithchatgptcardguessinggame.txt
Coding With Kids,Learn Python with ChatGPT | Tic-Tac-Toe Game,https://www.youtube.com/watch?v=4qyaQ5urAB4,2023-06-23,8:34,174,7,2,learnpythonwithchatgpttictactoegame.txt
Coding With Kids,Learn Python with ChatGPT | Hangman Game,https://www.youtube.com/watch?v=A1MaJ7eKZhs,2023-07-12,7:08,174,10,1,learnpythonwithchatgpthangmangame.txt
Coding With Kids,Learn Python with ChatGPT | Word-Scrambling Guessing Game,https://www.youtube.com/watch?v=PbtTJWEaQjM,2023-08-18,7:45,141,8,3,learnpythonwithchatgptwordscramblingguessinggame.txt
Coding With Kids,Learn Python with ChatGPT | Categories Game,https://www.youtube.com/watch?v=UqHj5skxJdU,2023-09-15,6:54,109,10,0,learnpythonwithchatgptcategoriesgame.txt
Coding With Kids,Learn Python with ChatGPT | 2 Truths 1 Lie Game,https://www.youtube.com/watch?v=6YwUHXMZEGs,2023-10-13,4:45,136,7,1,learnpythonwithchatgpt2truths1liegame.txt
Coding With Kids,Learn Python with ChatGPT | Rock Paper Scissors Game+Powerup,https://www.youtube.com/watch?v=_9s1nwfBe68,2023-11-06,4:43,79,7,5,learnpythonwithchatgptrockpaperscissorsgamepowerup.txt
Coding With Kids,Learn Python with ChatGPT | Math Quiz Game,https://www.youtube.com/watch?v=_rzZAqf9B9U,2023-12-22,4:50,89,7,2,learnpythonwithchatgptmathquizgame.txt
Coding With Kids,Learn Python with ChatGPT | Number Wars Game,https://www.youtube.com/watch?v=7uZ2raZUR_E,2024-01-31,6:16,92,4,1,learnpythonwithchatgptnumberwarsgame.txt
Coding With Kids,Learn Python with ChatGPT | Mad Libs Game,https://www.youtube.com/watch?v=uLfLocMetZs,2024-05-07,7:45,91,7,11,learnpythonwithchatgptmadlibsgame.txt
Coding With Kids,How to Code *ESCAPE ESTATE: GREEN PATHWAY ROOM 1 ATTIC * in MINECRAFT: Education Hour of Code,https://www.youtube.com/watch?v=7RjH1_e9ZL4,2022-11-30,8:14,1814,13,1,howtocodeescapeestategreenpathwayroom1atticinminecrafteducationhourofcode.txt
Coding With Kids,How to Code *ESCAPE ESTATE: GREEN PATHWAY ROOM 2 STUDY* in MINECRAFT: Education Hour of Code,https://www.youtube.com/watch?v=l4EDgbIgVWU,2022-12-16,10:53,652,10,2,howtocodeescapeestategreenpathwayroom2studyinminecrafteducationhourofcode.txt
Coding With Kids,How to Code *ESCAPE ESTATE: GREEN PATHWAY ROOM 3 KITCHEN* in MINECRAFT: Education Hour of Code,https://www.youtube.com/watch?v=1ACx8-RTXrQ,2023-01-06,7:48,336,6,1,howtocodeescapeestategreenpathwayroom3kitcheninminecrafteducationhourofcode.txt
Coding With Kids,How to Code *ESCAPE ESTATE: GREEN PATHWAY ROOM 3 KITCHEN II* in MINECRAFT: Education Hour of Code,https://www.youtube.com/watch?v=bMeYtxx3RzE,2023-01-19,4:15,270,7,1,howtocodeescapeestategreenpathwayroom3kitcheniiinminecrafteducationhourofcode.txt
Coding With Kids,How to Code *ESCAPE ESTATE: GREEN PATHWAY ROOM 4 PARLOR* in MINECRAFT: Education Hour of Code,https://www.youtube.com/watch?v=8xwhyLJtGLs,2023-02-13,12:25,270,7,3,howtocodeescapeestategreenpathwayroom4parlorinminecrafteducationhourofcode.txt
Coding With Kids,How to Code *ESCAPE ESTATE: GREEN PATHWAY GETTING OUT* in MINECRAFT: Education Hour of Code,https://www.youtube.com/watch?v=lS5ubkR7Z3Y,2023-03-10,5:36,184,5,1,howtocodeescapeestategreenpathwaygettingoutinminecrafteducationhourofcode.txt
Coding With Kids,How to Code *ESCAPE ESTATE: YELLOW PATHWAY ROOM 1 ATTIC * in MINECRAFT: Education Hour of Code,https://www.youtube.com/watch?v=EF560IMOojI,2023-03-27,7:06,428,4,2,howtocodeescapeestateyellowpathwayroom1atticinminecrafteducationhourofcode.txt
Coding With Kids,How to Code *ESCAPE ESTATE: YELLOW PATHWAY ROOM 5 ALCHEMY ROOM* in MINECRAFT EDUCATION Hour of Code,https://www.youtube.com/watch?v=SUu9F9p58Y8,2023-04-13,8:58,273,5,1,howtocodeescapeestateyellowpathwayroom5alchemyroominminecrafteducationhourofcode.txt
Coding With Kids,How to Code *ESCAPE ESTATE: YELLOW PATHWAY ROOM 6 CONSERVATORY* in MINECRAFT EDUCATION Hour of Code,https://www.youtube.com/watch?v=ZHzQbnTW4e8,2023-05-12,12:52,135,6,1,howtocodeescapeestateyellowpathwayroom6conservatoryinminecrafteducationhourofcode.txt
Coding With Kids,How to Code *ESCAPE ESTATE: YELLOW PATHWAY ROOM 7  LABORATORY* in MINECRAFT EDUCATION Hour of Code,https://www.youtube.com/watch?v=UMPobHrOm98,2023-06-01,10:45,162,5,1,howtocodeescapeestateyellowpathwayroom7laboratoryinminecrafteducationhourofcode.txt
Coding With Kids,How to Code *ESCAPE ESTATE: YELLOW PATHWAY ROOM 4  PARLOR* in MINECRAFT EDUCATION Hour of Code,https://www.youtube.com/watch?v=mR3ooG1A2Sk,2023-06-16,5:42,174,6,1,howtocodeescapeestateyellowpathwayroom4parlorinminecrafteducationhourofcode.txt
Coding With Kids,How to Code *ESCAPE ESTATE: YELLOW PATHWAY ROOM 4  PARLOR PT. 2* in MINECRAFT EDUCATION Hour of Code,https://www.youtube.com/watch?v=OP1dAbGe0aI,2023-06-30,6:03,135,6,1,howtocodeescapeestateyellowpathwayroom4parlorpt2inminecrafteducationhourofcode.txt
