channel_name,video_title,video_url,publish_date,video_length,views,likes,comments,transcript_filename
Coding Workshops for Kids - Online Coding Courses for Kids and Parents,Python Programming:  What are blocks?,https://www.youtube.com/watch?v=o5z5z8thr-o,2018-04-29,4:00,145,1,0,pythonprogrammingwhatareblocks.txt
Coding Workshops for Kids - Online Coding Courses for Kids and Parents,Python Programming; What is a for Statement?,https://www.youtube.com/watch?v=XqOFsm0RbDo,2018-04-29,5:03,20,0,0,pythonprogrammingwhatisaforstatement.txt
Coding Workshops for Kids - Online Coding Courses for Kids and Parents,Python Programming: What is the difference between = and ==?,https://www.youtube.com/watch?v=nzRTnvZvwk4,2018-05-04,2:09,14,0,0,pythonprogrammingwhatisthedifferencebetweenand.txt
Coding Workshops for Kids - Online Coding Courses for Kids and Parents,Online Python Class: Year 7 Kids Learn Python Online,https://www.youtube.com/watch?v=ZvK14_GviNY,2018-08-10,4:54,66,0,0,onlinepythonclassyear7kidslearnpythononline.txt
Coding Workshops for Kids - Online Coding Courses for Kids and Parents,Python Programming for Kids: Turtle Racing Game,https://www.youtube.com/watch?v=yWMHJdkXt6U,2018-08-20,1:31,247,1,0,pythonprogrammingforkidsturtleracinggame.txt
Coding Workshops for Kids - Online Coding Courses for Kids and Parents,Seesaw: Adding your Scratch Project to Seesaw as a link,https://www.youtube.com/watch?v=OOKdAXC8PJg,2017-07-19,1:33,2219,2,0,seesawaddingyourscratchprojecttoseesawasalink.txt
Coding Workshops for Kids - Online Coding Courses for Kids and Parents,SCRATCH Tutorial: When Key is Pressed Block,https://www.youtube.com/watch?v=GTBODlkYd6g,2017-06-20,2:37,3425,12,0,scratchtutorialwhenkeyispressedblock.txt
Coding Workshops for Kids - Online Coding Courses for Kids and Parents,Scratch Basics: How to set up a Scratch account?,https://www.youtube.com/watch?v=6uUgJZGWsGw,2017-07-02,2:25,1064,5,0,scratchbasicshowtosetupascratchaccount.txt
Coding Workshops for Kids - Online Coding Courses for Kids and Parents,Scratch Basics: What are the tools and features of Scratch?,https://www.youtube.com/watch?v=dPXumHdSKjA,2017-07-02,6:27,635,4,0,scratchbasicswhatarethetoolsandfeaturesofscratch.txt
Coding Workshops for Kids - Online Coding Courses for Kids and Parents,Scratch Tutorial: Forever Block,https://www.youtube.com/watch?v=XyL1cPFMKIc,2017-07-03,2:35,3356,20,0,scratchtutorialforeverblock.txt
Coding Workshops for Kids - Online Coding Courses for Kids and Parents,Scratch Tutorial: When Green Flag Clicked Block,https://www.youtube.com/watch?v=JdWz4_hBwyQ,2017-07-03,3:35,1980,10,0,scratchtutorialwhengreenflagclickedblock.txt
Coding Workshops for Kids - Online Coding Courses for Kids and Parents,Scratch Tutorial: Name Animation,https://www.youtube.com/watch?v=Sqth0-wQ5W4,2017-07-03,9:59,9518,38,0,scratchtutorialnameanimation.txt
Coding Workshops for Kids - Online Coding Courses for Kids and Parents,"Scratch Tutorial: Motion Blocks (Go To XY, Move XX Steps, Turn Leff XX Degrees)",https://www.youtube.com/watch?v=xJkZA0vYuVY,2017-07-04,7:22,842,6,0,scratchtutorialmotionblocksgotoxymovexxstepsturnleffxxdegrees.txt
