channel_name,video_title,video_url,publish_date,video_length,views,likes,comments,transcript_filename
Coding for kids,How to Install Python (Ep.1),https://www.youtube.com/watch?v=xDtbsRu-NGA,2020-10-24,8:41,79,3,0,howtoinstallpythonep1.txt
Coding for kids,Commands in Python (Ep.2),https://www.youtube.com/watch?v=4KLaK7Txo5c,2020-10-24,21:56,27,2,0,commandsinpythonep2.txt
Coding for kids,Math and Input Commands on Python (Ep.3),https://www.youtube.com/watch?v=vePh_SDOnwY,2020-10-25,10:21,11,0,0,mathandinputcommandsonpythonep3.txt
Coding for kids,Operators & Boolean in Python (Ep.4),https://www.youtube.com/watch?v=eifFviF0_-4,2020-10-25,9:19,15,2,0,operatorsbooleaninpythonep4.txt
Coding for kids,Compound Assignment (Python Ep.5),https://www.youtube.com/watch?v=jtXJF6M5rJc,2020-10-30,6:03,56,2,1,compoundassignmentpythonep5.txt
Coding for kids,Orders of Operations (Python Ep.6),https://www.youtube.com/watch?v=WoIxk1iWDSU,2020-10-31,7:57,7,1,0,ordersofoperationspythonep6.txt
Coding for kids,BMI cauculator in Python (Python Ep.7),https://www.youtube.com/watch?v=KsB54HS4_zs,2020-11-01,6:55,18,2,2,bmicauculatorinpythonpythonep7.txt
Coding for kids,"Functions of ""If & If Else"" (Python Ep.8&9)",https://www.youtube.com/watch?v=E0GSQ-fnXv0,2020-11-01,13:32,13,2,0,functionsofififelsepythonep89.txt
Coding for kids,Lists Explained in Python,https://www.youtube.com/watch?v=ni2Oi7ysUiw,2020-11-08,19:41,15,2,0,listsexplainedinpython.txt
Coding for kids,Lists in Python,https://www.youtube.com/watch?v=3gvU2npJ9Ws,2020-11-11,14:56,7,1,0,listsinpython.txt
Coding for kids,Product & video caculator in Python,https://www.youtube.com/watch?v=1QT5WkZ6NrA,2020-11-22,5:26,14,2,3,productvideocaculatorinpython.txt
Coding for kids,Wikipedia in Python,https://www.youtube.com/watch?v=_9qmp67jE3E,2020-11-25,8:12,44,2,0,wikipediainpython.txt
