channel_name,video_title,video_url,publish_date,video_length,views,likes,comments,transcript_filename
Coding is for girls,Your new friend: Command Line,https://www.youtube.com/watch?v=jvZLWhkzX-8,2015-10-18,11:00,50766,1414,53,yournewfriendcommandline.txt
Coding is for girls,Installing Python & Code Editor,https://www.youtube.com/watch?v=pVTaqzKZCdA,2015-10-26,7:01,45866,457,33,installingpythoncodeeditor.txt
Coding is for girls,"Python Basics: Integers, Strings, Lists, Variables and Errors",https://www.youtube.com/watch?v=MO63L4s-20U,2015-12-02,20:47,24369,438,28,pythonbasicsintegersstringslistsvariablesanderrors.txt
Coding is for girls,Python Basics: Dictionaries,https://www.youtube.com/watch?v=ZX1CVvZLE6c,2016-01-18,8:40,12884,325,19,pythonbasicsdictionaries.txt
Coding is for girls,Python Basics: Comparisons,https://www.youtube.com/watch?v=7bzxqIKYgf4,2016-01-31,9:13,6356,143,20,pythonbasicscomparisons.txt
Coding is for girls,"Python Basics: Saving files and ""If"" statement",https://www.youtube.com/watch?v=dOAg6QVAxyk,2016-02-11,10:15,8264,185,13,pythonbasicssavingfilesandifstatement.txt
Coding is for girls,Python Basics: Functions,https://www.youtube.com/watch?v=5owr-6suOl0,2016-03-09,10:49,21599,459,31,pythonbasicsfunctions.txt
Coding is for girls,Python Basics: For Loop,https://www.youtube.com/watch?v=aEA6Rc86HF0,2016-03-16,9:28,14004,311,43,pythonbasicsforloop.txt
Coding is for girls,Python Basics: User Input & Dealing with Errors,https://www.youtube.com/watch?v=-s1UtPgStZA,2016-03-25,9:40,7420,167,21,pythonbasicsuserinputdealingwitherrors.txt
Coding is for girls,Python Basics: Documentation,https://www.youtube.com/watch?v=E7fDz2Gm0mI,2016-04-17,15:52,17465,527,47,pythonbasicsdocumentation.txt
Coding is for girls,Python Basics: Exercise!,https://www.youtube.com/watch?v=S6-csLk9Uhc,2016-05-07,7:06,4864,105,8,pythonbasicsexercise.txt
Coding is for girls,"Python Basics: Challenge 1 Example Solution, Importing in Python",https://www.youtube.com/watch?v=JC7LPzbmIcc,2016-06-04,19:49,4405,94,19,pythonbasicschallenge1examplesolutionimportinginpython.txt
Coding is for girls,Python Basics: Challenge 2 Example Solution & Python Quiz,https://www.youtube.com/watch?v=0wsQNWJWhQM,2016-07-02,20:12,4145,82,7,pythonbasicschallenge2examplesolutionpythonquiz.txt
Coding is for girls,Python Basics: While Loop,https://www.youtube.com/watch?v=3OkiUslcnvI,2016-08-13,14:03,5719,128,15,pythonbasicswhileloop.txt
Coding is for girls,Python Basics: Reading and Writing Files,https://www.youtube.com/watch?v=t2HWbunxKIQ,2016-08-28,11:28,7737,172,17,pythonbasicsreadingandwritingfiles.txt
Coding is for girls,Python Basics: Reading Data From CSV File,https://www.youtube.com/watch?v=a8V6b1iy-Hg,2016-09-25,13:04,51628,992,81,pythonbasicsreadingdatafromcsvfile.txt
Coding is for girls,Python Basics: Sending E-mails,https://www.youtube.com/watch?v=qrJcblhVFzs,2016-12-28,14:14,25111,467,103,pythonbasicssendingemails.txt
Coding is for girls,"Python Basics: Objects, Classes & Instances",https://www.youtube.com/watch?v=APzo-zTg47o,2017-04-17,20:26,34410,708,95,pythonbasicsobjectsclassesinstances.txt
Coding is for girls,Data Structures: Trees (Christmas Special),https://www.youtube.com/watch?v=buGoCRukKCU,2015-12-24,9:59,2436,75,5,datastructurestreeschristmasspecial.txt
