channel_name,video_title,video_url,publish_date,video_length,views,likes,comments,transcript_filename
Easy Codes for Kids,HOW TO MAKE AN ANIMATION WITH MUSIC IN SCRATCH: 10 MINUTE SCRATCH TUTORIAL,https://www.youtube.com/watch?v=94xzB3NuD1g,2020-08-11,10:31,4458,54,81,howtomakeananimationwithmusicinscratch10minutescratchtutorial.txt
Easy Codes for Kids,HOW TO MAKE A SLIDESHOW IN SCRATCH ABOUT SHARKS & RAYS,https://www.youtube.com/watch?v=p3kOwSyB2Z8,2020-08-08,39:05,781,16,9,howtomakeaslideshowinscratchaboutsharksrays.txt
Easy Codes for Kids,20 MINUTE EASY SCRATCH TUTORIAL: MAKE A GAME WITH YOUR NAME,https://www.youtube.com/watch?v=gLXAn439_Sw,2020-05-23,20:33,207,0,1,20minuteeasyscratchtutorialmakeagamewithyourname.txt
Easy Codes for Kids,SCRATCH TUTORIAL | HOW TO MAKE A FAIRY TALE ANIMATION,https://www.youtube.com/watch?v=zwmYVck1NXc,2020-05-15,8:52,2195,17,1,scratchtutorialhowtomakeafairytaleanimation.txt
Easy Codes for Kids,30 MINUTE SCRATCH TUTORIAL: HOW TO MAKE A CATCHING GAME,https://www.youtube.com/watch?v=ukOHLygjvzc,2020-08-31,39:12,162,10,31,30minutescratchtutorialhowtomakeacatchinggame.txt
Easy Codes for Kids,HOW TO MAKE A SPRITE AND MAKE WORDS IN SCRATCH: EASY 3 MINUTE SCRATCH TUTORIAL,https://www.youtube.com/watch?v=2ZFPF3ErLos,2020-09-02,3:39,461,11,19,howtomakeaspriteandmakewordsinscratcheasy3minutescratchtutorial.txt
Easy Codes for Kids,HOW TO RECORD YOURSELF SINGING IN SCRATCH: 8 MINUTE SCRATCH TUTORIAL TO RECORD OUR OWN VOICE,https://www.youtube.com/watch?v=6LhfNjlXqEs,2020-09-03,8:51,621,8,18,howtorecordyourselfsinginginscratch8minutescratchtutorialtorecordourownvoice.txt
Easy Codes for Kids,SCRATCH TUTORIAL MAKE A SLIDESHOW ABOUT DOGS 🐩🐕🐕‍🦺,https://www.youtube.com/watch?v=vCvFZzNBPi8,2020-09-30,20:35,294,8,8,scratchtutorialmakeaslideshowaboutdogs.txt
Easy Codes for Kids,HOW TO DRAW A 3D BOX IN SCRATCH AND BY HAND FOR KIDS,https://www.youtube.com/watch?v=WCExyNZrN4Y,2020-10-01,2:59,126,2,5,howtodrawa3dboxinscratchandbyhandforkids.txt
Easy Codes for Kids,SCRATCH TUTORIAL MAKE A VOTING PROGRAM | DOES YOUR CLASS WANT TO VOTE?,https://www.youtube.com/watch?v=yCMFh9aCL3A,2020-10-02,14:07,3050,26,27,scratchtutorialmakeavotingprogramdoesyourclasswanttovote.txt
Easy Codes for Kids,#scratch #amongus SCRATCH Speed Draw Among Us Fan Art,https://www.youtube.com/watch?v=qu185NTxWj0,2020-11-11,6:06,151,4,3,scratchamongusscratchspeeddrawamongusfanart.txt
Easy Codes for Kids,Mao Mao is NOT Mayo |Speed Painting in Scratch,https://www.youtube.com/watch?v=aJD7rB7Ygh0,2020-11-18,2:07,332,17,9,maomaoisnotmayospeedpaintinginscratch.txt
Easy Codes for Kids,How To Make Mao Mao's Glowing Eye Effect in Scratch + Is Badgerclops Offr. Clawhauser from Zootopia?,https://www.youtube.com/watch?v=KbFspGA4ng8,2020-11-22,4:15,175,8,7,howtomakemaomaosglowingeyeeffectinscratchisbadgerclopsoffrclawhauserfromzootopia.txt
Easy Codes for Kids,SCRATCH Tutorial Draw a Cute Turkey & Animate Him to Say GOBBLE GOBBLE,https://www.youtube.com/watch?v=Z7Kvk0IqaIc,2020-11-26,20:00,396,15,26,scratchtutorialdrawacuteturkeyanimatehimtosaygobblegobble.txt
Easy Codes for Kids,HOW TO DRAW A CUTE GRINCH FOR CHRISTMAS IN SCRATCH,https://www.youtube.com/watch?v=uH6o9JOtyjA,2020-12-09,15:42,231,9,15,howtodrawacutegrinchforchristmasinscratch.txt
Easy Codes for Kids,Minecraft in SCRATCH. Easy 2D Block Game!,https://www.youtube.com/watch?v=ELJlA6ksxyg,2021-01-08,22:24,4371,31,19,minecraftinscratcheasy2dblockgame.txt
Easy Codes for Kids,How To Make a ROBLOX type game in SCRATCH Tutorial & Directions,https://www.youtube.com/watch?v=xZrMEDMxZ3Y,2021-03-26,1:06:14,8237,63,11,howtomakearobloxtypegameinscratchtutorialdirections.txt
Easy Codes for Kids,How to Create a GAME Using Sprite Lab on CODE.ORG,https://www.youtube.com/watch?v=omtb7kcjDqg,2022-10-10,17:30,4602,0,2,howtocreateagameusingspritelaboncodeorg.txt
