channel_name,video_title,video_url,publish_date,video_length,views,likes,comments,transcript_filename
First Code Academy,PYTHON PUSH NOTIFICATION TUTORIAL | PYTHON CODING TUTORIAL FOR BEGINNERS,https://www.youtube.com/watch?v=97GePNcMjsM,2021-01-13,7:34,944,9,2,pythonpushnotificationtutorialpythoncodingtutorialforbeginners.txt
First Code Academy,How to Make a Python Chinese Zodiac Generator | Beginner Python Tutorial,https://www.youtube.com/watch?v=ZYtIE5gj6f0,2021-02-12,10:38,1933,28,0,howtomakeapythonchinesezodiacgeneratorbeginnerpythontutorial.txt
First Code Academy,PYTHON TURTLE CHRISTMAS CARD TUTORIAL | PYTHON TURTLE GRAPHICS CODING TUTORIAL FOR BEGINNERS,https://www.youtube.com/watch?v=7aOu_HmIXd0,2020-12-18,16:54,709,11,0,pythonturtlechristmascardtutorialpythonturtlegraphicscodingtutorialforbeginners.txt
First Code Academy,How to Make A Python Easter Card | Beginner Python Turtle Tutorial,https://www.youtube.com/watch?v=oYEqkr9ttuY,2021-04-02,26:17,2264,11,1,howtomakeapythoneastercardbeginnerpythonturtletutorial.txt
First Code Academy,How to Make A Python Tic Tac Toe Game | Beginner Python Tutorial,https://www.youtube.com/watch?v=KCClZbd9pCg,2021-05-18,19:14,1356,12,0,howtomakeapythontictactoegamebeginnerpythontutorial.txt
First Code Academy,How to Make A Snake Game - Part II | Beginner Python Tutorial,https://www.youtube.com/watch?v=K0R8T__WZWw,2021-06-16,15:50,1007,11,1,howtomakeasnakegamepartiibeginnerpythontutorial.txt
First Code Academy,Draw Fireworks Using Python | Beginner Python Turtle Tutorial,https://www.youtube.com/watch?v=QgyhHuk3EY4,2021-07-07,10:46,3291,24,1,drawfireworksusingpythonbeginnerpythonturtletutorial.txt
First Code Academy,Make a Simple Music Player Using Python | Beginner Python Tutorial,https://www.youtube.com/watch?v=9IidiU5YzqQ,2021-08-04,13:44,2829,26,3,makeasimplemusicplayerusingpythonbeginnerpythontutorial.txt
First Code Academy,How to make your own Minecraft Thanksgiving Pumpkin Pie | Beginner Minecraft Coding Tutorial,https://www.youtube.com/watch?v=cWe_fkf7yYI,2020-11-20,21:10,1387,10,0,howtomakeyourownminecraftthanksgivingpumpkinpiebeginnerminecraftcodingtutorial.txt
First Code Academy,HOW TO MAKE A MINECRAFT SWORD | Minecraft Modding Tutorial for Beginners | MCreator Tutorial,https://www.youtube.com/watch?v=Pojp6GtlDus,2021-01-15,8:45,13515,156,30,howtomakeaminecraftswordminecraftmoddingtutorialforbeginnersmcreatortutorial.txt
First Code Academy,How to Make a Custom Health Minecraft Potion | Beginner Minecraft Tutorial,https://www.youtube.com/watch?v=eIaPb-XpUYI,2021-02-03,8:49,1811,20,2,howtomakeacustomhealthminecraftpotionbeginnerminecrafttutorial.txt
First Code Academy,How to Make a Red Envelope in Minecraft | Beginner Minecraft Designing Tutorial,https://www.youtube.com/watch?v=ppxmKlzHDdU,2021-02-10,11:34,232,6,0,howtomakearedenvelopeinminecraftbeginnerminecraftdesigningtutorial.txt
First Code Academy,Make A Lightning Minecraft Arrow | Beginner Minecraft Tutorial,https://www.youtube.com/watch?v=U-51Vl6m1Rc,2021-02-19,11:52,658,5,2,makealightningminecraftarrowbeginnerminecrafttutorial.txt
First Code Academy,How to Make a Minecraft Lucky Block | Beginner Minecraft Tutorial,https://www.youtube.com/watch?v=t9ZekyiyPyU,2021-03-02,12:18,3410,39,3,howtomakeaminecraftluckyblockbeginnerminecrafttutorial.txt
First Code Academy,How to Make a Minecraft Obstacle Course - Part I | Beginner Minecraft Building Tutorial,https://www.youtube.com/watch?v=qkOQ6dgIAyc,2021-03-19,8:02,768,9,0,howtomakeaminecraftobstaclecoursepartibeginnerminecraftbuildingtutorial.txt
First Code Academy,Make A Minecraft Castle Using Javascript | Beginner Minecraft Tutorial,https://www.youtube.com/watch?v=RTThj1NWmAM,2021-03-25,9:44,762,6,1,makeaminecraftcastleusingjavascriptbeginnerminecrafttutorial.txt
First Code Academy,How to Make a Minecraft Obstacle Course - Part II | Beginner Minecraft Building Tutorial,https://www.youtube.com/watch?v=Nayqn3Ln_Co,2021-03-26,11:15,203,8,0,howtomakeaminecraftobstaclecoursepartiibeginnerminecraftbuildingtutorial.txt
First Code Academy,How to Build a Simple Minecraft Water Slide | Beginner Minecraft Building Tutorial,https://www.youtube.com/watch?v=u7eP5SUuGw0,2021-04-16,13:47,452,7,0,howtobuildasimpleminecraftwaterslidebeginnerminecraftbuildingtutorial.txt
First Code Academy,How to Build a Simple Minecraft Roller Coaster | Beginner Minecraft Building Tutorial,https://www.youtube.com/watch?v=TS5385znIN8,2021-04-22,17:08,566,5,0,howtobuildasimpleminecraftrollercoasterbeginnerminecraftbuildingtutorial.txt
First Code Academy,How to Build a Minecraft Camp Cabin | Beginner Minecraft Building Tutorial,https://www.youtube.com/watch?v=8fyoLTR31KE,2021-05-12,17:57,151,6,0,howtobuildaminecraftcampcabinbeginnerminecraftbuildingtutorial.txt
First Code Academy,How to Make a Minecraft Beacon | Beginner Minecraft Coding Tutorial,https://www.youtube.com/watch?v=F4qyROySAoM,2021-05-20,19:30,154,5,0,howtomakeaminecraftbeaconbeginnerminecraftcodingtutorial.txt
First Code Academy,Make a Evil Mob Spawning Cube in Minecraft | Beginner Minecraft Tutorial,https://www.youtube.com/watch?v=CLSMpX1GSMs,2021-06-03,11:42,207,1,0,makeaevilmobspawningcubeinminecraftbeginnerminecrafttutorial.txt
First Code Academy,Make Custom Commands to Summon Nether Entities | Beginner Minecraft Coding Tutorial,https://www.youtube.com/watch?v=2HrSR2g4Pxw,2021-06-11,10:24,191,1,0,makecustomcommandstosummonnetherentitiesbeginnerminecraftcodingtutorial.txt
First Code Academy,How to Build a Minecraft Mob Traps - Part II | Beginner Minecraft Building Tutorial,https://www.youtube.com/watch?v=LRmKpdcjsqA,2021-07-27,7:39,363,4,1,howtobuildaminecraftmobtrapspartiibeginnerminecraftbuildingtutorial.txt
First Code Academy,How to Make A Roblox City - Part II | Beginner Roblox Designing Tutorial,https://www.youtube.com/watch?v=pHeIzkbDipg,2021-01-29,15:41,768,9,1,howtomakearobloxcitypartiibeginnerrobloxdesigningtutorial.txt
First Code Academy,Find the Red Envelope Game - Part I | Beginner Roblox Designing Tutorial,https://www.youtube.com/watch?v=jo9y52kY7g4,2021-02-05,13:44,553,14,2,findtheredenvelopegamepartibeginnerrobloxdesigningtutorial.txt
First Code Academy,Find the Red Envelope Game - Part II | Beginner Roblox Coding Tutorial,https://www.youtube.com/watch?v=SXwbf_52JEM,2021-02-09,9:57,311,5,0,findtheredenvelopegamepartiibeginnerrobloxcodingtutorial.txt
First Code Academy,How to Make A Roblox City - Part III | Beginner Roblox Design Tutorial,https://www.youtube.com/watch?v=V7bO4HzSVSs,2021-02-18,13:28,430,4,0,howtomakearobloxcitypartiiibeginnerrobloxdesigntutorial.txt
First Code Academy,How to Make A Roblox City - Part IV | Beginner Roblox Design Tutorial,https://www.youtube.com/watch?v=p2MwFcI3Qrs,2021-03-04,9:43,1241,15,0,howtomakearobloxcitypartivbeginnerrobloxdesigntutorial.txt
First Code Academy,Reach for the Star- Part I | Beginner Roblox Designing Tutorial,https://www.youtube.com/watch?v=sGmat6JRfgk,2021-03-11,11:13,376,3,1,reachforthestarpartibeginnerrobloxdesigningtutorial.txt
First Code Academy,Get the Easter Egg- Part I | Beginner Roblox Designing Tutorial,https://www.youtube.com/watch?v=hL_UXR6LbOg,2021-03-31,20:52,131,2,0,gettheeastereggpartibeginnerrobloxdesigningtutorial.txt
First Code Academy,Get the Easter Egg- Part II | Beginner Roblox Tutorial,https://www.youtube.com/watch?v=_9G3xQ0R700,2021-03-31,21:30,174,0,0,gettheeastereggpartiibeginnerrobloxtutorial.txt
First Code Academy,How To Make a Simple Obby Game - Part I | Beginner Roblox Designing Tutorial,https://www.youtube.com/watch?v=T-SDnqmlvXE,2021-04-09,14:25,7336,54,8,howtomakeasimpleobbygamepartibeginnerrobloxdesigningtutorial.txt
First Code Academy,How To Make an Simple Obby Game - Part II | Beginner Roblox Coding Tutorial,https://www.youtube.com/watch?v=Sl3ArdX3R-w,2021-04-15,11:44,600,5,0,howtomakeansimpleobbygamepartiibeginnerrobloxcodingtutorial.txt
First Code Academy,How To Make an Advance Obby Game - Part I | Beginner Roblox Designing Tutorial,https://www.youtube.com/watch?v=Af5dtohbx1o,2021-04-23,23:07,1053,10,0,howtomakeanadvanceobbygamepartibeginnerrobloxdesigningtutorial.txt
First Code Academy,How To Make an Advance Obby Game - Part III | Beginner Roblox Designing Tutorial,https://www.youtube.com/watch?v=IeftKew5WVQ,2021-05-15,27:51,335,3,2,howtomakeanadvanceobbygamepartiiibeginnerrobloxdesigningtutorial.txt
First Code Academy,Build a Drum Kit on a Web Page | Beginner JQuery Tutorial,https://www.youtube.com/watch?v=qQq1aoP5PZA,2021-05-26,12:17,280,3,2,buildadrumkitonawebpagebeginnerjquerytutorial.txt
First Code Academy,How To Make an Advance Obby Game - Part V | Beginner Roblox Designing Tutorial,https://www.youtube.com/watch?v=i6h47GDmypI,2021-06-08,18:38,258,2,0,howtomakeanadvanceobbygamepartvbeginnerrobloxdesigningtutorial.txt
