channel_name,video_title,video_url,publish_date,video_length,views,likes,comments,transcript_filename
GIRLS CODE TOO!,How to create registration app in android,https://www.youtube.com/watch?v=xasV43jVMr0,2023-07-13,23:41,36,0,0,howtocreateregistrationappinandroid.txt
GIRLS CODE TOO!,Firebase Login Tutorial,https://www.youtube.com/watch?v=pZT1xQFsvVE,2023-07-17,12:25,3,1,0,firebaselogintutorial.txt
GIRLS CODE TOO!,How to Validate Users Input 👨 💻,https://www.youtube.com/watch?v=TUUNepNuHl8,2023-07-20,10:48,35,0,0,howtovalidateusersinput.txt
GIRLS CODE TOO!,How to Make a Quiz App,https://www.youtube.com/watch?v=6QyYpkbFm-4,2023-07-21,10:04,15,0,0,howtomakeaquizapp.txt
GIRLS CODE TOO!,Connecting to database with PDO,https://www.youtube.com/watch?v=v56ZwePgZDI,2017-07-20,4:07,154,5,0,connectingtodatabasewithpdo.txt
GIRLS CODE TOO!,Creating database with PDO,https://www.youtube.com/watch?v=t8wfn6u7x-4,2017-07-20,3:44,456,7,0,creatingdatabasewithpdo.txt
GIRLS CODE TOO!,Creating table and inserting into table with PDO,https://www.youtube.com/watch?v=I-Y53z4EM74,2017-08-27,5:33,184,2,1,creatingtableandinsertingintotablewithpdo.txt
GIRLS CODE TOO!,PHP variables,https://www.youtube.com/watch?v=6n-MYMUEo68,2016-08-13,7:07,19,1,0,phpvariables.txt
GIRLS CODE TOO!,DataTypes,https://www.youtube.com/watch?v=ngEfsdp27S4,2016-08-13,7:56,14,2,0,datatypes.txt
GIRLS CODE TOO!,Objects,https://www.youtube.com/watch?v=olR56rdnZcE,2016-08-15,7:00,12,0,0,objects.txt
GIRLS CODE TOO!,functions,https://www.youtube.com/watch?v=exAgH7hXFik,2016-08-16,11:04,13,1,0,functions.txt
GIRLS CODE TOO!,Conditional Statements,https://www.youtube.com/watch?v=m4Y8bK2VPeY,2016-08-17,9:50,7,0,0,conditionalstatements.txt
GIRLS CODE TOO!,Loops,https://www.youtube.com/watch?v=4V4Jqx7Loqo,2016-08-18,7:05,9,0,0,loops.txt
GIRLS CODE TOO!,Arrays,https://www.youtube.com/watch?v=8Kz3S0GKPCk,2016-08-20,16:53,8,0,0,arrays.txt
GIRLS CODE TOO!,Operators,https://www.youtube.com/watch?v=-ifor7ZaxYo,2016-08-22,12:03,9,0,0,operators.txt
GIRLS CODE TOO!,GET VS POST,https://www.youtube.com/watch?v=v676RZ0ovIA,2016-08-22,7:45,92,1,0,getvspost.txt
GIRLS CODE TOO!,Sorting Arrays,https://www.youtube.com/watch?v=Tr8ip_KekII,2016-08-20,8:05,45,0,0,sortingarrays.txt
GIRLS CODE TOO!,Filters,https://www.youtube.com/watch?v=iJ2kXHYG0wo,2016-08-24,7:15,14,0,0,filters.txt
GIRLS CODE TOO!,Include AND Require,https://www.youtube.com/watch?v=rRNILeGVamY,2016-08-24,2:40,25,1,2,includeandrequire.txt
GIRLS CODE TOO!,Files open/read/create/write,https://www.youtube.com/watch?v=mNDIoEpw4YE,2016-08-29,8:07,92,2,0,filesopenreadcreatewrite.txt
GIRLS CODE TOO!,Deleting Files,https://www.youtube.com/watch?v=cTmr_E23mxs,2016-09-01,2:18,8,1,0,deletingfiles.txt
GIRLS CODE TOO!,Date AND Time,https://www.youtube.com/watch?v=dHpv9OCSO04,2016-09-01,10:02,19,1,0,dateandtime.txt
GIRLS CODE TOO!,Uploading files,https://www.youtube.com/watch?v=3s2EkGKFOjA,2016-09-01,14:00,37,2,4,uploadingfiles.txt
GIRLS CODE TOO!,Error Handling,https://www.youtube.com/watch?v=DM1dsr6MzDk,2016-09-05,6:00,33,1,1,errorhandling.txt
GIRLS CODE TOO!,Cookies AND Sessions,https://www.youtube.com/watch?v=syCK5tufq5U,2016-09-05,11:11,92,3,1,cookiesandsessions.txt
GIRLS CODE TOO!,"PHP AND MYSQLI part1(Connect,Create database, Create table, and insert into table",https://www.youtube.com/watch?v=2DAECrvqsjU,2016-08-08,14:30,963,6,2,phpandmysqlipart1connectcreatedatabasecreatetableandinsertintotable.txt
GIRLS CODE TOO!,"PHP AND MYSQLI part2(Select,Update and delete)",https://www.youtube.com/watch?v=tmePbNZGQqU,2016-08-09,17:49,130,1,2,phpandmysqlipart2selectupdateanddelete.txt
GIRLS CODE TOO!,Forgot username/password PHP and MYSQLI,https://www.youtube.com/watch?v=GRMbKwU3um4,2016-10-06,16:31,7261,49,7,forgotusernamepasswordphpandmysqli.txt
GIRLS CODE TOO!,"PHP and Mysqli part2(Select,update,and delete from table)",https://www.youtube.com/watch?v=pN2P5r7XuOg,2016-10-08,10:20,166,1,2,phpandmysqlipart2selectupdateanddeletefromtable.txt
GIRLS CODE TOO!,PHP and MYSQLI  Login,https://www.youtube.com/watch?v=jzgoSsj9alw,2016-10-08,14:43,1327,9,0,phpandmysqlilogin.txt
GIRLS CODE TOO!,PHP and MYSQLI Register,https://www.youtube.com/watch?v=v0MBcJY4Vn0,2016-10-08,10:37,75,0,0,phpandmysqliregister.txt
GIRLS CODE TOO!,Login/Register(Protect from SQL injection) part1,https://www.youtube.com/watch?v=w5WAzqpFdd8,2016-10-17,10:10,1125,6,5,loginregisterprotectfromsqlinjectionpart1.txt
GIRLS CODE TOO!,Login/Register(Protect from SQL injection) part2,https://www.youtube.com/watch?v=pyXQKEUW-Fw,2016-10-17,7:53,257,2,2,loginregisterprotectfromsqlinjectionpart2.txt
GIRLS CODE TOO!,Form validation(PHP),https://www.youtube.com/watch?v=d3-kL7cMYRQ,2016-10-31,11:46,241,0,0,formvalidationphp.txt
GIRLS CODE TOO!,logout(PHP & MYSQLI),https://www.youtube.com/watch?v=d0IHB7JipMU,2016-10-31,7:10,270,3,1,logoutphpmysqli.txt
