channel_name,video_title,video_url,publish_date,video_length,views,likes,comments,transcript_filename
Girls Will Code,Episode 1: Print Statement | Intro to Python,https://www.youtube.com/watch?v=GTjrqb2U3H8,2020-12-30,3:32,93,1,0,episode1printstatementintrotopython.txt
Girls Will Code,Episode 2: Print Statement | Intro to Python,https://www.youtube.com/watch?v=UZ0R6lFHAlI,2020-12-30,8:37,39,1,0,episode2printstatementintrotopython.txt
Girls Will Code,Episode 3: Arithmetic Operations and Concatenation | Intro to Python,https://www.youtube.com/watch?v=RxNm_MkH9iU,2021-02-17,12:43,46,1,0,episode3arithmeticoperationsandconcatenationintrotopython.txt
Girls Will Code,Episode 1: Introduction to DCoder | Mobile Coding,https://www.youtube.com/watch?v=39_9oYkgM3o,2021-04-10,4:15,97,6,0,episode1introductiontodcodermobilecoding.txt
Girls Will Code,Episode 2: Intro to Coding | Mobile Coding,https://www.youtube.com/watch?v=5x5B3q1X03c,2021-04-10,4:40,33,0,0,episode2introtocodingmobilecoding.txt
Girls Will Code,Episode 4: Introduction to HTML and CSS | Mobile Coding,https://www.youtube.com/watch?v=FSlwjFhLc0w,2021-04-10,4:59,25,1,1,episode4introductiontohtmlandcssmobilecoding.txt
Girls Will Code,Episode 5: HTML Document Format | Mobile Coding,https://www.youtube.com/watch?v=ecwbQI4e7m8,2021-04-10,2:11,29,2,0,episode5htmldocumentformatmobilecoding.txt
Girls Will Code,Episode 6: HTML Text Elements | Mobile Coding,https://www.youtube.com/watch?v=ICiegX-goZA,2021-04-10,1:11,20,0,0,episode6htmltextelementsmobilecoding.txt
Girls Will Code,Episode 7: HTML Attributes | Mobile Coding,https://www.youtube.com/watch?v=OF4oGBergPQ,2021-04-10,1:19,34,0,0,episode7htmlattributesmobilecoding.txt
Girls Will Code,Episode 8: CSS Referencing | Mobile Coding,https://www.youtube.com/watch?v=xT0zmwhPfz4,2021-04-10,3:26,28,0,0,episode8cssreferencingmobilecoding.txt
Girls Will Code,Episode 9: CSS Properties | Mobile Coding,https://www.youtube.com/watch?v=w5BcMGBFcQU,2021-04-10,3:21,30,0,1,episode9csspropertiesmobilecoding.txt
Girls Will Code,Episode 10: CSS Shapes | Mobile Coding,https://www.youtube.com/watch?v=GjTrFckEKxE,2021-04-10,4:21,107,3,0,episode10cssshapesmobilecoding.txt
Girls Will Code,Introduction to Scratch by Girls Will Code | #CodeSaBahay,https://www.youtube.com/watch?v=qCSbS3MdpFU,2020-04-09,25:42,253,9,0,introductiontoscratchbygirlswillcodecodesabahay.txt
Girls Will Code,Maze Game Tutorial by GWC | #CodeSaBahay,https://www.youtube.com/watch?v=K63m4NTf4ic,2020-05-12,15:04,63,1,0,mazegametutorialbygwccodesabahay.txt
Girls Will Code,Cat and Mouse Game Tutorial by Girls Will Code | #CodeSaBahay,https://www.youtube.com/watch?v=1ROwgqqT05Y,2020-08-06,10:41,62,2,0,catandmousegametutorialbygirlswillcodecodesabahay.txt
Girls Will Code,Simple Shooting Game Tutorial by Girls Will Code | #CodeSaBahay,https://www.youtube.com/watch?v=fJkXDEwAkJI,2020-08-08,12:01,28,1,0,simpleshootinggametutorialbygirlswillcodecodesabahay.txt
Girls Will Code,Mouse Trail Tutorial by Girls Will Code | #CodeSaBahay,https://www.youtube.com/watch?v=KansGcnAPDg,2020-08-22,5:01,161,0,3,mousetrailtutorialbygirlswillcodecodesabahay.txt
Girls Will Code,Spiral Tutorial by Girls Will Code | #CodeSaBahay,https://www.youtube.com/watch?v=s96go123v9Y,2020-08-31,5:01,34,1,0,spiraltutorialbygirlswillcodecodesabahay.txt
Girls Will Code,Pong Game by Girls Will Code | #CodeSaBahay,https://www.youtube.com/watch?v=aoOi6CEs4Xc,2020-08-31,9:16,30,0,0,ponggamebygirlswillcodecodesabahay.txt
Girls Will Code,Simple Dino Game by Girls Will Code | #CodeSaBahay,https://www.youtube.com/watch?v=8x96M7DWBeI,2020-08-31,8:11,65,6,1,simpledinogamebygirlswillcodecodesabahay.txt
Girls Will Code,Dodge the Ball Game by Girls Will Code | #CodeSaBahay,https://www.youtube.com/watch?v=10EljFGl4b0,2020-08-31,10:01,37,0,1,dodgetheballgamebygirlswillcodecodesabahay.txt
