channel_name,video_title,video_url,publish_date,video_length,views,likes,comments,transcript_filename
GirlsCodeIt,Java Session 1: Intro to Java,https://www.youtube.com/watch?v=ND3gtoy0eeQ,2021-03-10,22:31,316,12,0,javasession1introtojava.txt
GirlsCodeIt,Java Session 2: Primitive Types,https://www.youtube.com/watch?v=7FniZxh69K8,2021-03-16,25:47,120,4,0,javasession2primitivetypes.txt
GirlsCodeIt,Java Session 3: Using Objects,https://www.youtube.com/watch?v=b6mw6d-tHpg,2021-03-21,45:12,142,3,0,javasession3usingobjects.txt
GirlsCodeIt,Java Session 4: Boolean Expressions and If-Statements,https://www.youtube.com/watch?v=eE4DN9vcL3Q,2021-03-29,51:25,203,2,1,javasession4booleanexpressionsandifstatements.txt
GirlsCodeIt,Java Session 5: Iterations,https://www.youtube.com/watch?v=II7RgKRDgug,2021-04-07,31:44,51,2,0,javasession5iterations.txt
GirlsCodeIt,Java Session 6: Arrays,https://www.youtube.com/watch?v=T6Mio0PLQ-s,2021-04-12,38:31,49,1,0,javasession6arrays.txt
GirlsCodeIt,Java Session 7: ArrayLists,https://www.youtube.com/watch?v=7enxf1NUs1c,2021-04-23,25:36,54,0,0,javasession7arraylists.txt
GirlsCodeIt,Java Session 8: Writing Classes,https://www.youtube.com/watch?v=npiVGKXHhWg,2021-04-25,28:11,36,1,0,javasession8writingclasses.txt
GirlsCodeIt,Java Session 9: Writing Classes Pt. 2,https://www.youtube.com/watch?v=cAqdyjA2o5k,2021-05-03,33:12,21,0,0,javasession9writingclassespt2.txt
GirlsCodeIt,Java Session 10: Inheritance,https://www.youtube.com/watch?v=AEnBAMZy9aw,2021-05-13,34:53,17,0,0,javasession10inheritance.txt
GirlsCodeIt,Java Session 11: Recursion,https://www.youtube.com/watch?v=Zh5dZBFCrhU,2021-05-17,27:04,29,0,0,javasession11recursion.txt
GirlsCodeIt,Java Session 12: Final Project,https://www.youtube.com/watch?v=DLckDvf8xs8,2021-05-25,14:32,54,3,0,javasession12finalproject.txt
GirlsCodeIt,Web Dev Session 1: Intro to Web Development,https://www.youtube.com/watch?v=qCO9kAoHNtA,2020-12-09,22:36,253,10,0,webdevsession1introtowebdevelopment.txt
GirlsCodeIt,Web Dev Session 2: HTML Part 1,https://www.youtube.com/watch?v=NApNpY6CA38,2020-12-14,29:15,106,4,1,webdevsession2htmlpart1.txt
GirlsCodeIt,Web Dev Session 3: How to Learn HTML Part 2,https://www.youtube.com/watch?v=p6PxF6pYNjU,2020-12-23,27:36,77,5,1,webdevsession3howtolearnhtmlpart2.txt
GirlsCodeIt,Web Dev Session 4: CSS Part 1,https://www.youtube.com/watch?v=izx0BqKvZqY,2021-01-06,44:20,57,2,0,webdevsession4csspart1.txt
GirlsCodeIt,Web Dev Session 5: CSS Part 2,https://www.youtube.com/watch?v=9wiu3OOrweY,2021-01-14,38:59,55,1,2,webdevsession5csspart2.txt
GirlsCodeIt,Web Dev Session 6: Intro to Javascript,https://www.youtube.com/watch?v=Fz3W8GwT9-Y,2021-01-20,37:58,55,1,0,webdevsession6introtojavascript.txt
GirlsCodeIt,Web Dev Session 7: Javascript Part 2,https://www.youtube.com/watch?v=g26VST_QS44,2021-01-27,37:31,25,0,0,webdevsession7javascriptpart2.txt
GirlsCodeIt,Web Dev Session 8: Javascript Part 3,https://www.youtube.com/watch?v=N2d1QnY-WGI,2021-02-02,30:00,38,0,0,webdevsession8javascriptpart3.txt
GirlsCodeIt,Web Dev Session 9: Javascript Part 4,https://www.youtube.com/watch?v=ydy_cqIIBok,2021-02-11,25:56,62,3,0,webdevsession9javascriptpart4.txt
GirlsCodeIt,Web Dev Session 10: Javascript Part 5,https://www.youtube.com/watch?v=a-_cFNBS5u0,2021-02-18,21:04,50,2,0,webdevsession10javascriptpart5.txt
GirlsCodeIt,"How to get a Microsoft Internship- Tips, Advice, Experience with Microsoft Intern",https://www.youtube.com/watch?v=s07HwaeWh5w,2020-09-19,50:12,102,2,0,howtogetamicrosoftinternshiptipsadviceexperiencewithmicrosoftintern.txt
GirlsCodeIt,STEM Session 1 - How to Create a Tech Club,https://www.youtube.com/watch?v=-aOxoxc0idA,2020-09-28,32:23,306,8,0,stemsession1howtocreateatechclub.txt
GirlsCodeIt,STEM Session 2 - Intro to GitHub,https://www.youtube.com/watch?v=p-_agC-mTBA,2020-09-25,9:55,106,8,0,stemsession2introtogithub.txt
GirlsCodeIt,STEM Session 3 - Intro to Data Analysis,https://www.youtube.com/watch?v=uSYxKO7wIsQ,2020-10-09,25:52,69,1,0,stemsession3introtodataanalysis.txt
GirlsCodeIt,"STEM Session 4: Data Analysis Part 2, Demo Project",https://www.youtube.com/watch?v=ZN1kizSfZyE,2020-10-24,35:07,69,0,0,stemsession4dataanalysispart2demoproject.txt
GirlsCodeIt,STEM Session 5 - Python Libraries with a vPython Demo,https://www.youtube.com/watch?v=_e6oi6n_zvQ,2020-11-07,27:04,154,3,3,stemsession5pythonlibrarieswithavpythondemo.txt
GirlsCodeIt,STEM Session 6: Computer Science Student Panel,https://www.youtube.com/watch?v=DWCGvzeta4w,2020-12-23,42:38,47,0,0,stemsession6computersciencestudentpanel.txt
GirlsCodeIt,STEM Session 7 - How to Start Your CS Career in High School,https://www.youtube.com/watch?v=AF6iKKCk2Ug,2020-12-12,19:33,99,3,0,stemsession7howtostartyourcscareerinhighschool.txt
