channel_name,video_title,video_url,publish_date,video_length,views,likes,comments,transcript_filename
Hackingtons Code School,Scratch programming: How to make a scrolling background,https://www.youtube.com/watch?v=IWhuoL4_8Lo,2019-06-06,11:10,81287,1025,0,scratchprogramminghowtomakeascrollingbackground.txt
Hackingtons Code School,Scratch programming: How to build a flappy bird style game,https://www.youtube.com/watch?v=Y4ynhKndAew,2019-03-26,8:39,14918,130,0,scratchprogramminghowtobuildaflappybirdstylegame.txt
Hackingtons Code School,Scratch programming: How to build a Zelda style adventure game,https://www.youtube.com/watch?v=8GuNP_dJllA,2019-05-01,26:59,18150,172,0,scratchprogramminghowtobuildazeldastyleadventuregame.txt
Hackingtons Code School,Scratch programming: How to make a card game,https://www.youtube.com/watch?v=ZXrhU3bkvpM,2019-06-04,19:13,25711,303,21,scratchprogramminghowtomakeacardgame.txt
Hackingtons Code School,Scratch programming: The Worst Game Ever Made (Possibly),https://www.youtube.com/watch?v=UuTr0E5Veyc,2019-05-14,1:04,2854,31,0,scratchprogrammingtheworstgameevermadepossibly.txt
Hackingtons Code School,Scratch programming: How to make Space Invaders,https://www.youtube.com/watch?v=4N033rFSELE,2019-05-01,28:43,132827,1689,143,scratchprogramminghowtomakespaceinvaders.txt
Hackingtons Code School,Scratch programming: How to create a high score variable,https://www.youtube.com/watch?v=PoMHfM_7iug,2015-11-08,1:34,18742,153,0,scratchprogramminghowtocreateahighscorevariable.txt
Hackingtons Code School,Scratch programming: How to make Agar.io,https://www.youtube.com/watch?v=1PUz1QKCtPM,2015-09-24,11:17,451868,3464,0,scratchprogramminghowtomakeagario.txt
Hackingtons Code School,The Scratch Programming Show Episode 1 by Hackingtons,https://www.youtube.com/watch?v=R0w56St2698,2020-02-18,5:25,1406,27,0,thescratchprogrammingshowepisode1byhackingtons.txt
Hackingtons Code School,Cats vs Dogs? || The Scratch Coding Show #6,https://www.youtube.com/watch?v=rd8pEUpgJv0,2020-04-01,5:43,603,8,2,catsvsdogsthescratchcodingshow6.txt
Hackingtons Code School,Scratch tutorial on how to add movement to your game,https://www.youtube.com/watch?v=9v3d2mrbLL8,2020-05-27,4:38,13235,99,10,scratchtutorialonhowtoaddmovementtoyourgame.txt
Hackingtons Code School,How to add sound to your Scratch Game in Scratch 3.0,https://www.youtube.com/watch?v=5NEsvasFUPY,2020-05-28,2:10,46743,246,17,howtoaddsoundtoyourscratchgameinscratch30.txt
Hackingtons Code School,Where is the share button? |  How to share a Scratch video game,https://www.youtube.com/watch?v=irlBTC72MTQ,2020-07-06,1:13,101262,699,101,whereisthesharebuttonhowtoshareascratchvideogame.txt
Hackingtons Code School,How to use ghost effect in your Scratch video games,https://www.youtube.com/watch?v=j47RaDvuez0,2020-07-07,2:37,10830,86,9,howtouseghosteffectinyourscratchvideogames.txt
Hackingtons Code School,My favorite Scratch coding block?  It's a surprise!,https://www.youtube.com/watch?v=D-2NWXf9d6Y,2020-07-24,2:07,1112,12,5,myfavoritescratchcodingblockitsasurprise.txt
Hackingtons Code School,How to create a high score variable in Scratch 3.0,https://www.youtube.com/watch?v=oBhKW3w02NY,2020-07-30,3:16,41156,403,53,howtocreateahighscorevariableinscratch30.txt
Hackingtons Code School,Ages 5-7:  How to make a game with Scratch Jr.,https://www.youtube.com/watch?v=nvyBV-pLLSw,2020-08-29,14:08,35022,319,41,ages57howtomakeagamewithscratchjr.txt
Hackingtons Code School,This one trick will make you better at Scratch,https://www.youtube.com/watch?v=siDt1PSS-Sc,2020-10-08,2:27,15261,291,54,thisonetrickwillmakeyoubetteratscratch.txt
Hackingtons Code School,Trump vs Biden 2020 Election | How to make a voting game in Scratch,https://www.youtube.com/watch?v=z1RaJFyeMbo,2020-11-02,7:22,2197,44,15,trumpvsbiden2020electionhowtomakeavotinggameinscratch.txt
Hackingtons Code School,Why does my Scratch game lag?,https://www.youtube.com/watch?v=Y8VdXK9WIKE,2021-04-21,3:56,7445,119,27,whydoesmyscratchgamelag.txt
Hackingtons Code School,Scratch Coding Boot Camp:  adding movement,https://www.youtube.com/watch?v=Tcq9NlX2Fzg,2023-03-03,0:39,288,5,0,scratchcodingbootcampaddingmovement.txt
