channel_name,video_title,video_url,publish_date,video_length,views,likes,comments,transcript_filename
Kidicode Ninja: Coding for Beginners and Kids,Hero Against Coronavirus: A Beginners Guide to Coding  2- How to create your first Scratch game.,https://www.youtube.com/watch?v=WfGtrdvk-dI,2020-09-28,18:35,295,9,9,heroagainstcoronavirusabeginnersguidetocoding2howtocreateyourfirstscratchgame.txt
Kidicode Ninja: Coding for Beginners and Kids,Dance Freeze: A Beginners Guide to Coding - How to Create a Dance Freeze Game From Your Own Sprite,https://www.youtube.com/watch?v=pSVTvuXWheM,2020-10-18,17:51,360,18,1,dancefreezeabeginnersguidetocodinghowtocreateadancefreezegamefromyourownsprite.txt
Kidicode Ninja: Coding for Beginners and Kids,"How to code a dance party in Scratch, taking turn and moving to center",https://www.youtube.com/watch?v=7fsqsfmoS48,2020-10-26,22:52,120,8,4,howtocodeadancepartyinscratchtakingturnandmovingtocenter.txt
Kidicode Ninja: Coding for Beginners and Kids,How to Animate your name in Scratch,https://www.youtube.com/watch?v=I7VrijD2g54,2020-11-02,10:34,164,6,2,howtoanimateyournameinscratch.txt
Kidicode Ninja: Coding for Beginners and Kids,How to Create Visual Effects with Clone in Scratch,https://www.youtube.com/watch?v=7qsOIOAlIJE,2020-11-09,7:27,177,6,3,howtocreatevisualeffectswithcloneinscratch.txt
Kidicode Ninja: Coding for Beginners and Kids,How to Create a Pong Game in Scratch,https://www.youtube.com/watch?v=KAEODnKTHrc,2020-11-16,15:24,92,5,2,howtocreateaponggameinscratch.txt
Kidicode Ninja: Coding for Beginners and Kids,How to Create Christmas Lights in Scratch,https://www.youtube.com/watch?v=sNY-GHWwSKQ,2020-11-23,9:41,540,10,2,howtocreatechristmaslightsinscratch.txt
Kidicode Ninja: Coding for Beginners and Kids,How to Create an animated Christmas Card in Scratch,https://www.youtube.com/watch?v=u-Qi8hFf75U,2020-11-30,16:36,1857,38,9,howtocreateananimatedchristmascardinscratch.txt
Kidicode Ninja: Coding for Beginners and Kids,How to Create Snow falling in Scratch,https://www.youtube.com/watch?v=bcrZvYtphyA,2020-12-07,10:41,572,13,10,howtocreatesnowfallinginscratch.txt
Kidicode Ninja: Coding for Beginners and Kids,How to Create a Flying Santa in Scratch,https://www.youtube.com/watch?v=CihEySmHmro,2020-12-15,16:02,468,11,6,howtocreateaflyingsantainscratch.txt
Kidicode Ninja: Coding for Beginners and Kids,How to change the scene in Scratch - Transitioning from Fall to Winter,https://www.youtube.com/watch?v=hq73wvjD8cI,2020-12-22,11:14,150,5,4,howtochangethesceneinscratchtransitioningfromfalltowinter.txt
Kidicode Ninja: Coding for Beginners and Kids,How to Create Countdown and Firework in Scratch,https://www.youtube.com/watch?v=a-TEsa31ZYE,2020-12-29,17:30,271,9,7,howtocreatecountdownandfireworkinscratch.txt
Kidicode Ninja: Coding for Beginners and Kids,How to Create a Habit tracking app in Scratch - Part 1- Add item - say no to new year resolution!,https://www.youtube.com/watch?v=EgLNvsBxOsE,2021-01-05,7:08,134,9,2,howtocreateahabittrackingappinscratchpart1additemsaynotonewyearresolution.txt
Kidicode Ninja: Coding for Beginners and Kids,How to Create Habit Tracking App (To do List) in Scratch - Part 2 Deleting items,https://www.youtube.com/watch?v=ZISaEpla_QE,2021-01-12,8:52,89,6,2,howtocreatehabittrackingapptodolistinscratchpart2deletingitems.txt
Kidicode Ninja: Coding for Beginners and Kids,How to Bite On a Virtual Apple Using Video Sensing in Scratch,https://www.youtube.com/watch?v=nu_6BwolIBE,2021-01-19,12:07,178,9,7,howtobiteonavirtualappleusingvideosensinginscratch.txt
Kidicode Ninja: Coding for Beginners and Kids,How to Create Jumping Peppa Pig in Scratch,https://www.youtube.com/watch?v=I5CH8gQPtMI,2021-01-26,8:05,1543,17,13,howtocreatejumpingpeppapiginscratch.txt
Kidicode Ninja: Coding for Beginners and Kids,How to jump into a container in Scratch. Peppa pig jumping into a fish bowl,https://www.youtube.com/watch?v=phQrYYXW-m0,2021-02-03,12:48,281,5,7,howtojumpintoacontainerinscratchpeppapigjumpingintoafishbowl.txt
Kidicode Ninja: Coding for Beginners and Kids,Javascript for Scratchers: How to write a Scratch code in Javascript,https://www.youtube.com/watch?v=aGPO-JwhPZk,2021-02-10,15:03,377,12,8,javascriptforscratchershowtowriteascratchcodeinjavascript.txt
Kidicode Ninja: Coding for Beginners and Kids,"How to reuse Sprites, codes and previously created things in Scratch using backpack",https://www.youtube.com/watch?v=1y-zmXvD0GM,2021-02-17,10:30,200,10,8,howtoreusespritescodesandpreviouslycreatedthingsinscratchusingbackpack.txt
Kidicode Ninja: Coding for Beginners and Kids,How to Simulate Gravity in Scratch,https://www.youtube.com/watch?v=s2KdVFJJ2ys,2021-02-24,12:43,233,4,2,howtosimulategravityinscratch.txt
Kidicode Ninja: Coding for Beginners and Kids,How to Create a Space Shooter Game in Scratch,https://www.youtube.com/watch?v=fRJyOw-IqMs,2021-03-04,39:43,197,9,4,howtocreateaspaceshootergameinscratch.txt
Kidicode Ninja: Coding for Beginners and Kids,How to Create a Colourful Piano in Scratch,https://www.youtube.com/watch?v=kcevprZXnTA,2021-03-11,22:02,188,9,6,howtocreateacolourfulpianoinscratch.txt
Kidicode Ninja: Coding for Beginners and Kids,How to Create novel drawing tools with Scratch,https://www.youtube.com/watch?v=iWPlYMu7OTk,2021-03-18,7:24,165,8,6,howtocreatenoveldrawingtoolswithscratch.txt
