channel_name,video_title,video_url,publish_date,video_length,views,likes,comments,transcript_filename
Kids for Code,Kids for Code - Python: Print Statements,https://www.youtube.com/watch?v=En8C6WR1o8M,2020-06-09,8:37,461,3,0,kidsforcodepythonprintstatements.txt
Kids for Code,Kids for Code - Python: Variables and Typecasting,https://www.youtube.com/watch?v=I-aSvO5fg8Q,2020-07-11,13:02,262,9,0,kidsforcodepythonvariablesandtypecasting.txt
Kids for Code,Kids for Code - Python : Variable Manipulation and User Input,https://www.youtube.com/watch?v=oe1yh3n3M_M,2020-07-23,14:14,287,6,0,kidsforcodepythonvariablemanipulationanduserinput.txt
Kids for Code,Kids for Code - Python: While Loops,https://www.youtube.com/watch?v=s-ux9M_YDpM,2020-08-02,6:25,1034,12,0,kidsforcodepythonwhileloops.txt
Kids for Code,Kids for Code - Python : Lists Pt. 1,https://www.youtube.com/watch?v=A8byO05DqL8,2020-08-06,13:37,392,8,0,kidsforcodepythonlistspt1.txt
Kids for Code,Kids for Code - Python: Lists Pt. 2,https://www.youtube.com/watch?v=y_6haGH4aWk,2020-08-10,4:24,272,4,0,kidsforcodepythonlistspt2.txt
Kids for Code,Kids for Code - Java Beginners: Hello World and Printing,https://www.youtube.com/watch?v=B5zSdTGs33E,2020-06-03,12:35,8863,107,0,kidsforcodejavabeginnershelloworldandprinting.txt
Kids for Code,Kids for Code - Java Beginners: Variables and Data Types,https://www.youtube.com/watch?v=t1PNCrMINVs,2020-06-08,10:07,4843,80,0,kidsforcodejavabeginnersvariablesanddatatypes.txt
Kids for Code,Kids for Code - Java Beginners: Variable Manipulation and User Input,https://www.youtube.com/watch?v=uSxmNr1K8zw,2020-06-21,12:54,3410,52,0,kidsforcodejavabeginnersvariablemanipulationanduserinput.txt
Kids for Code,Kids for Code - Java Beginners: For Loops,https://www.youtube.com/watch?v=9zxX8gd2CpU,2020-07-04,26:27,1900,26,0,kidsforcodejavabeginnersforloops.txt
Kids for Code,Kids for Code - Day 1: Welcome to HTML/CSS!,https://www.youtube.com/watch?v=kxSU9jP85H8,2020-05-28,10:12,15588,169,0,kidsforcodeday1welcometohtmlcss.txt
Kids for Code,Kids for Code - HTML Day 2: Brackets Tutorial & Basic Page Structure,https://www.youtube.com/watch?v=9fc-po_z3iU,2020-05-29,10:48,5611,68,0,kidsforcodehtmlday2bracketstutorialbasicpagestructure.txt
Kids for Code,Kids For Code - HTML Day 3: Lists and Links,https://www.youtube.com/watch?v=NIORzdCM5bk,2020-06-02,15:28,2975,31,0,kidsforcodehtmlday3listsandlinks.txt
Kids for Code,Kids for Code - HTML Day 4: Images and CSS Styling Pt.1,https://www.youtube.com/watch?v=OdyFAOL5Pk0,2020-06-12,16:17,2103,20,0,kidsforcodehtmlday4imagesandcssstylingpt1.txt
Kids for Code,Kids for Code - HTML Day 5: CSS Styling Pt.2,https://www.youtube.com/watch?v=fGRJTjwTfrk,2020-07-01,10:42,1232,14,0,kidsforcodehtmlday5cssstylingpt2.txt
Kids for Code,Kids for Code - HTML Day 6 : Menus,https://www.youtube.com/watch?v=5glvM1Q2rsc,2020-07-10,9:56,1181,12,0,kidsforcodehtmlday6menus.txt
