channel_name,video_title,video_url,publish_date,video_length,views,likes,comments,transcript_filename
Learn Computer Programming,01 A very short Introduction to MySQL,https://www.youtube.com/watch?v=nHJjBcKU1WA,2022-01-22,4:27,280,11,1,01averyshortintroductiontomysql.txt
Learn Computer Programming,02 - Installing Latest Version of MySQL,https://www.youtube.com/watch?v=EtizbTNMDV8,2022-01-22,4:53,972,18,5,02installinglatestversionofmysql.txt
Learn Computer Programming,03 - MySQL Python Connectivity Installation,https://www.youtube.com/watch?v=D2pa1HGuP9Q,2022-01-30,3:29,348,12,0,03mysqlpythonconnectivityinstallation.txt
Learn Computer Programming,04 - Terminologies of Structured Query Language,https://www.youtube.com/watch?v=-rqSg-CjKy8,2022-02-13,7:42,198,5,1,04terminologiesofstructuredquerylanguage.txt
Learn Computer Programming,5 - Simple Queries in Structured Query Language (Part I),https://www.youtube.com/watch?v=p2qwYUu4bOQ,2022-02-18,10:14,368,10,0,5simplequeriesinstructuredquerylanguageparti.txt
Learn Computer Programming,06 - Simple queries in Structured Query Language - Part II,https://www.youtube.com/watch?v=dfqyKJLFs84,2022-02-25,16:56,146,7,0,06simplequeriesinstructuredquerylanguagepartii.txt
Learn Computer Programming,07 - Simple Queries in MySQL (Part III) - Date Functions,https://www.youtube.com/watch?v=sRGj3rPgnZM,2022-03-27,9:10,318,9,1,07simplequeriesinmysqlpartiiidatefunctions.txt
Learn Computer Programming,01 Python Language Latest Version Downloading and Installing,https://www.youtube.com/watch?v=GK_2f-kBHZY,2021-04-26,2:10,1693,31,2,01pythonlanguagelatestversiondownloadingandinstalling.txt
Learn Computer Programming,02 Advantages and Disadvantages of Python Language,https://www.youtube.com/watch?v=hy8RAMS_O2A,2021-04-26,4:38,7905,138,11,02advantagesanddisadvantagesofpythonlanguage.txt
Learn Computer Programming,04 Basic Structure and Components of Python Program,https://www.youtube.com/watch?v=vKGWkiX0268,2021-04-27,9:38,2628,47,7,04basicstructureandcomponentsofpythonprogram.txt
Learn Computer Programming,05 Python Tokens - Part I,https://www.youtube.com/watch?v=yzJBUqsqQb8,2021-04-28,12:36,627,12,9,05pythontokensparti.txt
Learn Computer Programming,06 Toekns II (Literals of Python Explained & Demonstrated),https://www.youtube.com/watch?v=HlauNkAWcgI,2021-05-13,29:34,386,8,0,06toeknsiiliteralsofpythonexplaineddemonstrated.txt
Learn Computer Programming,07 Tokens Part III - Operators and Delimiters,https://www.youtube.com/watch?v=DwQ76cFdH8Q,2021-05-20,31:33,361,13,1,07tokenspartiiioperatorsanddelimiters.txt
