channel_name,video_title,video_url,publish_date,video_length,views,likes,comments,transcript_filename
Low Level Learning,arrays are weird,https://www.youtube.com/watch?v=kdgq-OwsOs8,2024-01-04,6:57,106962,5020,470,arraysareweird.txt
Low Level Learning,demystifying the secret structure you've been using all along,https://www.youtube.com/watch?v=CRTR5ljBjPM,2023-12-16,8:03,96654,4085,140,demystifyingthesecretstructureyouvebeenusingallalong.txt
Low Level Learning,the cleanest feature in C that you've probably never heard of,https://www.youtube.com/watch?v=ZMzdrEYKyFQ,2023-11-26,8:13,132758,7052,495,thecleanestfeatureincthatyouveprobablyneverheardof.txt
Low Level Learning,everyone should test their code this way,https://www.youtube.com/watch?v=diUiwAEPjcQ,2023-10-15,8:34,79890,3972,139,everyoneshouldtesttheircodethisway.txt
Low Level Learning,why are switch statements so HECKIN fast?,https://www.youtube.com/watch?v=fjUG_y5ZaL4,2023-10-07,11:03,395802,17695,793,whyareswitchstatementssoheckinfast.txt
Low Level Learning,"why is it illegal to use ""goto""?",https://www.youtube.com/watch?v=AKJhThyTmQw,2023-10-28,5:23,248333,9099,759,whyisitillegaltousegoto.txt
Low Level Learning,why do header files even exist?,https://www.youtube.com/watch?v=tOQZlD-0Scc,2023-09-16,10:53,386416,14690,513,whydoheaderfilesevenexist.txt
Low Level Learning,why do void* pointers even exist?,https://www.youtube.com/watch?v=t7CUti_7d7c,2023-09-30,8:17,348440,12533,668,whydovoidpointersevenexist.txt
Low Level Learning,why does inheritance suck?,https://www.youtube.com/watch?v=aq365yzrTVE,2023-07-29,8:05,207872,8238,782,whydoesinheritancesuck.txt
Low Level Learning,how does source become code?,https://www.youtube.com/watch?v=2y1IgW2T8bo,2023-07-07,8:47,96744,5885,136,howdoessourcebecomecode.txt
Low Level Learning,"do you know how ""return"" works under the hood? (are you SURE?)",https://www.youtube.com/watch?v=e46wHUjNDjE,2023-05-05,5:08,352402,15709,577,doyouknowhowreturnworksunderthehoodareyousure.txt
