channel_name,video_title,video_url,publish_date,video_length,views,likes,comments,transcript_filename
MrBrownCS,GCSE Python #1: Overview and Setup (Desktop and Web Apps),https://www.youtube.com/watch?v=jbeq3HIxgcY,2020-04-16,12:38,15638,165,14,gcsepython1overviewandsetupdesktopandwebapps.txt
MrBrownCS,GCSE Python #2: Arithmetic Operations,https://www.youtube.com/watch?v=Jawt7IjAmuw,2020-04-16,8:43,9686,115,4,gcsepython2arithmeticoperations.txt
MrBrownCS,GCSE Python #3: Variables,https://www.youtube.com/watch?v=UoEZGO0qTFo,2020-04-16,7:39,7086,75,4,gcsepython3variables.txt
MrBrownCS,GCSE Python #4: Data Types,https://www.youtube.com/watch?v=m0Q_xq-bKPE,2020-04-17,9:53,5712,55,7,gcsepython4datatypes.txt
MrBrownCS,"GCSE Python #5: Printing, Comments, and Casting",https://www.youtube.com/watch?v=TU9_dsZuCLs,2020-04-17,8:56,4522,45,5,gcsepython5printingcommentsandcasting.txt
MrBrownCS,GCSE Python #6: User Input,https://www.youtube.com/watch?v=5d7p6EvhmC4,2020-04-17,6:30,4761,47,1,gcsepython6userinput.txt
MrBrownCS,GCSE Python Challenge #1: Simple Chatbot,https://www.youtube.com/watch?v=YWAcIm_GYbM,2020-06-25,16:05,7000,83,6,gcsepythonchallenge1simplechatbot.txt
MrBrownCS,GCSE Python #7: Relational and Logical Operations,https://www.youtube.com/watch?v=_o4SINJhMS4,2020-04-27,10:22,3785,51,0,gcsepython7relationalandlogicaloperations.txt
MrBrownCS,GCSE Python #8: String Handling Operations,https://www.youtube.com/watch?v=KYETOJ6agb0,2020-04-27,15:31,4213,63,6,gcsepython8stringhandlingoperations.txt
MrBrownCS,GCSE Python #9: Selection (If ... Else Statements),https://www.youtube.com/watch?v=AdhATpyWMc4,2020-04-27,14:51,5791,66,6,gcsepython9selectionifelsestatements.txt
MrBrownCS,GCSE Python Challenge #2: Palindromes,https://www.youtube.com/watch?v=Tq4tmsPQPv4,2020-06-26,23:21,3812,31,6,gcsepythonchallenge2palindromes.txt
MrBrownCS,GCSE Python #10: Lists (1D and 2D),https://www.youtube.com/watch?v=fgSV2wXNJUs,2020-05-04,16:58,5828,85,8,gcsepython10lists1dand2d.txt
MrBrownCS,GCSE Python #11: Iteration (For Loops),https://www.youtube.com/watch?v=yxg0z0pVEyU,2020-05-04,15:24,8534,143,12,gcsepython11iterationforloops.txt
MrBrownCS,GCSE Python #12: Iteration (While Loops),https://www.youtube.com/watch?v=B6L81Cwk2lk,2020-05-04,11:07,5919,97,7,gcsepython12iterationwhileloops.txt
MrBrownCS,GCSE Python Challenge #3: FizzBuzz,https://www.youtube.com/watch?v=NhabHD7mIgQ,2020-07-02,32:24,2358,32,0,gcsepythonchallenge3fizzbuzz.txt
MrBrownCS,GCSE Python #13: Functions and Variable Scope,https://www.youtube.com/watch?v=kNW4kEVzTyk,2020-07-04,23:10,3636,66,2,gcsepython13functionsandvariablescope.txt
MrBrownCS,GCSE Python #14: Random Number Generation,https://www.youtube.com/watch?v=HBB8rv20Rac,2020-05-11,12:42,2557,27,2,gcsepython14randomnumbergeneration.txt
MrBrownCS,GCSE Python Challenge #4: Higher or Lower?,https://www.youtube.com/watch?v=LM_H_v9Bcfs,2020-07-20,31:46,2388,27,2,gcsepythonchallenge4higherorlower.txt
MrBrownCS,GCSE Python #15: File Handling,https://www.youtube.com/watch?v=NW6DuTWreNQ,2020-05-17,24:18,5632,100,3,gcsepython15filehandling.txt
MrBrownCS,GCSE Python #16: Robust Programming,https://www.youtube.com/watch?v=-2V3p2ioSZk,2020-05-18,20:44,2785,53,8,gcsepython16robustprogramming.txt
MrBrownCS,How Do I Write Pseudocode?,https://www.youtube.com/watch?v=preyTbKXDoQ,2019-01-31,27:58,652370,9194,324,howdoiwritepseudocode.txt
MrBrownCS,Introduction to Binary,https://www.youtube.com/watch?v=Ol3PxSpEeT4,2018-01-30,5:23,127419,1096,83,introductiontobinary.txt
