channel_name,video_title,video_url,publish_date,video_length,views,likes,comments,transcript_filename
Programming For Beginners,"JavaScript Tutorial 1 - Introduction, NodeJS Installation & Hello World Example",https://www.youtube.com/watch?v=qsl09o4mi38,2024-06-17,14:02,259,9,4,javascripttutorial1introductionnodejsinstallationhelloworldexample.txt
Programming For Beginners,JavaScript Tutorial 2 - Change HTML Content using JavaScript innerHTML,https://www.youtube.com/watch?v=v8eah-bTGSE,2024-06-18,8:50,103,0,3,javascripttutorial2changehtmlcontentusingjavascriptinnerhtml.txt
Programming For Beginners,JavaScript Tutorial 3 - DOM Selectors to find HTML Elements in JavaScript,https://www.youtube.com/watch?v=EgdBSWOln9o,2024-06-19,12:33,89,3,2,javascripttutorial3domselectorstofindhtmlelementsinjavascript.txt
Programming For Beginners,JavaScript Tutorial 4 - Output in JavaScript | Programming For Beginners,https://www.youtube.com/watch?v=UvJi_CD0uyo,2024-06-20,10:20,65,0,0,javascripttutorial4outputinjavascriptprogrammingforbeginners.txt
Programming For Beginners,JavaScript Tutorial 5 - Exercise: Find sum of Numbers Entered by user in JavaScript,https://www.youtube.com/watch?v=nfD6x9ivVXc,2024-06-21,13:01,63,2,3,javascripttutorial5exercisefindsumofnumbersenteredbyuserinjavascript.txt
Programming For Beginners,JavaScript Tutorial 6 - Variables in JavaScript (var vs let vs const) | Programming For Beginners,https://www.youtube.com/watch?v=gMTnHnF9e9s,2024-06-29,14:04,55,1,0,javascripttutorial6variablesinjavascriptvarvsletvsconstprogrammingforbeginners.txt
Programming For Beginners,JavaScript Tutorial 7 - Arithmetic Operators in Javascript | Programming For Beginners,https://www.youtube.com/watch?v=SfbuF_XZcFY,2024-06-30,10:58,36,0,0,javascripttutorial7arithmeticoperatorsinjavascriptprogrammingforbeginners.txt
Programming For Beginners,JavaScript Tutorial 8 - Assignment Operators in Javascript | Programming For Beginners,https://www.youtube.com/watch?v=ghRDcoWoCLI,2024-07-02,6:19,42,1,0,javascripttutorial8assignmentoperatorsinjavascriptprogrammingforbeginners.txt
Programming For Beginners,JavaScript Tutorial 9 - Comparison Operators in Javascript | Programming For Beginners,https://www.youtube.com/watch?v=nBifwcYfMJk,2024-07-03,15:13,35,1,2,javascripttutorial9comparisonoperatorsinjavascriptprogrammingforbeginners.txt
Programming For Beginners,JavaScript Tutorial 10 - Exercise on Arithmetic Operators in Javascript,https://www.youtube.com/watch?v=adjF77biT9s,2024-07-04,7:14,47,0,4,javascripttutorial10exerciseonarithmeticoperatorsinjavascript.txt
Programming For Beginners,JavaScript Tutorial 11 - String in JavaScript | Programming For Beginners,https://www.youtube.com/watch?v=FuuNe2dAqfY,2024-07-08,13:49,43,1,4,javascripttutorial11stringinjavascriptprogrammingforbeginners.txt
Programming For Beginners,JavaScript Tutorial 12 - Data Types in JavaScript | Programming For Beginners,https://www.youtube.com/watch?v=-DT1sscnJno,2024-07-09,13:36,46,1,0,javascripttutorial12datatypesinjavascriptprogrammingforbeginners.txt
Programming For Beginners,JavaScript Tutorial 13 - If & else Conditional Statements in JavaScript,https://www.youtube.com/watch?v=-8fPGbh8k3o,2024-07-10,7:15,30,1,0,javascripttutorial13ifelseconditionalstatementsinjavascript.txt
Programming For Beginners,JavaScript Tutorial 14 - Switch Statement in JavaScript | Programming For Beginners,https://www.youtube.com/watch?v=iJsmQ9KYK5g,2024-07-11,7:59,34,2,0,javascripttutorial14switchstatementinjavascriptprogrammingforbeginners.txt
Programming For Beginners,JavaScript Tutorial 15 - Exercise to Greet Based on time in JavaScript,https://www.youtube.com/watch?v=zmBlzBhl3Lk,2024-07-12,5:57,30,1,0,javascripttutorial15exercisetogreetbasedontimeinjavascript.txt
Programming For Beginners,JavaScript Tutorial 16 - Ternary Operator in JavaScript (Conditional),https://www.youtube.com/watch?v=VfaY2sVSGnk,2024-07-15,7:47,32,1,0,javascripttutorial16ternaryoperatorinjavascriptconditional.txt
Programming For Beginners,JavaScript Tutorial 17 - Functions in JavaScript | Programming For Beginners,https://www.youtube.com/watch?v=l8bZqhd9474,2024-07-16,12:57,28,4,0,javascripttutorial17functionsinjavascriptprogrammingforbeginners.txt
Programming For Beginners,JavaScript Tutorial 18 - Arrow Function in JavaScript | Programming For Beginners,https://www.youtube.com/watch?v=tkLBH3VNt-I,2024-07-17,8:53,68,2,0,javascripttutorial18arrowfunctioninjavascriptprogrammingforbeginners.txt
Programming For Beginners,JavaScript Tutorial 19 - Recursive Function in JavaScript (Recursion),https://www.youtube.com/watch?v=2KeTjDaFdgw,2024-07-18,10:03,24,1,0,javascripttutorial19recursivefunctioninjavascriptrecursion.txt
Programming For Beginners,JavaScript Tutorial 20 - Exercise using Functions in JavaScript | Programming For Beginners,https://www.youtube.com/watch?v=zfmSZmQlRms,2024-07-19,7:00,43,2,1,javascripttutorial20exerciseusingfunctionsinjavascriptprogrammingforbeginners.txt
Programming For Beginners,JavaScript Tutorial 21 - while loop in JavaScript | Programming For Beginners,https://www.youtube.com/watch?v=kp8UNjNccJM,2024-07-22,7:07,34,1,0,javascripttutorial21whileloopinjavascriptprogrammingforbeginners.txt
Programming For Beginners,JavaScript Tutorial 22 - break and continue statements in JavaScript,https://www.youtube.com/watch?v=atSx1fzMj0k,2024-07-23,8:40,21,0,0,javascripttutorial22breakandcontinuestatementsinjavascript.txt
Programming For Beginners,CSS Tutorial #12 - Outline Property in CSS | Programming For Beginners,https://www.youtube.com/watch?v=obJCvIcEUrY,2024-02-13,7:37,112,4,4,csstutorial12outlinepropertyincssprogrammingforbeginners.txt
Programming For Beginners,CSS Tutorial #13 - Text Color and Alignment Property in CSS,https://www.youtube.com/watch?v=dRGLK4533R4,2024-02-14,9:48,78,3,0,csstutorial13textcolorandalignmentpropertyincss.txt
Programming For Beginners,CSS Tutorial #14 - Text Decoration Property in CSS | Programming For Beginners,https://www.youtube.com/watch?v=9Rl0aLx4420,2024-02-15,9:20,78,6,2,csstutorial14textdecorationpropertyincssprogrammingforbeginners.txt
Programming For Beginners,CSS Tutorial #15 - Text Transformation Property in CSS,https://www.youtube.com/watch?v=DtABB4llNsU,2024-02-16,5:08,94,2,0,csstutorial15texttransformationpropertyincss.txt
Programming For Beginners,CSS Tutorial #18 - Fonts in CSS | Programming For Beginners,https://www.youtube.com/watch?v=BhlFI6fi3gc,2024-02-21,10:48,63,3,0,csstutorial18fontsincssprogrammingforbeginners.txt
Programming For Beginners,CSS Tutorial #22 - List Styling Properties in CSS | Programming For Beginners,https://www.youtube.com/watch?v=GaqOe6Z5bvs,2024-02-27,11:20,68,1,0,csstutorial22liststylingpropertiesincssprogrammingforbeginners.txt
Programming For Beginners,CSS Tutorial #24 - Display Property in CSS | Programming For Beginners,https://www.youtube.com/watch?v=ACIz4iRoXWM,2024-02-29,15:52,66,3,0,csstutorial24displaypropertyincssprogrammingforbeginners.txt
Programming For Beginners,CSS Tutorial #25 - Exercise to Create Navigation Bar in CSS | Programming For Beginners,https://www.youtube.com/watch?v=9ZO_Ze6Kdlc,2024-03-01,10:54,74,4,0,csstutorial25exercisetocreatenavigationbarincssprogrammingforbeginners.txt
Programming For Beginners,CSS Tutorial #29 - float and clear Property in CSS | Programming For Beginners,https://www.youtube.com/watch?v=-iSbpNmXg0Y,2024-03-07,13:02,63,3,0,csstutorial29floatandclearpropertyincssprogrammingforbeginners.txt
Programming For Beginners,"CSS Tutorial #30 - Exercise on z-index, overflow, float, clear Properties in CSS",https://www.youtube.com/watch?v=OZO2nzR2Lj8,2024-03-08,12:08,74,4,0,csstutorial30exerciseonzindexoverflowfloatclearpropertiesincss.txt
Programming For Beginners,CSS Tutorial #31 - Horizontal and Vertical Align in CSS | Programming For Beginners,https://www.youtube.com/watch?v=H44klGM04Wk,2024-03-19,11:18,37,0,0,csstutorial31horizontalandverticalalignincssprogrammingforbeginners.txt
Programming For Beginners,CSS Tutorial #34 - Pseudo elements in CSS | Programming For Beginners,https://www.youtube.com/watch?v=kgQZ_mjxZTk,2024-03-22,8:00,29,0,0,csstutorial34pseudoelementsincssprogrammingforbeginners.txt
Programming For Beginners,CSS Tutorial #35 - Opacity or Transparency in CSS | Programming For Beginners,https://www.youtube.com/watch?v=IfksBZbbRc8,2024-03-23,8:50,32,0,0,csstutorial35opacityortransparencyincssprogrammingforbeginners.txt
Programming For Beginners,CSS Tutorial #37 - Horizontal Navigation Bar in CSS | Programming For Beginners,https://www.youtube.com/watch?v=DiPshQc5BUM,2024-03-26,9:08,38,1,0,csstutorial37horizontalnavigationbarincssprogrammingforbeginners.txt
Programming For Beginners,CSS Tutorial #38 - Create Dropdown Options in CSS | Programming For Beginners,https://www.youtube.com/watch?v=pd-ukzRM7Z8,2024-03-27,13:12,48,3,0,csstutorial38createdropdownoptionsincssprogrammingforbeginners.txt
Programming For Beginners,CSS Tutorial #42 - Counters in CSS for Automatic Numbering | Programming For Beginners,https://www.youtube.com/watch?v=2OnPZd0e1H8,2024-04-02,11:15,102,4,0,csstutorial42countersincssforautomaticnumberingprogrammingforbeginners.txt
Programming For Beginners,CSS Tutorial #43 - Length Units in CSS | Programming For Beginners,https://www.youtube.com/watch?v=JE_QGZiFFls,2024-04-03,21:01,60,1,0,csstutorial43lengthunitsincssprogrammingforbeginners.txt
Programming For Beginners,CSS Tutorial #46 - Math Functions in CSS | Programming For Beginners,https://www.youtube.com/watch?v=erfGn2yGFsA,2024-04-08,8:28,105,1,1,csstutorial46mathfunctionsincssprogrammingforbeginners.txt
Programming For Beginners,CSS Tutorial #47 - Rounded Corners in CSS | border-radius property,https://www.youtube.com/watch?v=pvXjiv_sjyA,2024-04-09,6:00,38,0,0,csstutorial47roundedcornersincssborderradiusproperty.txt
Programming For Beginners,CSS Tutorial #48 - Color Gradients in CSS | Programming For Beginners,https://www.youtube.com/watch?v=jmZxoegI9HM,2024-04-10,13:39,30,1,0,csstutorial48colorgradientsincssprogrammingforbeginners.txt
Programming For Beginners,CSS Tutorial #49 - Making Pie Chart in CSS | Programming For Beginners,https://www.youtube.com/watch?v=GaDoglxVm68,2024-04-11,7:02,29,2,2,csstutorial49makingpiechartincssprogrammingforbeginners.txt
Programming For Beginners,CSS Tutorial #51 - Box Shadow in CSS | Programming For Beginners,https://www.youtube.com/watch?v=h3n2DJ56_KM,2024-04-15,9:29,40,0,0,csstutorial51boxshadowincssprogrammingforbeginners.txt
Programming For Beginners,CSS Tutorial #52 - Text Effects in CSS | Programming For Beginners,https://www.youtube.com/watch?v=1zroZmQba7A,2024-04-16,8:40,28,1,3,csstutorial52texteffectsincssprogrammingforbeginners.txt
Programming For Beginners,CSS Tutorial #53 - 2D Transform Property in CSS | Programming For Beginners,https://www.youtube.com/watch?v=AwYN3c7HMDg,2024-04-17,14:34,47,0,0,csstutorial532dtransformpropertyincssprogrammingforbeginners.txt
