channel_name,video_title,video_url,publish_date,video_length,views,likes,comments,transcript_filename,"Tier (1, 2, or 3)"
ProgrammingKnowledge,How to Install Java on Mac | Install Java JDK on macOS (2024),https://www.youtube.com/watch?v=PQk9O03cukQ,1/1/24,16:48,110582,1619,108,howtoinstalljavaonmacinstalljavajdkonmacos2024.txt,3
ProgrammingKnowledge,How to Install Python on Mac | Install Python on macOS (2024),https://www.youtube.com/watch?v=nhv82tvFfkM,1/2/24,10:38,158552,1994,62,howtoinstallpythononmacinstallpythononmacos2024.txt,3
ProgrammingKnowledge,How to Install Eclipse IDE on Mac | Install Eclipse IDE on macOS (2024),https://www.youtube.com/watch?v=V7ggAMY2ybU,1/3/24,12:34,28491,358,20,howtoinstalleclipseideonmacinstalleclipseideonmacos2024.txt,3
ProgrammingKnowledge,How to Install NetBeans IDE on Mac | Install NetBeans IDE on macOS (2024),https://www.youtube.com/watch?v=5gfCGRf5-YY,1/4/24,5:11,28847,299,25,howtoinstallnetbeansideonmacinstallnetbeansideonmacos2024.txt,3
ProgrammingKnowledge,How to Install IntelliJ IDEA on Mac | Install IntelliJ IDEA IDE on macOS (2024),https://www.youtube.com/watch?v=zCkhAVhuILs,1/5/24,8:17,26851,251,15,howtoinstallintellijideaonmacinstallintellijideaideonmacos2024.txt,3
ProgrammingKnowledge,How to Install PyCharm on Mac | Install PyCharm IDE on macOS (2024),https://www.youtube.com/watch?v=ZVjQFjOI49c,1/6/24,6:56,25863,300,18,howtoinstallpycharmonmacinstallpycharmideonmacos2024.txt,3
ProgrammingKnowledge,How to Install XCode on Mac | Install XCode on macOS (2024),https://www.youtube.com/watch?v=F6QZ2atZrDw,1/7/24,6:46,16784,110,8,howtoinstallxcodeonmacinstallxcodeonmacos2024.txt,3
ProgrammingKnowledge,How to Install CodeBlocks IDE on Mac | Install CodeBlocks IDE on macOS (2024),https://www.youtube.com/watch?v=KuOkfEUVbD0,1/8/24,13:19,17846,175,47,howtoinstallcodeblocksideonmacinstallcodeblocksideonmacos2024.txt,3
ProgrammingKnowledge,How to Install MySQL on Mac | Install MySQL on macOS (2024),https://www.youtube.com/watch?v=ODA3rWfmzg8,1/9/24,17:11,136653,2488,459,howtoinstallmysqlonmacinstallmysqlonmacos2024.txt,3
ProgrammingKnowledge,FIX: “CodeBlocks” needs to be updated Error in Mac |  Solve issues running Code::blocks on my MacOS,https://www.youtube.com/watch?v=hWCvMO_0SAE,1/15/24,10:32,3877,39,20,fixcodeblocksneedstobeupdatederrorinmacsolveissuesrunningcodeblocksonmymacos.txt,3
ProgrammingKnowledge,FIX Code Blocks Crashing or quits unexpectedly on Mac | Solve CodeBlocks quits unexpectedly on MacOS,https://www.youtube.com/watch?v=DhFCGKPSxcU,1/20/24,4:11,1902,19,4,fixcodeblockscrashingorquitsunexpectedlyonmacsolvecodeblocksquitsunexpectedlyonmacos.txt,3
