channel_name,video_title,video_url,publish_date,video_length,views,likes,comments,transcript_filename
STEMinGames - Beginner Programming,mBot Neo Coding | Encoder Motor - Making Shapes | How to program mBot Neo (mBot2) | Makeblock Robot,https://www.youtube.com/watch?v=NFnal8-58eo,2023-06-23,7:15,7384,48,8,mbotneocodingencodermotormakingshapeshowtoprogrammbotneombot2makeblockrobot.txt
STEMinGames - Beginner Programming,Makeblock and mBlock Apps | mBot Neo Getting Started | How to Connect to mBot Neo (mBot2),https://www.youtube.com/watch?v=CMc7gKT8nAY,2023-07-04,5:32,4465,37,0,makeblockandmblockappsmbotneogettingstartedhowtoconnecttombotneombot2.txt
STEMinGames - Beginner Programming,Scratch Ghost Effect | Quick Tip | How to Fade In and Out and Make Transparent | Game Tutorial,https://www.youtube.com/watch?v=NY40qgWWiz8,2022-02-23,4:13,4973,34,2,scratchghosteffectquicktiphowtofadeinandoutandmaketransparentgametutorial.txt
STEMinGames - Beginner Programming,Scratch Clones | Quick Tip | How to Spawn Axolotls and Clone in Scratch Coding,https://www.youtube.com/watch?v=HwGbRWJFP2Q,2022-04-02,5:49,1865,9,1,scratchclonesquicktiphowtospawnaxolotlsandcloneinscratchcoding.txt
STEMinGames - Beginner Programming,Breakout Game in Scratch | How to Create Scratch Coding Game | Scratch Programming Game Tutorial,https://www.youtube.com/watch?v=ppbGUruKZq8,2022-02-04,21:36,16539,160,21,breakoutgameinscratchhowtocreatescratchcodinggamescratchprogramminggametutorial.txt
STEMinGames - Beginner Programming,Ultimate PONG Game in Scratch | How to Create Scratch Coding Game | Scratch Game Programming,https://www.youtube.com/watch?v=DyYieuClgHA,2022-01-21,16:15,3133,32,1,ultimateponggameinscratchhowtocreatescratchcodinggamescratchgameprogramming.txt
STEMinGames - Beginner Programming,How to Create Pong Game in Scratch | Scratch Coding Lesson 10 | Scratch Game Programming Tutorial,https://www.youtube.com/watch?v=2HiriS3aqc0,2022-01-10,11:38,3262,39,6,howtocreateponggameinscratchscratchcodinglesson10scratchgameprogrammingtutorial.txt
STEMinGames - Beginner Programming,Pizza Clicker Game in Scratch | How to Create in Scratch Coding | Scratch Programming Game Tutorial,https://www.youtube.com/watch?v=SanGa-_Tz44,2022-02-19,24:24,9118,106,12,pizzaclickergameinscratchhowtocreateinscratchcodingscratchprogramminggametutorial.txt
STEMinGames - Beginner Programming,Axolotl Scratch Game | How to Spawn / Clone Anything in Scratch | Scratch Programming Tutorial,https://www.youtube.com/watch?v=XZNQ2l3u_LQ,2022-04-07,12:53,1174,12,1,axolotlscratchgamehowtospawncloneanythinginscratchscratchprogrammingtutorial.txt
STEMinGames - Beginner Programming,Scratch Coding Lesson 1 | Intro to Scratch Coding | How to start | Free Beginner Programming Class,https://www.youtube.com/watch?v=4XYiESFU3Jo,2021-11-27,8:14,10843,65,3,scratchcodinglesson1introtoscratchcodinghowtostartfreebeginnerprogrammingclass.txt
STEMinGames - Beginner Programming,Christmas Decorating Game in Scratch | Scratch Coding Lesson 4 | How To Make Game,https://www.youtube.com/watch?v=KpwkGtf_bO0,2021-12-03,11:16,5577,27,7,christmasdecoratinggameinscratchscratchcodinglesson4howtomakegame.txt
STEMinGames - Beginner Programming,Scratch Coding Lesson 5 | How to Jump for Beginners | Scratch Programming Class,https://www.youtube.com/watch?v=4suIU00145c,2021-12-07,8:59,2397,20,3,scratchcodinglesson5howtojumpforbeginnersscratchprogrammingclass.txt
STEMinGames - Beginner Programming,How To Create a Jumping Game in Scratch | Scratch Coding Lesson 6 | Free Beginner Programming Class,https://www.youtube.com/watch?v=61SngVfR0c8,2021-12-11,13:52,4307,30,0,howtocreateajumpinggameinscratchscratchcodinglesson6freebeginnerprogrammingclass.txt
STEMinGames - Beginner Programming,How to Create a Maze Game in Scratch | Scratch Coding Lesson 7 | Free Beginner Programming Class,https://www.youtube.com/watch?v=f4TszeOG3hI,2021-12-21,13:32,1801,17,1,howtocreateamazegameinscratchscratchcodinglesson7freebeginnerprogrammingclass.txt
STEMinGames - Beginner Programming,How to Create a Racing Game in Scratch | Scratch Coding Lesson 8 | Scratch Programming Tutorial,https://www.youtube.com/watch?v=A0zayUHUaio,2021-12-29,17:33,2590,22,2,howtocreatearacinggameinscratchscratchcodinglesson8scratchprogrammingtutorial.txt
STEMinGames - Beginner Programming,ScratchJr Coding Lesson 1 | How to Make Character Move | Free Programming Lesson1,https://www.youtube.com/watch?v=o5XiZpzWcNc,2021-10-01,7:05,91957,627,0,scratchjrcodinglesson1howtomakecharactermovefreeprogramminglesson1.txt
STEMinGames - Beginner Programming,ScratchJr Coding Lesson 2 | How to Move Two Characters | Free Programming Lesson,https://www.youtube.com/watch?v=n3crpAATPv4,2021-10-02,10:54,35350,199,0,scratchjrcodinglesson2howtomovetwocharactersfreeprogramminglesson.txt
STEMinGames - Beginner Programming,ScratchJr Coding Lesson 3 | How to Change Size and Speed |Free Programming Lesson,https://www.youtube.com/watch?v=iy2sB57tGHM,2021-10-06,10:41,25431,146,0,scratchjrcodinglesson3howtochangesizeandspeedfreeprogramminglesson.txt
STEMinGames - Beginner Programming,ScratchJr Coding Lesson 4 | How to Code Movement | Beginner Programming Lesson,https://www.youtube.com/watch?v=X3dCPsNBing,2021-10-11,5:55,21780,121,0,scratchjrcodinglesson4howtocodemovementbeginnerprogramminglesson.txt
STEMinGames - Beginner Programming,ScratchJr Coding Lesson 5 | Paint Editor | How to Use Paint Editor,https://www.youtube.com/watch?v=Z98rcXsuW_4,2021-10-12,13:15,19684,118,0,scratchjrcodinglesson5painteditorhowtousepainteditor.txt
STEMinGames - Beginner Programming,ScratchJr Coding Lesson 6 | Make a Basketball Game | Beginner Programming Lesson,https://www.youtube.com/watch?v=GPnuYPlSjT4,2021-10-14,10:12,27591,147,0,scratchjrcodinglesson6makeabasketballgamebeginnerprogramminglesson.txt
STEMinGames - Beginner Programming,ScratchJr Coding Lesson 7 | How to Make a Memory Game | Beginner Programming,https://www.youtube.com/watch?v=23DjeHbPYl4,2021-10-15,12:45,44636,297,0,scratchjrcodinglesson7howtomakeamemorygamebeginnerprogramming.txt
STEMinGames - Beginner Programming,ScratchJr Coding Lesson 8 | Maze Game | How to Create a Maze Using Messages,https://www.youtube.com/watch?v=N254_ZF9L4w,2021-10-16,14:25,42377,296,0,scratchjrcodinglesson8mazegamehowtocreateamazeusingmessages.txt
STEMinGames - Beginner Programming,ScratchJr Coding Lesson 9 | Knock-Knock Joke | Free Coding Lesson | How to Use Camera and Mic,https://www.youtube.com/watch?v=DJ8aedIIvig,2021-10-16,14:42,11896,54,0,scratchjrcodinglesson9knockknockjokefreecodinglessonhowtousecameraandmic.txt
STEMinGames - Beginner Programming,ScratchJr Coding Lesson 12 | How to change looks | How to Code | Beginner Programming Lesson,https://www.youtube.com/watch?v=DRlxAu7VkFs,2021-10-26,14:13,8612,47,0,scratchjrcodinglesson12howtochangelookshowtocodebeginnerprogramminglesson.txt
STEMinGames - Beginner Programming,ScratchJr Coding Lesson 13 | How to use Sample Projects | Programming  Class,https://www.youtube.com/watch?v=jYwoiT0spcI,2021-10-28,7:41,6303,29,0,scratchjrcodinglesson13howtousesampleprojectsprogrammingclass.txt
