channel_name,video_title,video_url,publish_date,video_length,views,likes,comments,transcript_filename
ShawCode,Python Programming Basics For Beginners #1 - Output,https://www.youtube.com/watch?v=fKdRxXifypk,2020-01-16,3:13,6075,209,37,pythonprogrammingbasicsforbeginners1output.txt
ShawCode,Python Programming Basics For Beginners #2 - Variables,https://www.youtube.com/watch?v=m3H78Av94co,2020-01-19,5:46,2363,115,20,pythonprogrammingbasicsforbeginners2variables.txt
ShawCode,Python Programming Basics For Beginners #3 - Arithmetic Operators,https://www.youtube.com/watch?v=8kw-eqd_l0g,2020-01-25,4:23,1643,76,10,pythonprogrammingbasicsforbeginners3arithmeticoperators.txt
ShawCode,Python Programming Basics For Beginners #4 - Input,https://www.youtube.com/watch?v=1sadI2k6548,2020-02-08,3:57,1512,75,13,pythonprogrammingbasicsforbeginners4input.txt
ShawCode,Python Programming Basics For Beginners - Solutions 1-4,https://www.youtube.com/watch?v=M-e2rnbBZ34,2020-02-18,8:22,1204,49,10,pythonprogrammingbasicsforbeginnerssolutions14.txt
ShawCode,Python Programming Basics For Beginners #5 - If statements,https://www.youtube.com/watch?v=7wLGO6-dsdM,2020-02-23,5:48,1183,52,13,pythonprogrammingbasicsforbeginners5ifstatements.txt
ShawCode,Python Programming Basics for Beginners #7 - Booleans,https://www.youtube.com/watch?v=jlv5bSg-_fA,2020-03-14,4:36,931,51,2,pythonprogrammingbasicsforbeginners7booleans.txt
ShawCode,Python Programming Basics for Beginners #8 - Casting,https://www.youtube.com/watch?v=yyrQ5rXOElE,2020-03-28,4:48,1035,43,16,pythonprogrammingbasicsforbeginners8casting.txt
ShawCode,Python Programming Basics for Beginners #9 - Assignment Operators,https://www.youtube.com/watch?v=z2jHVdmRk_Y,2020-03-30,5:04,771,39,2,pythonprogrammingbasicsforbeginners9assignmentoperators.txt
ShawCode,Python Programming Basics for Beginners #10 - Logical Operators,https://www.youtube.com/watch?v=1q3ygCL1uQc,2020-04-01,4:32,671,33,7,pythonprogrammingbasicsforbeginners10logicaloperators.txt
