channel_name,video_title,video_url,publish_date,video_length,views,likes,comments,transcript_filename
Black Girls Code,Code Along Jr.—Meet the Googlers!,https://www.youtube.com/watch?v=UvpGHZw79DA,2024-04-26,0:14,116,12,0,codealongjrmeetthegooglers.txt
Black Girls Code,Have You Ever Thought About Working at Google? | Episode 8/8 of Code Along Jr. from Black Girls Code,https://www.youtube.com/watch?v=ahQQpYG0Lhk,2024-04-26,6:26,199330,5625,4,haveyoueverthoughtaboutworkingatgoogleepisode88ofcodealongjrfromblackgirlscode.txt
Black Girls Code,Code Along Jr.—Join Our Tour of Google!,https://www.youtube.com/watch?v=tx9SnDPUTGo,2024-04-19,0:36,93,6,0,codealongjrjoinourtourofgoogle.txt
Black Girls Code,Have You Ever Seen Inside Google? | Episode 7/8 of Code Along Jr. from Black Girls Code,https://www.youtube.com/watch?v=4-1qfmCZ67U,2024-04-19,6:27,207688,3234,5,haveyoueverseeninsidegoogleepisode78ofcodealongjrfromblackgirlscode.txt
Black Girls Code,NOW PLAYING—Code Along Jr. Episode 6,https://www.youtube.com/watch?v=J3-ID9Vy6Bs,2024-04-12,0:28,84,6,0,nowplayingcodealongjrepisode6.txt
Black Girls Code,How to Code a Song in Scratch | Episode 6/8 of Code Along Jr. from Black Girls Code,https://www.youtube.com/watch?v=fJsFiQAPo0Q,2024-04-12,9:52,193720,4709,0,howtocodeasonginscratchepisode68ofcodealongjrfromblackgirlscode.txt
Black Girls Code,Code Along Jr. Coming in Hot 🔥,https://www.youtube.com/watch?v=JNNDCXbtrHc,2024-04-05,0:41,84,2,1,codealongjrcominginhot.txt
Black Girls Code,How to Code a Story in Scratch | Episode 5/8 of Code Along Jr. from Black Girls Code,https://www.youtube.com/watch?v=gXfWsAVqLmM,2024-04-05,15:01,231911,1311,1,howtocodeastoryinscratchepisode58ofcodealongjrfromblackgirlscode.txt
Black Girls Code,NOW STREAMING—Code Along Jr. Episode 4,https://www.youtube.com/watch?v=FxMooER6V5E,2024-03-29,0:38,79,6,0,nowstreamingcodealongjrepisode4.txt
Black Girls Code,How to Code an AI Chatbot in Scratch | Episode 4/8 of Code Along Jr. from Black Girls Code,https://www.youtube.com/watch?v=wP_OsxPbdXA,2024-03-29,10:13,329828,158,0,howtocodeanaichatbotinscratchepisode48ofcodealongjrfromblackgirlscode.txt
