channel_name,video_title,video_url,publish_date,video_length,views,likes,comments,transcript_filename,Unnamed: 9
Bro Code,Let's code a WEATHER APP in Python! ☀️,https://www.youtube.com/watch?v=Q4377DH5Jso,8/8/24,54:28:00,3260,130,38,letscodeaweatherappinpython.txt,2
Bro Code,Let's code a STOPWATCH in Python! ⏱,https://www.youtube.com/watch?v=UKs0xhxSOg0,8/2/24,17:58,3978,133,33,letscodeastopwatchinpython.txt,2
Bro Code,Let's code a DIGITAL CLOCK in Python! 🕒,https://www.youtube.com/watch?v=543g1CurFFo,7/31/24,16:25,4130,141,26,letscodeadigitalclockinpython.txt,2
Bro Code,Learn Python PyQt5 in 1 hour! 🐍 (2024),https://www.youtube.com/watch?v=92zx_U9Nzf4,7/29/24,1:10:29,4370,210,32,learnpythonpyqt5in1hour2024.txt,2
Bro Code,Python PyQt5 add CSS-like properties easy! 🎨,https://www.youtube.com/watch?v=YJM9d0F3n-o,7/29/24,10:53,1069,39,6,pythonpyqt5addcsslikepropertieseasy.txt,2
Bro Code,Python PyQt5 LINE EDITS are easy! 💬,https://www.youtube.com/watch?v=4IUWg_wQNSc,7/28/24,6:01,918,15,14,pythonpyqt5lineeditsareeasy.txt,2
Bro Code,Python PyQt5 RADIO BUTTONS are easy! 🔘,https://www.youtube.com/watch?v=DZ3-ij_JHE0,7/28/24,9:13,628,17,7,pythonpyqt5radiobuttonsareeasy.txt,2
Bro Code,Learn Python MATCH-CASE STATEMENTS in 5 minutes! 📆,https://www.youtube.com/watch?v=L7tT0NZF-Ag,7/27/24,5:55,2267,118,16,learnpythonmatchcasestatementsin5minutes.txt,2
Bro Code,Python PyQt5 CHECKBOXES are easy! ✅,https://www.youtube.com/watch?v=VgnUB_vzR9I,7/27/24,6:31,658,15,4,pythonpyqt5checkboxesareeasy.txt,2
Bro Code,Let's code a Python NUMBER GUESSING GAME! 🔢,https://www.youtube.com/watch?v=jcKe13D6bao,7/26/24,8:20,2326,97,19,letscodeapythonnumberguessinggame.txt,2
Bro Code,Python PyQt5 BUTTONS are easy! 🛎️,https://www.youtube.com/watch?v=9pl55MxZlG4,7/26/24,7:05,885,36,7,pythonpyqt5buttonsareeasy.txt,2
Bro Code,Python PyQt5 LAYOUT MANAGERS are easy! 🧲,https://www.youtube.com/watch?v=ml-mBl77h6Q,7/25/24,6:39,881,35,9,pythonpyqt5layoutmanagersareeasy.txt,2
Bro Code,Python PyQt5 IMAGES are easy! 📷,https://www.youtube.com/watch?v=7v5NQeIBYes,7/25/24,6:06,744,24,8,pythonpyqt5imagesareeasy.txt,2
Bro Code,Python PyQt5 LABELS are easy!  🏷️,https://www.youtube.com/watch?v=nFLADhwXjW4,7/24/24,8:56,1529,62,15,pythonpyqt5labelsareeasy.txt,2
Bro Code,Python PyQt5 setup a basic GUI Application! 🖥️,https://www.youtube.com/watch?v=Uvqmv3PGiXM,7/23/24,9:09,5724,277,36,pythonpyqt5setupabasicguiapplication.txt,2
