channel_name,video_title,video_url,publish_date,video_length,views,likes,comments,transcript_filename,"Tier (1, 2, or 3)"
CS Dojo,Coding on Windows (and Linux) in 2024?! | Introduction to C# and .NET | Scott Hanselman,https://www.youtube.com/watch?v=MNN--Ml9XJg,3/19/24,55:57:00,9776,254,35,codingonwindowsandlinuxin2024introductiontocandnetscotthanselman.txt,3
CS Dojo,"How She Raised $6,000,000 for an Open Source Company",https://www.youtube.com/watch?v=h-MBPwE_vxo,3/1/24,30:12:00,8146,225,21,howsheraised6000000foranopensourcecompany.txt,3
CS Dojo,"Evan You, Creator of Vue.js & Vite | Full Interview/Conversation | Recorded LIVE in Singapore",https://www.youtube.com/watch?v=nydRe2_qD4k,2/7/24,50:35:00,9122,240,20,evanyoucreatorofvuejsvitefullinterviewconversationrecordedliveinsingapore.txt,3
CS Dojo,The Complete Roadmap to Get a Job in Tech in 2024,https://www.youtube.com/watch?v=U9WwJzMhcKA,1/9/24,9:59,31597,752,52,thecompleteroadmaptogetajobintechin2024.txt,3
CS Dojo,How to Get Started with Open Source | A Beginner-Friendly Guide,https://www.youtube.com/watch?v=MkaIrwOlP6Y,10/4/22,22:34,85009,1989,80,howtogetstartedwithopensourceabeginnerfriendlyguide.txt,3
CS Dojo,"How He Got Multiple Job Offers from FAANG, How to Get Started with a New Codebase (w/ @RahulPandeyrkp)",https://www.youtube.com/watch?v=Mn3UcNbdneg,7/28/22,53:52:00,20516,658,23,howhegotmultiplejoboffersfromfaanghowtogetstartedwithanewcodebasewrahulpandeyrkp.txt,3
CS Dojo,Getting a Tech Job as a Student (How He Got 100+ Offers - w/ @KunalKushwaha),https://www.youtube.com/watch?v=mw3vhugYWkM,7/18/22,46:57:00,25697,1196,27,gettingatechjobasastudenthowhegot100offerswkunalkushwaha.txt,3
CS Dojo,Introverted Developers on Social Media【w/  @francescociulla】,https://www.youtube.com/watch?v=DoBhLPVrJWQ,6/30/22,59:04:00,9005,218,18,introverteddevelopersonsocialmediawfrancescociulla.txt,3
CS Dojo,Competitive Programming - Getting Started & Acing It【w/ @PriyanshAgarwal】,https://www.youtube.com/watch?v=Z9J6KA9prb0,6/11/22,1:03:16,25257,853,30,competitiveprogramminggettingstartedacingitwpriyanshagarwal.txt,3
CS Dojo,How to Learn AI & ML in 2022 - A Complete Roadmap,https://www.youtube.com/watch?v=bB3fHB-QTXw,4/5/22,11:54,147562,4265,121,howtolearnaimlin2022acompleteroadmap.txt,3
