channel_name,video_title,video_url,publish_date,video_length,views,likes,comments,transcript_filename
Clear Code,Creating a Metroid inspired platformer in Godot [or Hollow Knight / Castelvania],https://www.youtube.com/watch?v=rwAXeJ9kjZ0,2024-06-30,6:09:12,19164,926,112,creatingametroidinspiredplatformeringodotorhollowknightcastelvania.txt
Clear Code,Master Python by making 5 games [the new ultimate introduction to pygame],https://www.youtube.com/watch?v=8OMghdHP-zs,2024-05-19,11:08:40,79753,2952,270,masterpythonbymaking5gamesthenewultimateintroductiontopygame.txt
Clear Code,Creating a Pokémon inspired RPG in Python & Pygame,https://www.youtube.com/watch?v=fo4e3njyGy0,2024-04-14,11:25:02,56234,2344,263,creatingapokmoninspiredrpginpythonpygame.txt
Clear Code,Creating an amazing 2D platformer in Python [ SNES inspired ],https://www.youtube.com/watch?v=WViyCAa6yLI,2024-02-11,9:29:02,84709,2521,300,creatinganamazing2dplatformerinpythonsnesinspired.txt
Clear Code,The ultimate introduction to Godot 4,https://www.youtube.com/watch?v=nAh_Kx5Zh5Q,2023-06-28,11:32:41,1413192,38086,2395,theultimateintroductiontogodot4.txt
Clear Code,The ultimate introduction to modern GUIs in Python [ with tkinter ],https://www.youtube.com/watch?v=mop6g-c5HEY,2023-03-23,18:23:19,904950,26777,673,theultimateintroductiontomodernguisinpythonwithtkinter.txt
Clear Code,Creating a Mario Maker style game in Python,https://www.youtube.com/watch?v=qYomF9p_SYM,2022-11-05,10:12:30,485633,10621,300,creatingamariomakerstylegameinpython.txt
Clear Code,Creating a Stardew Valley inspired game in Python,https://www.youtube.com/watch?v=T4IX36sP_0c,2022-08-10,6:44:12,649760,20151,514,creatingastardewvalleyinspiredgameinpython.txt
Clear Code,The ultimate introduction to PySimpleGUI [ Creating apps in Python ],https://www.youtube.com/watch?v=kQ8DGP9p2LY,2022-07-24,4:24:43,214336,5619,145,theultimateintroductiontopysimpleguicreatingappsinpython.txt
Clear Code,The complete guide to Python,https://www.youtube.com/watch?v=mDKM-JtUhhc,2022-07-07,11:08:59,487697,18251,349,thecompleteguidetopython.txt
Clear Code,The ultimate introduction to Pillow [ Image manipulation in Python ],https://www.youtube.com/watch?v=5QR-dG68eNE,2022-05-21,2:17:18,68252,1647,74,theultimateintroductiontopillowimagemanipulationinpython.txt
Clear Code,Understanding decorators [Python tutorial],https://www.youtube.com/watch?v=nVdF7QT-Ggg,2022-05-07,42:31,25500,1046,42,understandingdecoratorspythontutorial.txt
Clear Code,Understanding classes and object-oriented programming [Python Tutorial],https://www.youtube.com/watch?v=_vr5faCXFo8,2022-04-30,2:06:46,126894,4212,165,understandingclassesandobjectorientedprogrammingpythontutorial.txt
Clear Code,A guide to level creation with Tiled [ + how to use it with pygame ],https://www.youtube.com/watch?v=N6xqCwblyiw,2022-04-24,1:59:42,129379,2616,129,aguidetolevelcreationwithtiledhowtouseitwithpygame.txt
Clear Code,Breakout in python,https://www.youtube.com/watch?v=4tVC1vhxiao,2022-03-26,3:21:21,61068,871,49,breakoutinpython.txt
Clear Code,Collisions between moving objects,https://www.youtube.com/watch?v=W9uKzPFS1CI,2022-03-23,52:35,28006,672,28,collisionsbetweenmovingobjects.txt
Clear Code,Creating a Flappy Bird Clone in Python / Pygame,https://www.youtube.com/watch?v=VUFvY349ess,2022-03-19,1:40:59,56904,1081,42,creatingaflappybirdcloneinpythonpygame.txt
Clear Code,Understanding framerate independence and deltatime,https://www.youtube.com/watch?v=rWtfClpWSb8,2022-03-12,29:22,40042,1809,78,understandingframerateindependenceanddeltatime.txt
Clear Code,The GREATEST Flappy Bird clone #shorts,https://www.youtube.com/watch?v=QPEYgKGxZ5Y,2022-03-05,0:34,17699,648,30,thegreatestflappybirdcloneshorts.txt
Clear Code,Cameras in Pygame,https://www.youtube.com/watch?v=u7LPRqrzry8,2022-02-12,1:13:21,117541,3359,129,camerasinpygame.txt
Clear Code,Creating a Zelda style game in Python [with some Dark Souls elements],https://www.youtube.com/watch?v=QU1pPzEGrqw,2022-01-29,7:38:56,3015459,74042,1418,creatingazeldastylegameinpythonwithsomedarksoulselements.txt
Clear Code,Understanding Pygame masks,https://www.youtube.com/watch?v=uW3Fhe-Vkx4,2021-12-04,1:00:29,40204,1071,56,understandingpygamemasks.txt
Clear Code,Easy pathfinding in python [almost without math],https://www.youtube.com/watch?v=8SigT_jhz4I,2021-11-13,1:11:12,84291,2259,118,easypathfindinginpythonalmostwithoutmath.txt
Clear Code,Debugging in Pygame,https://www.youtube.com/watch?v=T9vYgZJCmeI,2021-10-05,12:28,14009,638,35,debugginginpygame.txt
Clear Code,Creating Space Invaders in Pygame/Python,https://www.youtube.com/watch?v=o-6pADy5Mdg,2021-08-02,1:54:50,123031,2692,142,creatingspaceinvadersinpygamepython.txt
