channel_name,video_title,video_url,publish_date,video_length,views,likes,comments,transcript_filename
Code Monkey,🔴Game Dev Report and stuff,https://www.youtube.com/watch?v=uZjiFwKJnmU,2024-08-09,2:01:57,3193,155,2,gamedevreportandstuff.txt
Code Monkey,Stop Killing Games? Or Do Kill Games?,https://www.youtube.com/watch?v=I_XhfY5qSbg,2024-08-08,13:05,12424,983,405,stopkillinggamesordokillgames.txt
Code Monkey,Learn C# Advanced! FREE Course SOON!,https://www.youtube.com/watch?v=zFY8b1C1d3k,2024-07-24,10:09,10492,925,115,learncadvancedfreecoursesoon.txt
Code Monkey,Code 260x FASTER! Learn Unity DOTS!,https://www.youtube.com/watch?v=nknjZEegKls,2024-07-08,9:57,31599,1613,284,code260xfasterlearnunitydots.txt
Code Monkey,TOP 20 Visual Assets to INSPIRE YOU! (JUNE 2024),https://www.youtube.com/watch?v=6wa0y8YE-Ek,2024-06-30,7:13,9115,378,47,top20visualassetstoinspireyoujune2024.txt
Code Monkey,Why every Indie Dev SHOULD make a HORROR game! (This just happened!),https://www.youtube.com/watch?v=5t5lcg8CkS0,2024-06-27,5:00,14715,887,142,whyeveryindiedevshouldmakeahorrorgamethisjusthappened.txt
Code Monkey,TOP 10 NEW Systems and Tools JUNE 2024! | Unity Asset Store,https://www.youtube.com/watch?v=Kw9QVX2b_gE,2024-06-26,7:44,13233,540,55,top10newsystemsandtoolsjune2024unityassetstore.txt
Code Monkey,Almost 2 HOURS of Steam Marketing GOLD!,https://www.youtube.com/watch?v=nPsGAeqqD64,2024-06-24,1:49:46,10933,607,45,almost2hoursofsteammarketinggold.txt
Code Monkey,Steam EXPERT explains How To Make a GREAT Steam page! (Indie Game Marketing),https://www.youtube.com/watch?v=OzYnPGnDDIk,2024-06-23,1:34:12,26128,1179,135,steamexpertexplainshowtomakeagreatsteampageindiegamemarketing.txt
Code Monkey,"TOP 10 NEW Games, Made with Unity! (MAY 2024)",https://www.youtube.com/watch?v=GwuNrvvXU74,2024-06-22,9:33,11706,481,50,top10newgamesmadewithunitymay2024.txt
Code Monkey,Steam EXPERT teaches you Game Marketing for SUCCESS!,https://www.youtube.com/watch?v=uPOSZ_jhCaw,2024-06-20,52:22,54347,3264,308,steamexpertteachesyougamemarketingforsuccess.txt
Code Monkey,TOP 10 FREE NEW Assets JUNE 2024!,https://www.youtube.com/watch?v=e3UZyEOyhmA,2024-06-18,5:19,12974,708,31,top10freenewassetsjune2024.txt
Code Monkey,How to PREDICT Sales for your game (ACCURATELY!),https://www.youtube.com/watch?v=5FUq91eH6jg,2024-06-17,9:42,7923,418,100,howtopredictsalesforyourgameaccurately.txt
Code Monkey,Get a REAL job in Roblox or develop a parasocial relationship with Minecraft AI,https://www.youtube.com/watch?v=RNP1ov0eDLs,2024-06-10,0:35,6550,295,14,getarealjobinrobloxordevelopaparasocialrelationshipwithminecraftai.txt
Code Monkey,ENDS SOON! Make Hundreds of Games with this Bundle 97% OFF!,https://www.youtube.com/watch?v=sEjynaTehec,2024-06-08,3:07,15101,506,66,endssoonmakehundredsofgameswiththisbundle97off.txt
Code Monkey,I also make MISTAKES!,https://www.youtube.com/watch?v=h3LCr7LDuUs,2024-06-05,7:29,22597,1533,145,ialsomakemistakes.txt
Code Monkey,🔴Making a Unity DOTS RTS Game!,https://www.youtube.com/watch?v=1BoKNH7faM0,2024-06-04,1:56:25,7886,291,15,makingaunitydotsrtsgame.txt
Code Monkey,High Level Overview on making a Turn Based Strategy Game!,https://www.youtube.com/watch?v=d6YZxQNjo8o,2024-06-04,0:35,1751,99,5,highleveloverviewonmakingaturnbasedstrategygame.txt
Code Monkey,Scriptable Objects are an extremely useful Unity feature!,https://www.youtube.com/watch?v=nepyKsvXGXU,2024-06-01,0:27,5881,345,6,scriptableobjectsareanextremelyusefulunityfeature.txt
Code Monkey,TOP 20 Visual Assets to INSPIRE YOU! (MAY 2024),https://www.youtube.com/watch?v=ISWr04HW4s4,2024-05-31,6:37,7929,351,30,top20visualassetstoinspireyoumay2024.txt
Code Monkey,"How to handle Level Scripting logic (Cutscenes, Events, Special moments)",https://www.youtube.com/watch?v=wiT2WLaLdWc,2024-05-31,0:44,5088,316,4,howtohandlelevelscriptinglogiccutsceneseventsspecialmoments.txt
Code Monkey,Wishlists DONT MATTER (after release),https://www.youtube.com/watch?v=Sy4j2OySBMI,2024-05-29,5:39,7478,423,82,wishlistsdontmatterafterrelease.txt
Code Monkey,Unity AI is now Project Aware! Get help with Debugging or Brainstorming Ideas,https://www.youtube.com/watch?v=paqiax_Bm-Y,2024-05-28,0:33,9282,569,31,unityaiisnowprojectawaregethelpwithdebuggingorbrainstormingideas.txt
Code Monkey,🔴Making a Unity DOTS RTS Game!,https://www.youtube.com/watch?v=zcDZ074mDKU,2024-05-27,1:31:10,11545,409,18,makingaunitydotsrtsgame_2.txt
Code Monkey,How to handle Cover mechanics in a Strategy game,https://www.youtube.com/watch?v=wbned4Q3z94,2024-05-26,0:30,3224,134,8,howtohandlecovermechanicsinastrategygame.txt
