channel_name,video_title,video_url,publish_date,video_length,views,likes,comments,transcript_filename
CodeBeauty,Why programmers can't get jobs anymore? #shorts  #programming #dev,https://www.youtube.com/watch?v=Qp0MXdhdkV4,2024-08-06,0:59,5395,282,31,whyprogrammerscantgetjobsanymoreshortsprogrammingdev.txt
CodeBeauty,DATA STRUCTURES - How to work with Lists? (C# for beginners) - Lists explained in 28 minutes!,https://www.youtube.com/watch?v=B28fZCOZ7D4,2024-07-24,27:51,3740,161,15,datastructureshowtoworkwithlistscforbeginnerslistsexplainedin28minutes.txt
CodeBeauty,DATA STRUCTURES - How to work with arrays? (C# for beginners) - Arrays explained in 40 minutes!,https://www.youtube.com/watch?v=88zteU7QcuA,2024-07-16,41:50,7345,299,46,datastructureshowtoworkwitharrayscforbeginnersarraysexplainedin40minutes.txt
CodeBeauty,All C# string methods explained (C# Programming tutorial for Beginners),https://www.youtube.com/watch?v=fCvY_i8x-H0,2024-07-02,26:06,4550,195,23,allcstringmethodsexplainedcprogrammingtutorialforbeginners.txt
CodeBeauty,How to set up VS Code for C# and make your First Program? + How to learn Practical Programming,https://www.youtube.com/watch?v=UxjdCAlU_QA,2024-06-20,16:45,4416,200,23,howtosetupvscodeforcandmakeyourfirstprogramhowtolearnpracticalprogramming.txt
CodeBeauty,C# String - How to work with strings in C#?  C# Programming tutorial for Beginners,https://www.youtube.com/watch?v=nk2zDKK1pvA,2024-06-12,29:38,3713,166,51,cstringhowtoworkwithstringsinccprogrammingtutorialforbeginners.txt
CodeBeauty,"C# Loops for beginners in 40 min - While, Do-While, For (C# Programming tutorial)",https://www.youtube.com/watch?v=n5GJRVMPnew,2024-05-21,40:44,7818,248,60,cloopsforbeginnersin40minwhiledowhileforcprogrammingtutorial.txt
CodeBeauty,Difference between copy constructor and assignment operator in C++ (OOP tutorial for beginners),https://www.youtube.com/watch?v=pKKXGxEapaU,2024-05-07,46:23,7233,297,59,differencebetweencopyconstructorandassignmentoperatorincooptutorialforbeginners.txt
CodeBeauty,Switch case statement - C# programming tutorial for beginners,https://www.youtube.com/watch?v=3wTCv143hNI,2024-05-02,22:18,3131,157,24,switchcasestatementcprogrammingtutorialforbeginners.txt
CodeBeauty,If else statement - C# programming tutorial for beginners,https://www.youtube.com/watch?v=eVWTeoygvFA,2024-04-24,21:06,4504,165,75,ifelsestatementcprogrammingtutorialforbeginners.txt
