channel_name,video_title,video_url,publish_date,video_length,views,likes,comments,transcript_filename
CodeMonkey - Coding Games for Kids,CodeMonkey BananaCast - Best of STEM Awards,https://www.youtube.com/watch?v=alcJzDRMiXc,2024-08-05,1:38,20,0,0,codemonkeybananacastbestofstemawards.txt
CodeMonkey - Coding Games for Kids,Become a game creator TODAY!,https://www.youtube.com/watch?v=RVf1p1b2Wlc,2024-07-30,0:22,56,2,0,becomeagamecreatortoday.txt
CodeMonkey - Coding Games for Kids,Become a game creator TODAY!,https://www.youtube.com/watch?v=QfeUEltpOjk,2024-07-29,0:40,139,1,0,becomeagamecreatortoday_2.txt
CodeMonkey - Coding Games for Kids,CodeMonkey BananaCast - Best of STEM Awards,https://www.youtube.com/watch?v=x-dG9h6v0As,2024-07-22,1:12,45,1,0,codemonkeybananacastbestofstemawards_2.txt
CodeMonkey - Coding Games for Kids,Teacher Dashboard Tip: Locating Challenge Solutions in CodeMonkey,https://www.youtube.com/watch?v=hS8Pd3mfVXw,2024-07-18,0:35,48,2,0,teacherdashboardtiplocatingchallengesolutionsincodemonkey.txt
CodeMonkey - Coding Games for Kids,Become a game creator TODAY!,https://www.youtube.com/watch?v=jU7MfsmUyFg,2024-07-16,0:42,75,0,0,becomeagamecreatortoday_3.txt
CodeMonkey - Coding Games for Kids,CodeMonkey BananaCast - Best of STEM Awards,https://www.youtube.com/watch?v=eC83xOzGYWI,2024-07-15,0:31,159,2,3,codemonkeybananacastbestofstemawards_3.txt
CodeMonkey - Coding Games for Kids,Teacher Dashboard Tip: Accessing Exportable Reports,https://www.youtube.com/watch?v=nXkZ-JK2jmA,2024-07-02,0:30,38,0,0,teacherdashboardtipaccessingexportablereports.txt
CodeMonkey - Coding Games for Kids,Become a game creator TODAY!,https://www.youtube.com/watch?v=LmxL9eL2A_4,2024-07-01,0:28,254,4,0,becomeagamecreatortoday_4.txt
CodeMonkey - Coding Games for Kids,Celebrate 10 Years of CodeMonkey,https://www.youtube.com/watch?v=9tgQiOiLg0w,2024-06-28,4:51,158,4,0,celebrate10yearsofcodemonkey.txt
CodeMonkey - Coding Games for Kids,Teacher Testimonial: Mariza Garcia,https://www.youtube.com/watch?v=_y6mp1UKK5E,2024-06-20,1:02,45,1,0,teachertestimonialmarizagarcia.txt
CodeMonkey - Coding Games for Kids,CodeMonkey 10 Year Anniversary - 10 YEARS OF SHAPING THE FUTURE OF EDUCATION,https://www.youtube.com/watch?v=6trImj-JNr8,2024-06-17,4:51,813,15,0,codemonkey10yearanniversary10yearsofshapingthefutureofeducation.txt
CodeMonkey - Coding Games for Kids,'Best of STEM Awards' with Founder Daylene Long | Tips & Life Lessons from an Inspiring Woman,https://www.youtube.com/watch?v=Y_LDXYpzgPs,2024-06-16,52:26,144,5,0,bestofstemawardswithfounderdaylenelongtipslifelessonsfromaninspiringwoman.txt
CodeMonkey - Coding Games for Kids,Want to find a particular student to keep track of their progress? We've got you covered! 😉,https://www.youtube.com/watch?v=XXlIoDPEp7I,2024-06-10,0:48,36,1,0,wanttofindaparticularstudenttokeeptrackoftheirprogresswevegotyoucovered.txt
CodeMonkey - Coding Games for Kids,Are your kids REALLY ready for the future? 🤔,https://www.youtube.com/watch?v=dVyeL-Onhgc,2024-06-03,0:36,61,2,1,areyourkidsreallyreadyforthefuture.txt
CodeMonkey - Coding Games for Kids,🐒  What do stars 🌟 in CodeMonkey 🐒 mean?,https://www.youtube.com/watch?v=P3rSEBWY7KE,2024-05-30,0:17,68,1,0,whatdostarsincodemonkeymean.txt
