channel_name,video_title,video_url,publish_date,video_length,views,likes,comments,transcript_filename,"Tier (1, 2, or 3)"
CodeWithChris,Release the App Together! - Vlog 12 Making Money With Apps,https://www.youtube.com/watch?v=PlQGm3tWGfY,8/10/24,9:19,765,32,2,releasetheapptogethervlog12makingmoneywithapps.txt,2
CodeWithChris,How to Build a YouTube API Video Player App - Conclusion,https://www.youtube.com/watch?v=GjyW1gQkuHE,8/7/24,1:16,693,23,1,howtobuildayoutubeapivideoplayerappconclusion.txt,2
CodeWithChris,Build Your Own YouTube API Video Player App 2024 - Full Build,https://www.youtube.com/watch?v=4OiPOIljPB0,8/7/24,2:16:14,920,40,4,buildyourownyoutubeapivideoplayerapp2024fullbuild.txt,2
CodeWithChris,How To Build a YouTube API Video Player App - Lesson 7,https://www.youtube.com/watch?v=pZHex_1oqZU,7/30/24,19:10,1226,57,12,howtobuildayoutubeapivideoplayerapplesson7.txt,2
CodeWithChris,How To Build a YouTube API Video Player App - Lesson 6,https://www.youtube.com/watch?v=boA3w_maUEY,7/23/24,9:32,1180,58,3,howtobuildayoutubeapivideoplayerapplesson6.txt,2
CodeWithChris,How to change the background color on a SwiftUI Form view #swiftui,https://www.youtube.com/watch?v=MC6cqmsIkP8,7/22/24,0:26,2153,0,5,howtochangethebackgroundcoloronaswiftuiformviewswiftui.txt,2
CodeWithChris,How To Build a YouTube API Video Player App - Lesson 5,https://www.youtube.com/watch?v=2-iKpyKeaHM,7/16/24,13:41,1303,47,8,howtobuildayoutubeapivideoplayerapplesson5.txt,2
CodeWithChris,How To Build a YouTube API Video Player App - Lesson 4,https://www.youtube.com/watch?v=FnID7dfGy9Y,7/9/24,30:18:00,1646,69,3,howtobuildayoutubeapivideoplayerapplesson4.txt,2
CodeWithChris,How To Build a YouTube API Video Player App - Lesson 3,https://www.youtube.com/watch?v=80lBTZuqxs8,7/2/24,9:49,1534,67,5,howtobuildayoutubeapivideoplayerapplesson3.txt,2
CodeWithChris,How To Build a YouTube API Video Player App - Lesson 2,https://www.youtube.com/watch?v=Mv7TC6sav6E,6/26/24,33:32:00,2130,85,5,howtobuildayoutubeapivideoplayerapplesson2.txt,2
CodeWithChris,How To Build a YouTube API Video Player App - Lesson 1,https://www.youtube.com/watch?v=vtBZmiqZSrQ,6/21/24,19:00,4158,160,12,howtobuildayoutubeapivideoplayerapplesson1.txt,2
CodeWithChris,SwiftUI Link Tutorial,https://www.youtube.com/watch?v=m1JOSS2igYk,6/18/24,3:52,1727,93,8,swiftuilinktutorial.txt,2
CodeWithChris,My 3 Urgent Insights as an iOS Developer (WWDC 2024),https://www.youtube.com/watch?v=cpKgkdNL2aQ,6/13/24,8:29,3353,106,14,my3urgentinsightsasaniosdeveloperwwdc2024.txt,2
