channel_name,video_title,video_url,publish_date,video_length,views,likes,comments,transcript_filename
Coding with John,New Java Version 22 - The 3 Best New Features You'll ACTUALLY Use,https://www.youtube.com/watch?v=ANlTASFN1I8,2024-04-29,13:15,102469,4347,341,newjavaversion22the3bestnewfeaturesyoullactuallyuse.txt
Coding with John,"Java is ""Strongly Typed""? - Here's What That ACTUALLY Means",https://www.youtube.com/watch?v=qJr1PjTt2S8,2024-01-31,9:06,46836,2178,160,javaisstronglytypedhereswhatthatactuallymeans.txt
Coding with John,Java's Garbage Collection Explained - How It Saves your Lazy Programmer Butt,https://www.youtube.com/watch?v=Mlbyft_MFYM,2023-11-13,9:01,68554,2900,112,javasgarbagecollectionexplainedhowitsavesyourlazyprogrammerbutt.txt
Coding with John,Static vs Non-Static Variables and Methods In Java - Full Simple Tutorial,https://www.youtube.com/watch?v=-Y67pdWHr9Y,2023-09-11,11:29,167437,7578,244,staticvsnonstaticvariablesandmethodsinjavafullsimpletutorial.txt
Coding with John,How to fix your Java error,https://www.youtube.com/watch?v=hmAYg-yhDlE,2023-08-07,0:13,32623,1395,26,howtofixyourjavaerror.txt
Coding with John,How I Memorized ALL IntelliJ Shortcuts Effortlessly,https://www.youtube.com/watch?v=CjN_rGH8hIY,2023-07-31,4:55,45990,2356,112,howimemorizedallintellijshortcutseffortlessly.txt
Coding with John,Java's Hello World Is About To Change Forever,https://www.youtube.com/watch?v=ZibsO2doQjU,2023-06-19,10:22,192037,6033,601,javashelloworldisabouttochangeforever.txt
Coding with John,Selection Sort Tutorial in Java: The Snail's Guide to Sorting,https://www.youtube.com/watch?v=dsqsnngsoD8,2023-06-05,14:17,51049,1503,64,selectionsorttutorialinjavathesnailsguidetosorting.txt
Coding with John,Vectors in Java: The 1 Situation You Might Want To Use Them,https://www.youtube.com/watch?v=s2h_lYgbkPI,2023-05-01,16:13,79156,3607,146,vectorsinjavathe1situationyoumightwanttousethem.txt
Coding with John,Binary Search in Java - Full Simple Coding Tutorial,https://www.youtube.com/watch?v=NFhOrxtXXcM,2023-02-13,17:48,114533,3573,178,binarysearchinjavafullsimplecodingtutorial.txt
Coding with John,Coding LeetCode Solution LIVE Stream - Median of Two Sorted Arrays,https://www.youtube.com/watch?v=AVt1kWHpg2A,2023-01-17,1:04:55,24504,915,41,codingleetcodesolutionlivestreammedianoftwosortedarrays.txt
Coding with John,Set and HashSet in Java - Full Tutorial,https://www.youtube.com/watch?v=QvHBHuuddYk,2022-12-12,20:43,208907,9411,363,setandhashsetinjavafulltutorial.txt
Coding with John,Why Are All The Best Java YouTubers Bald? - John Answers Your Comments,https://www.youtube.com/watch?v=2yYrmTPB6gY,2022-11-21,13:17,18863,1263,211,whyareallthebestjavayoutubersbaldjohnanswersyourcomments.txt
Coding with John,Java's Creators Rejected Multiple Inheritance - Here's Why,https://www.youtube.com/watch?v=1-JBFJ8Xar0,2022-10-24,13:14,68326,3161,279,javascreatorsrejectedmultipleinheritancehereswhy.txt
Coding with John,LeetCode Exercise In Java - Longest Substring Without Repeating Characters - FAST Solution,https://www.youtube.com/watch?v=GS9TyovoU4c,2022-09-26,38:17,89362,2913,179,leetcodeexerciseinjavalongestsubstringwithoutrepeatingcharactersfastsolution.txt
Coding with John,Java Reflection Explained - bɘniɒlqxƎ noiɟɔɘlʇɘЯ ɒvɒᒐ,https://www.youtube.com/watch?v=bhhMJSKNCQY,2022-08-29,20:07,177964,9292,341,javareflectionexplainedbnilqxnoilv.txt
Coding with John,LeetCode Exercise in Java Tutorial - Two Sum FAST Solution,https://www.youtube.com/watch?v=Yyyi12oaK94,2022-08-08,23:36,175984,5792,457,leetcodeexerciseinjavatutorialtwosumfastsolution.txt
Coding with John,Java Custom Exceptions Tutorial - It's Way Easier Than You Think,https://www.youtube.com/watch?v=OIozDnGYqIU,2022-07-20,14:29,152948,6147,157,javacustomexceptionstutorialitswayeasierthanyouthink.txt
Coding with John,Optionals In Java - Simple Tutorial,https://www.youtube.com/watch?v=vKVzRbsMnTQ,2022-06-27,15:53,205627,10782,435,optionalsinjavasimpletutorial.txt
Coding with John,How To Call a REST API In Java - Simple Tutorial,https://www.youtube.com/watch?v=9oq7Y8n1t00,2022-06-06,29:14,265776,7199,316,howtocallarestapiinjavasimpletutorial.txt
Coding with John,Annotations In Java Tutorial - How To Create And Use Your Own Custom Annotations,https://www.youtube.com/watch?v=DkZr7_c9ry8,2022-05-16,20:01,246557,9936,314,annotationsinjavatutorialhowtocreateanduseyourowncustomannotations.txt
Coding with John,Records In Java - Full Tutorial - The Best New Java Feature You're Not Using,https://www.youtube.com/watch?v=gJ9DYC-jswo,2022-04-18,13:48,249431,11070,546,recordsinjavafulltutorialthebestnewjavafeatureyourenotusing.txt
Coding with John,Top 5 Terrible Java Coding Techniques You Need to Be Using Right Now,https://www.youtube.com/watch?v=YpS0Jh5yqIw,2022-03-23,7:59,116347,4840,485,top5terriblejavacodingtechniquesyouneedtobeusingrightnow.txt
Coding with John,Null Pointer Exceptions In Java - What EXACTLY They Are and How to Fix Them,https://www.youtube.com/watch?v=lm72_HCd17s,2022-02-28,14:20,91340,3371,192,nullpointerexceptionsinjavawhatexactlytheyareandhowtofixthem.txt
Coding with John,Lambda Expressions in Java - Full Simple Tutorial,https://www.youtube.com/watch?v=tj5sLSFjVj4,2022-02-07,13:05,726486,25650,602,lambdaexpressionsinjavafullsimpletutorial.txt
Coding with John,How To Create Variables That Don't Suck - Writing Clean Java Code,https://www.youtube.com/watch?v=eVpwH1SPl1g,2022-01-26,7:12,56292,2796,156,howtocreatevariablesthatdontsuckwritingcleanjavacode.txt
Coding with John,Java Unit Testing with JUnit - Tutorial - How to Create And Use Unit Tests,https://www.youtube.com/watch?v=vZm0lHciFsQ,2022-01-18,21:35,641189,15456,446,javaunittestingwithjunittutorialhowtocreateanduseunittests.txt
Coding with John,How To Debug Java Code The Right Way - Eclipse Debugger Full Tutorial,https://www.youtube.com/watch?v=aqcJsKdjjvU,2022-01-04,22:18,180160,5545,284,howtodebugjavacodetherightwayeclipsedebuggerfulltutorial.txt
Coding with John,Generics In Java - Full Simple Tutorial,https://www.youtube.com/watch?v=K1iu1kXkVoA,2021-12-20,17:34,1071509,40481,1219,genericsinjavafullsimpletutorial.txt
Coding with John,Quicksort Sort Algorithm in Java - Full Tutorial With Source,https://www.youtube.com/watch?v=h8eyY7dIiN4,2021-11-30,24:58,236297,7433,296,quicksortsortalgorithminjavafulltutorialwithsource.txt
Coding with John,Insertion Sort Algorithm in Java - Full Tutorial With Source,https://www.youtube.com/watch?v=0lOnnd50cGI,2021-11-22,10:17,97434,3103,111,insertionsortalgorithminjavafulltutorialwithsource.txt
Coding with John,How to Run Java Programs With Command Prompt (cmd) and Notepad in Windows,https://www.youtube.com/watch?v=uA4eQbC3JgA,2021-11-15,5:43,328582,6232,219,howtorunjavaprogramswithcommandpromptcmdandnotepadinwindows.txt
Coding with John,Checked vs. Unchecked Exceptions in Java Tutorial - What's The Difference?,https://www.youtube.com/watch?v=bCPClyGsVhc,2021-11-08,10:14,204179,9879,203,checkedvsuncheckedexceptionsinjavatutorialwhatsthedifference.txt
Coding with John,"Super Keyword in Java Full Tutorial - How to Use ""super""",https://www.youtube.com/watch?v=Qb_NUn0TSAU,2021-10-25,11:33,200319,9531,188,superkeywordinjavafulltutorialhowtousesuper.txt
Coding with John,"This Keyword in Java Full Tutorial - How to Use ""this""",https://www.youtube.com/watch?v=ETLHbHenW44,2021-10-18,7:39,142516,7390,186,thiskeywordinjavafulltutorialhowtousethis.txt
Coding with John,Java Enums Explained in 6 Minutes,https://www.youtube.com/watch?v=wq9SJb8VeyM,2021-10-11,5:58,252917,10810,233,javaenumsexplainedin6minutes.txt
Coding with John,Upcasting and Downcasting in Java - Full Tutorial,https://www.youtube.com/watch?v=HpuH7n9VOYk,2021-10-04,10:22,170885,9727,334,upcastinganddowncastinginjavafulltutorial.txt
Coding with John,Java Constructors - Full Tutorial,https://www.youtube.com/watch?v=pgBk8HC7jbU,2021-09-27,7:38,351196,15551,384,javaconstructorsfulltutorial.txt
Coding with John,30+ Eclipse Shortcuts Every Java Programmer Should Know,https://www.youtube.com/watch?v=LIGkIGdmHII,2021-09-20,12:46,124225,6232,210,30eclipseshortcutseveryjavaprogrammershouldknow.txt
Coding with John,"How do YOU pronounce ""char""? #shorts",https://www.youtube.com/watch?v=f6wEtOPtZEE,2021-09-07,0:14,81961,3196,134,howdoyoupronouncecharshorts.txt
Coding with John,Java Strings are Immutable - Here's What That Actually Means,https://www.youtube.com/watch?v=Bj9Mx_Lx3q4,2021-09-06,7:06,610313,25652,753,javastringsareimmutablehereswhatthatactuallymeans.txt
Coding with John,Java is ALWAYS Pass By Value. Here's Why,https://www.youtube.com/watch?v=-5NC5_sI-vQ,2021-08-30,5:22,120165,6364,341,javaisalwayspassbyvaluehereswhy.txt
Coding with John,Abstract Classes and Methods in Java Explained in 7 Minutes,https://www.youtube.com/watch?v=HvPlEJ3LHgE,2021-08-20,7:00,499571,19776,640,abstractclassesandmethodsinjavaexplainedin7minutes.txt
Coding with John,Learn Java in One Video - 15-minute Crash Course,https://www.youtube.com/watch?v=drQK8ciCAjY,2021-08-11,14:54,681589,24674,634,learnjavainonevideo15minutecrashcourse.txt
Coding with John,How to Break Java with a Ridiculous Variable Name,https://www.youtube.com/watch?v=J_JOfvS5E_E,2021-08-03,5:49,16872,625,32,howtobreakjavawitharidiculousvariablename.txt
Coding with John,Why Java Is So Hard To Learn,https://www.youtube.com/watch?v=eJkwnS5ZkAI,2021-07-27,4:13,136571,6600,418,whyjavaissohardtolearn.txt
Coding with John,Never Write a Getter or Setter in Java Again,https://www.youtube.com/watch?v=ftKBLu47u_U,2021-07-20,10:41,152060,6397,473,neverwriteagetterorsetterinjavaagain.txt
Coding with John,Java Anonymous Inner Classes Explained in 6 Minutes,https://www.youtube.com/watch?v=DwtPWZn6T1A,2021-07-12,6:27,95587,6626,224,javaanonymousinnerclassesexplainedin6minutes.txt
Coding with John,Create Your First Java Program from Scratch in Minutes,https://www.youtube.com/watch?v=6WYJLkd3R9M,2021-07-05,9:51,109436,1879,29,createyourfirstjavaprogramfromscratchinminutes.txt
Coding with John,Multithreading in Java Explained in 10 Minutes,https://www.youtube.com/watch?v=r_MbozD32eo,2021-06-28,10:01,904481,40794,867,multithreadinginjavaexplainedin10minutes.txt
Coding with John,Map and HashMap in Java - Full Tutorial,https://www.youtube.com/watch?v=H62Jfv1DJlU,2021-06-14,10:10,557622,20887,458,mapandhashmapinjavafulltutorial.txt
Coding with John,LinkedList vs ArrayList in Java Tutorial - Which Should You Use?,https://www.youtube.com/watch?v=5dscMs2hnDI,2021-06-06,11:43,583203,19805,350,linkedlistvsarraylistinjavatutorialwhichshouldyouuse.txt
Coding with John,"Final Keyword in Java Full Tutorial - Final Classes, Methods, and Variables",https://www.youtube.com/watch?v=r9CMJZ4T__8,2021-05-30,9:57,113482,5843,115,finalkeywordinjavafulltutorialfinalclassesmethodsandvariables.txt
Coding with John,Create a Java Mortgage Payment Calculator - Full Tutorial,https://www.youtube.com/watch?v=7qsrRlOqv4c,2021-05-23,12:39,17380,434,32,createajavamortgagepaymentcalculatorfulltutorial.txt
Coding with John,Create a Sudoku Solver In Java In 20 Minutes - Full Tutorial,https://www.youtube.com/watch?v=mcXc8Mva2bA,2021-05-14,20:25,319091,9182,344,createasudokusolverinjavain20minutesfulltutorial.txt
Coding with John,What is a POJO in Java? Almost EVERYONE Gets This Wrong,https://www.youtube.com/watch?v=oqPiEc2zNb0,2021-05-10,5:05,120802,5535,185,whatisapojoinjavaalmosteveryonegetsthiswrong.txt
Coding with John,How Slow is This Awful Sorting Algorithm?,https://www.youtube.com/watch?v=Iq5GaeZ1jUw,2021-05-03,7:23,5736,257,23,howslowisthisawfulsortingalgorithm.txt
Coding with John,Worst Sorting Algorithm Ever - #shorts,https://www.youtube.com/watch?v=xsoJsd48lZQ,2021-04-29,0:49,229552,13875,271,worstsortingalgorithmevershorts.txt
Coding with John,Read From A File in Java - Way Easier Than You Think - #Shorts,https://www.youtube.com/watch?v=3VAsYnx-Wig,2021-04-28,0:40,47585,3036,44,readfromafileinjavawayeasierthanyouthinkshorts.txt
Coding with John,Java File Input/Output - It's Way Easier Than You Think,https://www.youtube.com/watch?v=ScUJx4aWRi0,2021-04-26,8:18,446631,14691,324,javafileinputoutputitswayeasierthanyouthink.txt
Coding with John,Write To A File in Java - Way Easier Than You Think - #Shorts,https://www.youtube.com/watch?v=MvzzBvbiwjk,2021-04-26,0:50,33146,2510,38,writetoafileinjavawayeasierthanyouthinkshorts.txt
Coding with John,Java Polymorphism Fully Explained In 7 Minutes,https://www.youtube.com/watch?v=jhDUxynEQRI,2021-04-18,7:16,304388,15087,435,javapolymorphismfullyexplainedin7minutes.txt
Coding with John,Merge Sort Algorithm in Java - Full Tutorial with Source,https://www.youtube.com/watch?v=bOk35XmHPKs,2021-04-11,23:02,173811,6612,308,mergesortalgorithminjavafulltutorialwithsource.txt
Coding with John,Bubble Sort Algorithm Tutorial in Java - How Fast Is It?,https://www.youtube.com/watch?v=g8qeaEd2jTc,2021-04-03,11:33,69930,2760,103,bubblesortalgorithmtutorialinjavahowfastisit.txt
Coding with John,Rock Paper Scissors Lizard Spock Game in Java,https://www.youtube.com/watch?v=Nb1YRElHVLc,2021-03-26,11:34,4090,85,7,rockpaperscissorslizardspockgameinjava.txt
Coding with John,Coding And Playing The Lottery In Java - Full Tutorial with Source,https://www.youtube.com/watch?v=Q4e9tNeZ2Fw,2021-03-18,17:57,16614,512,47,codingandplayingthelotteryinjavafulltutorialwithsource.txt
Coding with John,Primitives Data Types In Java - All the Primitives And What They Do,https://www.youtube.com/watch?v=WQ7mvQFSmYc,2021-03-11,10:24,65764,3367,72,primitivesdatatypesinjavaalltheprimitivesandwhattheydo.txt
Coding with John,Find Prime Numbers In Java - Full Walkthrough with Source,https://www.youtube.com/watch?v=I9-3drnfyp0,2021-03-03,13:17,35800,1273,35,findprimenumbersinjavafullwalkthroughwithsource.txt
Coding with John,Array vs. ArrayList in Java Tutorial - What's The Difference?,https://www.youtube.com/watch?v=NbYgm0r7u6o,2021-02-24,17:36,512251,23937,531,arrayvsarraylistinjavatutorialwhatsthedifference.txt
Coding with John,Worst Sorting Algorithm Ever? Let's Try Bogosort in Java,https://www.youtube.com/watch?v=TDnIa2aGcwI,2021-02-16,8:43,30874,1271,108,worstsortingalgorithmeverletstrybogosortinjava.txt
Coding with John,Create a Word Finder in Java in 20 minutes,https://www.youtube.com/watch?v=urqlvUX-Q-Q,2021-02-10,23:12,16237,525,41,createawordfinderinjavain20minutes.txt
Coding with John,.equals() vs. == in Java - The Real Difference,https://www.youtube.com/watch?v=AoUVdLWLFQw,2021-01-31,8:48,184024,8967,252,equalsvsinjavatherealdifference.txt
Coding with John,Create Rock Paper Scissors in Java in 10 Minutes,https://www.youtube.com/watch?v=DyqMglmrido,2021-01-21,10:24,110982,3401,118,createrockpaperscissorsinjavain10minutes.txt
Coding with John,Hangman Game in Java - Full Tutorial (Beginning to End),https://www.youtube.com/watch?v=_FEdpNUD9M4,2021-01-16,37:29,55227,1233,68,hangmangameinjavafulltutorialbeginningtoend.txt
Coding with John,Number Guessing Game in Java Tutorial (Beginning to End),https://www.youtube.com/watch?v=j_ax_yT7KW0,2021-01-08,14:34,60461,1700,79,numberguessinggameinjavatutorialbeginningtoend.txt
Coding with John,Exception Handling in Java Tutorial,https://www.youtube.com/watch?v=1XAfapkBQjk,2020-12-31,13:20,376235,13756,270,exceptionhandlinginjavatutorial.txt
Coding with John,How to Find the Area of a Circle in Java,https://www.youtube.com/watch?v=Op03pPUPk5c,2020-12-14,5:55,12095,253,14,howtofindtheareaofacircleinjava.txt
