channel_name,video_title,video_url,publish_date,video_length,views,likes,comments,transcript_filename
Corey Schafer,"Python Tkinter Tutorial (Part 1): Getting Started, Elements, Layouts, and Events",https://www.youtube.com/watch?v=epDKamC-V-8,2024-07-27,41:08,23574,1227,140,pythontkintertutorialpart1gettingstartedelementslayoutsandevents.txt
Corey Schafer,Automating My Bill Payments with Python and Selenium,https://www.youtube.com/watch?v=jNoTEiI2cVU,2024-06-01,1:18:30,42426,1555,154,automatingmybillpaymentswithpythonandselenium.txt
Corey Schafer,Python Quick Tip: Secure Passwords and Sensitive Info with DotEnv #Shorts #Python #Programming,https://www.youtube.com/watch?v=LQ1tm5lkaLI,2024-04-17,0:55,17422,941,24,pythonquicktipsecurepasswordsandsensitiveinfowithdotenvshortspythonprogramming.txt
Corey Schafer,Python Tutorial: Securely Manage Passwords and API Keys with DotEnv,https://www.youtube.com/watch?v=PYuTzLswn_Y,2024-04-17,16:58,31052,1641,169,pythontutorialsecurelymanagepasswordsandapikeyswithdotenv.txt
Corey Schafer,Automate Your Development Environment Setup with Scripts and Dotfiles,https://www.youtube.com/watch?v=ra5kMCXO-6I,2024-03-05,30:09,55703,2326,293,automateyourdevelopmentenvironmentsetupwithscriptsanddotfiles.txt
Corey Schafer,How to Use ChatGPT as a Powerful Tool for Programming,https://www.youtube.com/watch?v=jRAAaDll34Q,2023-05-21,31:08,302179,8270,451,howtousechatgptasapowerfultoolforprogramming.txt
Corey Schafer,Python Tutorial: Simulate the Powerball Lottery Using Python,https://www.youtube.com/watch?v=HZ8uXq5VG2w,2023-01-09,38:56,146338,4405,755,pythontutorialsimulatethepowerballlotteryusingpython.txt
Corey Schafer,Python YouTube API Tutorial: Using OAuth to Access User Accounts,https://www.youtube.com/watch?v=vQQEaSnQ_bs,2020-09-10,43:21,144246,2737,352,pythonyoutubeapitutorialusingoauthtoaccessuseraccounts.txt
Corey Schafer,Python YouTube API Tutorial: Sort a Playlist by Most Popular Videos,https://www.youtube.com/watch?v=1KO_HZtHOWI,2020-07-31,22:08,47440,1123,130,pythonyoutubeapitutorialsortaplaylistbymostpopularvideos.txt
Corey Schafer,Python YouTube API Tutorial: Calculating the Duration of a Playlist,https://www.youtube.com/watch?v=coZbOM6E47I,2020-06-10,37:38,58563,1645,178,pythonyoutubeapitutorialcalculatingthedurationofaplaylist.txt
