channel_name,video_title,video_url,publish_date,video_length,views,likes,comments,transcript_filename,"Tier (1, 2, or 3)"
Girls Who Code,Did you know?,https://www.youtube.com/watch?v=Q63vCHZGZzE,7/8/24,0:32,913,47,0,didyouknow.txt,1
Girls Who Code,"On your mark, get set, STEM. Behind the scenes of Volvo Cars' HQ. #shorts",https://www.youtube.com/watch?v=1xncqop645M,5/3/24,0:49,181,8,0,onyourmarkgetsetstembehindthescenesofvolvocarshqshorts.txt,1
Girls Who Code,VLOG: Girls Who Code Alumni Advisory Council Weekend (NYC),https://www.youtube.com/watch?v=KfLLluy6UvQ,4/30/24,0:25,140,8,0,vloggirlswhocodealumniadvisorycouncilweekendnyc.txt,1
Girls Who Code,Engineering. How hard could it be? Boys do it. #WomenInSTEM,https://www.youtube.com/watch?v=IMZS256OFlQ,4/29/24,0:09,10531,621,11,engineeringhowhardcoulditbeboysdoitwomeninstem.txt,1
Girls Who Code,Volvo For Life Fund – Girls Who Code,https://www.youtube.com/watch?v=6OvFm0yS9I4,4/22/24,1:50,398,16,4,volvoforlifefundgirlswhocode.txt,1
Girls Who Code,AI Hits the Recording Studio #STEMEducation #shorts,https://www.youtube.com/watch?v=qRGvISWDoHk,4/19/24,0:31,99,6,0,aihitstherecordingstudiostemeducationshorts.txt,1
Girls Who Code,Clubs 101: Closing the Gender Gap with Girls Who Code,https://www.youtube.com/watch?v=vKlSHE1yXZ8,4/9/24,15:06,178,8,0,clubs101closingthegendergapwithgirlswhocode.txt,1
Girls Who Code,MAKERS: L Girls Who Code Founder Reshma Saujani talks about the importance of failure,https://www.youtube.com/watch?v=CziqITKGx90,4/4/24,4:16,220,10,0,makerslgirlswhocodefounderreshmasaujanitalksabouttheimportanceoffailure.txt,1
Girls Who Code,Here's how the The FLATS paved the way for women in space #Mercury13 #WomeninSpace #shorts,https://www.youtube.com/watch?v=m0n6zPRn1ww,3/29/24,0:58,573,15,0,hereshowthetheflatspavedthewayforwomeninspacemercury13womeninspaceshorts.txt,1
Girls Who Code,Women's History Month: Celebrating Women in Tech #shorts #girlswhocode,https://www.youtube.com/watch?v=0FE4cO84l2k,3/27/24,0:55,594,22,6,womenshistorymonthcelebratingwomenintechshortsgirlswhocode.txt,1
