channel_name,video_title,video_url,publish_date,video_length,views,likes,comments,transcript_filename
Jenny's Lectures CS IT,"FREE Courses from ISRO with Certificates | Learn AI, ML and Python Programming Online",https://www.youtube.com/watch?v=fb1g0nzqe8M,2024-08-08,5:10,50719,1967,161,freecoursesfromisrowithcertificateslearnaimlandpythonprogrammingonline.txt
Jenny's Lectures CS IT,Data Science Internship | No cost Training with Certificates | Roadmap to be a Data Scientist 2024,https://www.youtube.com/watch?v=_ZhCnjbIK30,2024-08-06,10:13,37485,1578,102,datascienceinternshipnocosttrainingwithcertificatesroadmaptobeadatascientist2024.txt
Jenny's Lectures CS IT,Accessing Class Members using Objects in C++ |  Debugging C++ Program in VS Code | Lecture79,https://www.youtube.com/watch?v=E8T5WTa1aog,2024-08-04,18:42,4578,114,21,accessingclassmembersusingobjectsincdebuggingcprograminvscodelecture79.txt
Jenny's Lectures CS IT,Infosys Springboard Internship 2024 | Free Online Internship with Certificate for College Students,https://www.youtube.com/watch?v=0Pb18DJQRmg,2024-08-03,7:23,126024,3483,355,infosysspringboardinternship2024freeonlineinternshipwithcertificateforcollegestudents.txt
Jenny's Lectures CS IT,Classes and Objects in C++ | OOP Concepts | C++ Programming Course for Beginners | Lecture78,https://www.youtube.com/watch?v=x8T0eSPeydA,2024-08-01,22:05,7066,224,55,classesandobjectsincoopconceptscprogrammingcourseforbeginnerslecture78.txt
Jenny's Lectures CS IT,What to Object Oriented Programming | POP vs OOP | C++ Programming Course for Beginners| Lecture77,https://www.youtube.com/watch?v=-0_5ZkERRMg,2024-07-30,15:11,8562,316,37,whattoobjectorientedprogrammingpopvsoopcprogrammingcourseforbeginnerslecture77.txt
Jenny's Lectures CS IT,Coding Exercise on Recursion with Solution | C++ Placement Course | lecture 76,https://www.youtube.com/watch?v=IB2Ou_XVlJc,2024-07-28,7:52,4022,113,21,codingexerciseonrecursionwithsolutioncplacementcourselecture76.txt
Jenny's Lectures CS IT,How to get a JOB after a Career Gap | #career #jobs #jobsearch #shorts #jennyslectures #education,https://www.youtube.com/watch?v=6fw6y0iS7eI,2024-07-27,1:00,6859,424,17,howtogetajobafteracareergapcareerjobsjobsearchshortsjennyslectureseducation.txt
Jenny's Lectures CS IT,Coding Exercise on Recursion with Solution | C++ Placement Course | lecture 75,https://www.youtube.com/watch?v=vSQvL41HCiI,2024-07-27,11:04,4042,123,27,codingexerciseonrecursionwithsolutioncplacementcourselecture75.txt
Jenny's Lectures CS IT,Recursion & Recursive Functions in C++ | C++ Programming Course for Beginners | Lecture74,https://www.youtube.com/watch?v=brtbIPXkQKk,2024-07-25,25:56,4533,136,35,recursionrecursivefunctionsinccprogrammingcourseforbeginnerslecture74.txt
Jenny's Lectures CS IT,Software Development Internship with Job Offer |Earn 15k-18k |Online Internship| Freshers Jobs WFH,https://www.youtube.com/watch?v=ZgnMAUiLp2s,2024-07-24,3:52,25921,861,59,softwaredevelopmentinternshipwithjobofferearn15k18konlineinternshipfreshersjobswfh.txt
Jenny's Lectures CS IT,Inline Functions in C++ | C++ Programming Course | Lecture 73,https://www.youtube.com/watch?v=YInf0tMDZI8,2024-07-23,8:31,4843,146,45,inlinefunctionsinccprogrammingcourselecture73.txt
Jenny's Lectures CS IT,Best CSE Program with Placements | DSA | DBMS | System Design,https://www.youtube.com/watch?v=5z7IzRgpQUQ,2024-07-22,5:49,12353,332,58,bestcseprogramwithplacementsdsadbmssystemdesign.txt
Jenny's Lectures CS IT,College that Funds your Business Dreams | BBA Scholarships at Rishihood University,https://www.youtube.com/watch?v=gHPrEqVC6-0,2024-07-19,3:18,4689,88,13,collegethatfundsyourbusinessdreamsbbascholarshipsatrishihooduniversity.txt
Jenny's Lectures CS IT,Google Summer Internship 2025| Google is hiring Software Engineering Interns | Paid Internship,https://www.youtube.com/watch?v=kyn-FE1getw,2024-07-17,8:29,49508,1399,95,googlesummerinternship2025googleishiringsoftwareengineeringinternspaidinternship.txt
Jenny's Lectures CS IT,Best Resource to learn Data Science  | Data Science Course,https://www.youtube.com/watch?v=pM4T7pe-rEA,2024-07-16,5:34,14392,503,82,bestresourcetolearndatasciencedatasciencecourse.txt
Jenny's Lectures CS IT,"How to convert AI text to Human-like, Plagiarism Free, Undetectable Content | BypassGPT",https://www.youtube.com/watch?v=vytF_uaTax4,2024-07-15,8:23,9589,452,54,howtoconvertaitexttohumanlikeplagiarismfreeundetectablecontentbypassgpt.txt
Jenny's Lectures CS IT,Full Stack Development Internship with Job Offer| Earn 10k-12k |Online Internship| Freshers Jobs WFH,https://www.youtube.com/watch?v=bteEpz2t4A0,2024-07-09,6:27,40524,1111,102,fullstackdevelopmentinternshipwithjobofferearn10k12konlineinternshipfreshersjobswfh.txt
Jenny's Lectures CS IT,"Best Online Internship for students| Earn Rs. 30,000 per month | work From Home| Medical Students",https://www.youtube.com/watch?v=UaEsC85cnHo,2024-07-07,4:06,15413,377,48,bestonlineinternshipforstudentsearnrs30000permonthworkfromhomemedicalstudents.txt
Jenny's Lectures CS IT,How to crack Campus Internship | 3 tips |  #education #internship #coding,https://www.youtube.com/watch?v=l5gBpwZmU0I,2024-07-02,1:01,28385,1835,22,howtocrackcampusinternship3tipseducationinternshipcoding.txt
Jenny's Lectures CS IT,FREE Google Cloud Certifications | Free Certificate GCP Exam Vouchers | Closing Soon,https://www.youtube.com/watch?v=suqE_ceDFG0,2024-06-29,7:21,131936,3897,237,freegooglecloudcertificationsfreecertificategcpexamvouchersclosingsoon.txt
Jenny's Lectures CS IT,How Function Call Works | What is Call Stack | C++ Programming Course | Lecture72,https://www.youtube.com/watch?v=ui_eqwTflgs,2024-06-28,12:13,7908,193,35,howfunctioncallworkswhatiscallstackcprogrammingcourselecture72.txt
Jenny's Lectures CS IT,Coding Exercise on Passing Array to a Function | C++ Placement Course | lecture 71,https://www.youtube.com/watch?v=s3IOmvWmqLs,2024-06-27,13:18,3390,87,15,codingexerciseonpassingarraytoafunctioncplacementcourselecture71.txt
Jenny's Lectures CS IT,Passing an Array to a Function in C++ | C++ Placement Course | Lecture 70,https://www.youtube.com/watch?v=2phRwOl1eC0,2024-06-25,21:11,5799,145,27,passinganarraytoafunctioninccplacementcourselecture70.txt
Jenny's Lectures CS IT,Best Online Internship with 25000 Rs. per month Stipend | Work From Home | Job Offer | Mern Stack,https://www.youtube.com/watch?v=nR6TVTPhgis,2024-06-24,5:11,60929,1740,101,bestonlineinternshipwith25000rspermonthstipendworkfromhomejoboffermernstack.txt
Jenny's Lectures CS IT,Coding Exercise on Functions |  Practice Questions with Answers | C++ Placement Course| lecture 69,https://www.youtube.com/watch?v=Ci9S4Uiuj40,2024-06-23,8:56,3770,83,23,codingexerciseonfunctionspracticequestionswithanswerscplacementcourselecture69.txt
Jenny's Lectures CS IT,Microsoft FREE Certification Course on Generative AI | Best AI courses with FREE Certificates,https://www.youtube.com/watch?v=kK10CU26t6Q,2024-06-22,4:22,73452,3057,164,microsoftfreecertificationcourseongenerativeaibestaicourseswithfreecertificates.txt
Jenny's Lectures CS IT,How to get Internship without skills #internship #shorts #education #college,https://www.youtube.com/watch?v=d7zAV2yCgQQ,2024-06-22,0:57,40434,2600,19,howtogetinternshipwithoutskillsinternshipshortseducationcollege.txt
Jenny's Lectures CS IT,Practice Problems on Functions | Lecture 68 | C++ Placement Course,https://www.youtube.com/watch?v=yExSYPDdhwQ,2024-06-21,19:28,4536,116,18,practiceproblemsonfunctionslecture68cplacementcourse.txt
