channel_name,video_title,video_url,publish_date,video_length,views,likes,comments,transcript_filename,"Tier (1, 2, or 3)"
Khan Academy Computing,Patterns in binary numbers,https://www.youtube.com/watch?v=A_gzAJ-EQlU,5/20/20,5:38,22574,415,26,patternsinbinarynumbers.txt,1
Khan Academy Computing,Converting decimal numbers to binary,https://www.youtube.com/watch?v=1MGBapRPzqE,5/19/20,5:11,30484,469,19,convertingdecimalnumberstobinary.txt,1
Khan Academy Computing,The binary number system,https://www.youtube.com/watch?v=sXxwr66Y79Y,5/19/20,5:45,236010,3339,139,thebinarynumbersystem.txt,1
Khan Academy Computing,Decimal system refresher,https://www.youtube.com/watch?v=G4doTGQPRPw,5/19/20,1:30,27715,321,10,decimalsystemrefresher.txt,1
Khan Academy Computing,Adding two 16-bit binary numbers,https://www.youtube.com/watch?v=2gbcp7P8cbs,5/11/20,2:28,22318,390,15,addingtwo16bitbinarynumbers.txt,1
Khan Academy Computing,Memoized Recursive Fibonacci Calls (Diagrammed),https://www.youtube.com/watch?v=hbveibMDHfg,12/10/19,0:19,5876,36,1,memoizedrecursivefibonaccicallsdiagrammed.txt,1
Khan Academy Computing,Recursive Fibonacci Calls (Diagrammed),https://www.youtube.com/watch?v=214lD7tWkz8,12/10/19,0:19,1700,10,0,recursivefibonaccicallsdiagrammed.txt,1
Khan Academy Computing,Bottom-up Fibonacci: Visualization of JS code execution,https://www.youtube.com/watch?v=22VM0onqAMU,12/9/19,2:24,5101,73,4,bottomupfibonaccivisualizationofjscodeexecution.txt,1
Khan Academy Computing,Memoized Factorial: Visualization of JS code execution,https://www.youtube.com/watch?v=js9160AAKTk,12/9/19,3:49,5327,108,3,memoizedfactorialvisualizationofjscodeexecution.txt,1
Khan Academy Computing,Memoized Fibonacci: Visualization of JS code execution,https://www.youtube.com/watch?v=hISXxjX6Ino,12/9/19,4:23,6365,115,10,memoizedfibonaccivisualizationofjscodeexecution.txt,1
Khan Academy Computing,Khan Academy AP®︎ Computer Science Principles: A tour for teachers,https://www.youtube.com/watch?v=kHRDz-ydWCk,4/23/19,2:55,6082,85,3,khanacademyapcomputerscienceprinciplesatourforteachers.txt,1
Khan Academy Computing,Welcome to the Summer of Scripting!,https://www.youtube.com/watch?v=MfDqwOec5tQ,4/23/19,0:59,4991,213,33,welcometothesummerofscripting.txt,1
Khan Academy Computing,Welcome to the web! | Computer programming | Khan Academy,https://www.youtube.com/watch?v=jHPr-CuvHhs,4/23/19,2:48,1207486,321,12,welcometothewebcomputerprogrammingkhanacademy.txt,1
Khan Academy Computing,CSS: Selecting by id | Intro to HTML/CSS: Making webpages | Computer Programming | Khan Academy,https://www.youtube.com/watch?v=XN4AxR78Yc0,4/23/19,4:25,64746,191,11,cssselectingbyidintrotohtmlcssmakingwebpagescomputerprogrammingkhanacademy.txt,1
Khan Academy Computing,Editing a webpage in an online editor,https://www.youtube.com/watch?v=2ztYNfiLREA,4/23/19,1:21,87841,50,8,editingawebpageinanonlineeditor.txt,1
Khan Academy Computing,Editing a webpage from a command line editor,https://www.youtube.com/watch?v=ElCxST0I4Y0,4/23/19,2:07,49730,37,5,editingawebpagefromacommandlineeditor.txt,1
Khan Academy Computing,Editing webpages in a desktop editor,https://www.youtube.com/watch?v=YTRqcrIEz2Y,4/23/19,2:54,62512,25,6,editingwebpagesinadesktopeditor.txt,1
Khan Academy Computing,Nested for loops on JSTutor,https://www.youtube.com/watch?v=E5fTu7mjivE,3/11/19,4:45,5775,133,7,nestedforloopsonjstutor.txt,1
Khan Academy Computing,Drawing more shapes with code | Computer Programming | Khan Academy,https://www.youtube.com/watch?v=Lf-F-VYz81Y,11/13/15,5:52,177801,795,108,drawingmoreshapeswithcodecomputerprogrammingkhanacademy.txt,1
Khan Academy Computing,Making drawings with code | Computer Programming | Khan Academy,https://www.youtube.com/watch?v=D5HQw_GKOwo,11/13/15,6:09,455900,2532,277,makingdrawingswithcodecomputerprogrammingkhanacademy.txt,1
Khan Academy Computing,Coloring with code | Computer Programming | Khan Academy,https://www.youtube.com/watch?v=xNRV1l0d1Ug,11/13/15,5:19,164528,682,75,coloringwithcodecomputerprogrammingkhanacademy.txt,1
Khan Academy Computing,Using inline CSS styles | Intro to HTML/CSS: Making webpages | Computer Programming | Khan Academy,https://www.youtube.com/watch?v=283QCQt7oS4,10/30/15,3:00,26979,131,11,usinginlinecssstylesintrotohtmlcssmakingwebpagescomputerprogrammingkhanacademy.txt,1
Khan Academy Computing,Incrementing shortcuts | Computer Programming | Khan Academy,https://www.youtube.com/watch?v=2N8qQyAHmAo,10/30/15,3:50,81064,308,38,incrementingshortcutscomputerprogrammingkhanacademy.txt,1
Khan Academy Computing,Making animations | Computer Programming | Khan Academy,https://www.youtube.com/watch?v=us3_U9xnttc,10/30/15,6:03,183947,1082,118,makinganimationscomputerprogrammingkhanacademy.txt,1
Khan Academy Computing,Tour of live editor for potential contributors,https://www.youtube.com/watch?v=bPCWwEApKw4,10/23/15,5:55,4527,71,9,tourofliveeditorforpotentialcontributors.txt,1
Khan Academy Computing,Using external stylesheets | Computer Programming | Khan Academy,https://www.youtube.com/watch?v=aXvKdgVKFE8,10/23/15,3:11,9543,39,4,usingexternalstylesheetscomputerprogrammingkhanacademy.txt,1
Khan Academy Computing,Using inspect element for HTML,https://www.youtube.com/watch?v=CwiRPmXhcLY,10/16/15,1:15,107822,77,4,usinginspectelementforhtml.txt,1
