channel_name,video_title,video_url,publish_date,video_length,views,likes,comments,transcript_filename
Kids Coding Playground,Scratch Full Tutorial Math Game,https://www.youtube.com/watch?v=WLc3MTZ3ZgA,2024-08-04,55:08,87,6,3,scratchfulltutorialmathgame.txt
Kids Coding Playground,Shape Matching Game | Scratch Game Beginner Tutorial,https://www.youtube.com/watch?v=DRr6DwrfeFY,2024-06-02,11:32,828,19,3,shapematchinggamescratchgamebeginnertutorial.txt
Kids Coding Playground,Honey Launcher | Scratch Game Beginner Tutorial,https://www.youtube.com/watch?v=LBokXWW5ayQ,2024-04-14,18:50,985,18,2,honeylauncherscratchgamebeginnertutorial.txt
Kids Coding Playground,Scratch Lunar New Year 2024 | Year of the Dragon,https://www.youtube.com/watch?v=ETo1qxio7Qg,2024-02-11,8:36,396,12,2,scratchlunarnewyear2024yearofthedragon.txt
Kids Coding Playground,Hero War Game Part 8 | Scratch Game Tutorial,https://www.youtube.com/watch?v=F--79ES1e8k,2024-01-30,21:01,245,3,5,herowargamepart8scratchgametutorial.txt
Kids Coding Playground,Hero War Game Part 7 | Scratch Game Tutorial,https://www.youtube.com/watch?v=Z6qt02Fwbio,2024-01-29,23:37,108,4,2,herowargamepart7scratchgametutorial.txt
Kids Coding Playground,Hero War Game Part 6 | Scratch Game Tutorial,https://www.youtube.com/watch?v=6aOqEAz6Cx0,2024-01-22,19:54,122,4,0,herowargamepart6scratchgametutorial.txt
Kids Coding Playground,Hero War Game Part 5 | Scratch Game Tutorial,https://www.youtube.com/watch?v=NVjvLfMQvj8,2024-01-15,17:33,215,5,2,herowargamepart5scratchgametutorial.txt
Kids Coding Playground,Hero War Game Part 4 | Scratch Game Tutorial,https://www.youtube.com/watch?v=Lhc6DdtPtPg,2024-01-14,21:27,82,4,0,herowargamepart4scratchgametutorial.txt
Kids Coding Playground,Hero War Game Part 3 | Scratch Game Tutorial,https://www.youtube.com/watch?v=a8M-jyIQbok,2024-01-07,33:11,148,8,2,herowargamepart3scratchgametutorial.txt
Kids Coding Playground,Hero War Game Part 2 | Scratch Game Tutorial,https://www.youtube.com/watch?v=Ir07NY7xCcU,2024-01-04,18:24,160,6,0,herowargamepart2scratchgametutorial.txt
Kids Coding Playground,Hero War Game Part 1 | Scratch Game Tutorial,https://www.youtube.com/watch?v=hRS-A8pMyrE,2024-01-03,20:52,404,10,0,herowargamepart1scratchgametutorial.txt
Kids Coding Playground,Hero War Game Demo | Scratch Game Tutorial,https://www.youtube.com/watch?v=b8jldQP0HCY,2024-01-02,8:41,2452,12,8,herowargamedemoscratchgametutorial.txt
Kids Coding Playground,Scratch Tutorial | Scratch how to add Pokemon animation sprite to project | Scratch Easy Tutorial,https://www.youtube.com/watch?v=fi8BgDA_6po,2023-07-09,4:04,1519,19,10,scratchtutorialscratchhowtoaddpokemonanimationspritetoprojectscratcheasytutorial.txt
Kids Coding Playground,Scratch Tutorial | Scratch Skeleton Blaster Game | Scratch Easy Tutorial,https://www.youtube.com/watch?v=bW7Qkd0pffc,2023-06-12,33:34,3151,36,4,scratchtutorialscratchskeletonblastergamescratcheasytutorial.txt
Kids Coding Playground,Scratch Tutorial | Scratch Easter Egg Hunt Game 2023 | How to make an Easter Egg Hunt game,https://www.youtube.com/watch?v=19atJZMuKuo,2023-04-10,19:05,1838,18,9,scratchtutorialscratcheasteregghuntgame2023howtomakeaneasteregghuntgame.txt
Kids Coding Playground,How To Create AI Avatar For Free | How To Create Animated Talking Avatar For Free,https://www.youtube.com/watch?v=uJHXmrgXnPo,2023-03-27,3:48,923,27,9,howtocreateaiavatarforfreehowtocreateanimatedtalkingavatarforfree.txt
Kids Coding Playground,Scratch Farm Clicker Game | Part 2 | Scratch clicker game tutorial with shop,https://www.youtube.com/watch?v=t1NorzqSa8U,2023-03-06,26:12,713,12,0,scratchfarmclickergamepart2scratchclickergametutorialwithshop.txt
Kids Coding Playground,Scratch Farm Clicker Game | Part 1 | Scratch clicker game tutorial with shop,https://www.youtube.com/watch?v=faUB-Kn1V7I,2023-03-05,22:18,1897,19,16,scratchfarmclickergamepart1scratchclickergametutorialwithshop.txt
Kids Coding Playground,Scratch Farm Clicker Game Demo | Scratch Clicker Game Tutorial,https://www.youtube.com/watch?v=HWJ6LagSMM4,2023-02-27,5:32,3865,15,4,scratchfarmclickergamedemoscratchclickergametutorial.txt
Kids Coding Playground,Scratch Bubble Tea Maker | Part 4 | Scratch how to make bubble tea maker game,https://www.youtube.com/watch?v=BnDJfmS7YnM,2023-02-21,25:33,969,16,3,scratchbubbleteamakerpart4scratchhowtomakebubbleteamakergame.txt
Kids Coding Playground,Scratch Bubble Tea Maker | Part 3 | Scratch how to make bubble tea maker game,https://www.youtube.com/watch?v=FZmCGpG2bNQ,2023-02-19,20:58,713,10,0,scratchbubbleteamakerpart3scratchhowtomakebubbleteamakergame.txt
Kids Coding Playground,Scratch Tutorial Rain Effect | Scratch tutorial for kids | How to make snow effect in scratch game,https://www.youtube.com/watch?v=60dbO4G9dRY,2023-02-19,6:35,1345,20,7,scratchtutorialraineffectscratchtutorialforkidshowtomakesnoweffectinscratchgame.txt
Kids Coding Playground,YouTube #Shorts | Whac-a-Mole Game | Scratch Tutorial for Kids,https://www.youtube.com/watch?v=GzZmIcwKKaw,2023-02-13,0:16,643,14,0,youtubeshortswhacamolegamescratchtutorialforkids.txt
Kids Coding Playground,YouTube #Shorts | Scratch Basketball Game | Scratch Tutorial for Kids,https://www.youtube.com/watch?v=zaI94TrX6JA,2023-02-13,0:16,600,14,0,youtubeshortsscratchbasketballgamescratchtutorialforkids.txt
Kids Coding Playground,YouTube #Shorts | Scratch Sonic the Hedgehog Game | Scratch Tutorial for Kids,https://www.youtube.com/watch?v=QIyoDYaCz-s,2023-02-13,0:15,1280,20,2,youtubeshortsscratchsonicthehedgehoggamescratchtutorialforkids.txt
Kids Coding Playground,Scratch Bubble Tea Maker | Part 2 | Scratch how to make bubble tea maker game,https://www.youtube.com/watch?v=Ipo9H2T-TlQ,2023-02-12,18:34,1125,21,8,scratchbubbleteamakerpart2scratchhowtomakebubbleteamakergame.txt
Kids Coding Playground,"I asked ChatGPT to make me a scratch project, this is what happened... (Unexpected)",https://www.youtube.com/watch?v=mWwmZRuNJcY,2023-02-12,9:27,2295,24,7,iaskedchatgpttomakemeascratchprojectthisiswhathappenedunexpected.txt
Kids Coding Playground,Scratch Bubble Tea Maker | Part 1 | Scratch how to make bubble tea maker game,https://www.youtube.com/watch?v=JtAcidjXdaE,2023-02-06,20:01,3184,39,13,scratchbubbleteamakerpart1scratchhowtomakebubbleteamakergame.txt
Kids Coding Playground,Scratch Tutorial Snow Effect | Scratch tutorial for kids | How to make snow effect in scratch game,https://www.youtube.com/watch?v=X3vDh0_Rc6c,2023-02-05,6:03,668,11,2,scratchtutorialsnoweffectscratchtutorialforkidshowtomakesnoweffectinscratchgame.txt
