channel_name,video_title,video_url,publish_date,video_length,views,likes,comments,transcript_filename,"Tier (1, 2, or 3)"
KidsCanCode,Godot 4: 3D Character Controller,https://www.youtube.com/watch?v=AW3rT-7J8ag,9/30/23,14:51,29980,692,75,godot43dcharactercontroller.txt,1
KidsCanCode,Godot 4: Importing 3D Models,https://www.youtube.com/watch?v=XRUWhE4OnOY,9/25/23,6:28,35756,878,26,godot4importing3dmodels.txt,1
KidsCanCode,Godot 4: Character Animation,https://www.youtube.com/watch?v=YrNQCB34PAc,9/25/23,14:19,24656,717,19,godot4characteranimation.txt,1
KidsCanCode,Godot 4: Character to Rigid Body Interaction,https://www.youtube.com/watch?v=SJuScDavstM,8/3/23,4:39,31203,1016,115,godot4charactertorigidbodyinteraction.txt,1
KidsCanCode,Godot Recipe: KinematicBody + Stopping on Slopes,https://www.youtube.com/watch?v=a0gxFMdhR7w,8/2/21,4:33,13953,505,56,godotrecipekinematicbodystoppingonslopes.txt,1
KidsCanCode,Godot Recipe: Align 3D movement with camera,https://www.youtube.com/watch?v=GGTmK0R1tkc,7/19/21,4:43,20515,505,10,godotrecipealign3dmovementwithcamera.txt,1
KidsCanCode,Godot Recipe: 3D Rolling Cube,https://www.youtube.com/watch?v=Dq-Jr8boz50,7/13/21,13:08,7429,277,20,godotrecipe3drollingcube.txt,1
KidsCanCode,Godot Recipe: 8-way Movement & Animation,https://www.youtube.com/watch?v=gEx_Fmf-MhU,6/30/21,6:13,20088,531,26,godotrecipe8waymovementanimation.txt,1
KidsCanCode,Godot Recipe: Arcade-style 3D Spaceship,https://www.youtube.com/watch?v=8oywBn_bLeU,6/20/21,12:12,17726,733,51,godotrecipearcadestyle3dspaceship.txt,1
KidsCanCode,Godot Recipe: Simplified Airplane Controller,https://www.youtube.com/watch?v=RsrwmAme_WA,3/31/21,14:29,20732,741,85,godotrecipesimplifiedairplanecontroller.txt,1
KidsCanCode,Godot Recipe: 3D Arcade-style Car (with a sphere),https://www.youtube.com/watch?v=LqLchhxMldM,3/23/21,15:29,41329,1510,151,godotrecipe3darcadestylecarwithasphere.txt,1
KidsCanCode,Godot Recipe: AI - Context-based Steering,https://www.youtube.com/watch?v=dzqtF_CmX-I,1/5/21,15:34,25159,914,107,godotrecipeaicontextbasedsteering.txt,1
KidsCanCode,Godot Recipe: 3D Kinematic Car,https://www.youtube.com/watch?v=WhwSKyGjQq0,12/27/20,26:05:00,44169,1122,90,godotrecipe3dkinematiccar.txt,1
KidsCanCode,Godot Recipe: Multitarget Camera2D,https://www.youtube.com/watch?v=W7WsL3qaPqg,10/3/20,9:16,10670,536,60,godotrecipemultitargetcamera2d.txt,1
KidsCanCode,Godot Recipe: 3D KinematicBody: Align with terrain,https://www.youtube.com/watch?v=7axJJYont6Y,5/13/20,15:48,15703,604,108,godotrecipe3dkinematicbodyalignwithterrain.txt,1
KidsCanCode,Godot Recipe: 3D KinematicBody Movement,https://www.youtube.com/watch?v=rOA8i_clm1Y,5/7/20,11:56,25410,583,51,godotrecipe3dkinematicbodymovement.txt,1
KidsCanCode,Godot Recipe: Touchscreen Camera Control,https://www.youtube.com/watch?v=jRMhJSwd-Xw,3/21/20,8:25,12616,349,33,godotrecipetouchscreencameracontrol.txt,1
