channel_name,video_title,video_url,publish_date,video_length,views,likes,comments,transcript_filename
Kodable,Let's Code a Game In Kodable Creator | Coding for Kids | Kodable Education,https://www.youtube.com/watch?v=-UOghCcxEbM,2024-04-10,5:26,841,8,1,letscodeagameinkodablecreatorcodingforkidskodableeducation.txt
Kodable,How to play more mazes in Maze Maker | Coding for Kids | Kodable,https://www.youtube.com/watch?v=XwMJEHzmLSA,2023-09-08,3:03,2547,15,4,howtoplaymoremazesinmazemakercodingforkidskodable.txt
Kodable,Code Your Own Character | Kodable Fuzz Builder Tutorial,https://www.youtube.com/watch?v=O0pGoXlnVr4,2023-08-24,2:09,6979,10,2,codeyourowncharacterkodablefuzzbuildertutorial.txt
Kodable,Coding for Kids | Kodable,https://www.youtube.com/watch?v=R8XsUaxgriA,2023-08-04,0:55,16427,28,3,codingforkidskodable.txt
Kodable,Code A Valentine - Free Coding Activity for Kids,https://www.youtube.com/watch?v=9Tbv1od5jXk,2022-02-04,3:37,9405,40,0,codeavalentinefreecodingactivityforkids.txt
Kodable,How to Showcase K-2 Coding Progress | Teacher Training | Kodable,https://www.youtube.com/watch?v=gwOcjuFB8nw,2021-11-02,4:23,745,9,0,howtoshowcasek2codingprogressteachertrainingkodable.txt
Kodable,Project-Based Learning for Authentic Assessment | Teacher Training | Kodable,https://www.youtube.com/watch?v=ArPZaOyTXpQ,2021-11-02,7:40,1179,5,0,projectbasedlearningforauthenticassessmentteachertrainingkodable.txt
Kodable,K-2 Coding Assessment Methods | Teacher Training | Kodable,https://www.youtube.com/watch?v=7l2CDUMjdm0,2021-11-02,12:39,430,0,1,k2codingassessmentmethodsteachertrainingkodable.txt
Kodable,What K-2 Coding Standards Should You Use? | Teacher Training | Kodable,https://www.youtube.com/watch?v=wGgFu4zVFJM,2021-11-02,13:55,573,5,0,whatk2codingstandardsshouldyouuseteachertrainingkodable.txt
Kodable,Culture of learning | Teacher Training | Kodable,https://www.youtube.com/watch?v=IXgD2k0gClk,2021-11-01,2:40,3719,3,0,cultureoflearningteachertrainingkodable.txt
Kodable,What are Arrays? Coding for kids | Kodable,https://www.youtube.com/watch?v=Ri9ljAqm-is,2021-10-18,3:44,24648,270,0,whatarearrayscodingforkidskodable.txt
Kodable,What is Equality in Programming? Coding for kids | Kodable,https://www.youtube.com/watch?v=V4eH7B9OcHk,2021-10-18,3:50,6303,31,0,whatisequalityinprogrammingcodingforkidskodable.txt
Kodable,How to Integrate Coding with Other Subjects | Teacher Training | Kodable,https://www.youtube.com/watch?v=YMpvpbsKyCQ,2021-08-04,5:17,1904,11,1,howtointegratecodingwithothersubjectsteachertrainingkodable.txt
Kodable,How to: Include Coding in your Schedule | Teacher Training | Kodable,https://www.youtube.com/watch?v=cWCG7OyAC1w,2021-08-04,14:39,949,7,0,howtoincludecodinginyourscheduleteachertrainingkodable.txt
Kodable,Teach Coding in K-2: First Lesson Checklist | Teacher Training | Kodable,https://www.youtube.com/watch?v=jN6BtiNO8dg,2021-08-04,8:43,1565,9,1,teachcodingink2firstlessonchecklistteachertrainingkodable.txt
Kodable,EdTech Coding Community  | Teacher Training | Kodable,https://www.youtube.com/watch?v=XmIzODzjxno,2021-07-30,3:11,333,7,0,edtechcodingcommunityteachertrainingkodable.txt
Kodable,What Is Computer Science? And Other Ed-tech Buzzwords  | Teacher Training | Kodable,https://www.youtube.com/watch?v=YS5hbam85jQ,2021-07-30,9:53,453,4,0,whatiscomputerscienceandotheredtechbuzzwordsteachertrainingkodable.txt
