channel_name,video_title,video_url,publish_date,video_length,views,likes,comments,transcript_filename
LearnCode.academy,How to code in 30min - FOR ABSOLUTE BEGINNERS,https://www.youtube.com/watch?v=p8Za5MtyVdg,2022-03-07,27:03,23747,528,33,howtocodein30minforabsolutebeginners.txt
LearnCode.academy,How to code in 2022 - From zero to career-level,https://www.youtube.com/watch?v=TwanFw93TUQ,2022-02-28,22:46,39646,712,51,howtocodein2022fromzerotocareerlevel.txt
LearnCode.academy,Tailwind CSS - why CSS utility classes save so much time,https://www.youtube.com/watch?v=oU5ar0dmQEY,2021-07-09,16:55,16299,368,57,tailwindcsswhycssutilityclassessavesomuchtime.txt
LearnCode.academy,Manage React state like a boss with MobX Local Observables,https://www.youtube.com/watch?v=Azb5lNbbFqo,2021-06-21,15:16,7385,132,23,managereactstatelikeabosswithmobxlocalobservables.txt
LearnCode.academy,Next.js + React.js tutorial - YOU REALLY should be using Next.js,https://www.youtube.com/watch?v=T3iLrmO8TmY,2021-06-11,14:45,26752,698,85,nextjsreactjstutorialyoureallyshouldbeusingnextjs.txt
LearnCode.academy,Web Development in 2020 - A complete roadmap,https://www.youtube.com/watch?v=SBB1YtwODT0,2020-01-28,31:18,475657,15526,690,webdevelopmentin2020acompleteroadmap.txt
LearnCode.academy,Ultimate Hacking Keyboard UHK60 - Mechanical Keyboard Review,https://www.youtube.com/watch?v=v38H67xWfOI,2019-12-13,10:09,31580,436,59,ultimatehackingkeyboarduhk60mechanicalkeyboardreview.txt
LearnCode.academy,ArangoDB Tutorial - Databases every developer should know about,https://www.youtube.com/watch?v=4C4zqhXwCKs,2019-08-07,23:02,53775,1041,65,arangodbtutorialdatabaseseverydevelopershouldknowabout.txt
LearnCode.academy,CSS Units - Which ones to use and which to stop using! - HTML CSS Tutorial,https://www.youtube.com/watch?v=tcBRvjYw5xQ,2019-07-23,20:48,27328,793,55,cssunitswhichonestouseandwhichtostopusinghtmlcsstutorial.txt
LearnCode.academy,"How To Make A Website From HTML & CSS - FAST, CHEAP, EASY",https://www.youtube.com/watch?v=5iUB31h2Hzs,2019-05-28,9:45,201686,3449,106,howtomakeawebsitefromhtmlcssfastcheapeasy.txt
LearnCode.academy,Responsive Design Tutorial - Tips for making web sites look great on any device,https://www.youtube.com/watch?v=fgOO9YUFlGI,2019-02-26,18:02,242779,3902,233,responsivedesigntutorialtipsformakingwebsiteslookgreatonanydevice.txt
LearnCode.academy,HTML & CSS Tutorial - Ways to code images...and how to do it well,https://www.youtube.com/watch?v=7cwRaTqR4k0,2019-01-21,22:25,352396,5184,352,htmlcsstutorialwaystocodeimagesandhowtodoitwell.txt
LearnCode.academy,MOST AMAZING ERGODOX YET! - ERGODOX EZ GLOW REVIEW w/ Kailh Copper keyswitches,https://www.youtube.com/watch?v=rqrh5d__uoI,2018-12-06,8:59,30486,346,102,mostamazingergodoxyetergodoxezglowreviewwkailhcopperkeyswitches.txt
LearnCode.academy,CSS SELECTORS MADE EASY - HTML CSS Tutorial for Beginners,https://www.youtube.com/watch?v=dcCCOiQ1ZuM,2018-12-06,11:20,286941,3643,112,cssselectorsmadeeasyhtmlcsstutorialforbeginners.txt
LearnCode.academy,HTML CSS TUTORIAL FOR BEGINNERS - multiple pages,https://www.youtube.com/watch?v=iXSSHlOe47s,2018-11-29,9:09,584027,7567,268,htmlcsstutorialforbeginnersmultiplepages.txt
LearnCode.academy,Build an HTML + CSS Layout with Flexbox in just a few lines of code,https://www.youtube.com/watch?v=aRMIdKRYg6c,2018-11-12,7:04,446557,5479,192,buildanhtmlcsslayoutwithflexboxinjustafewlinesofcode.txt
LearnCode.academy,EASY! Hand-code an HTML + CSS layout,https://www.youtube.com/watch?v=dMK_3lH1YPo,2018-11-05,11:24,493462,6803,216,easyhandcodeanhtmlcsslayout.txt
