channel_name,video_title,video_url,publish_date,video_length,views,likes,comments,transcript_filename
My CS,Statistics and Probability Full Course,https://www.youtube.com/watch?v=vEM4YnRFGoA,2023-06-09,11:39:38,23647,627,17,statisticsandprobabilityfullcourse.txt
My CS,Unix Command Line Tutorial,https://www.youtube.com/watch?v=WVUDw0sxZxk,2023-01-09,49:07,4340,125,11,unixcommandlinetutorial.txt
My CS,Cryptography and security full course,https://www.youtube.com/watch?v=a5vI8mqMIjU,2022-10-05,9:45:19,9574,426,6,cryptographyandsecurityfullcourse.txt
My CS,Unix Tutorial for Beginners,https://www.youtube.com/watch?v=IrDUcdpPmdI,2022-08-23,49:07,13099,188,3,unixtutorialforbeginners.txt
My CS,Linux System Administration Full Course,https://www.youtube.com/watch?v=UCr04qIB7uc,2022-07-29,6:41:06,320129,8713,190,linuxsystemadministrationfullcourse.txt
My CS,Multivariable Calculus full Course || Multivariate Calculus Mathematics,https://www.youtube.com/watch?v=e9L17SoGT8c,2022-06-06,3:36:30,27430,783,17,multivariablecalculusfullcoursemultivariatecalculusmathematics.txt
My CS,Statistics for Data Science,https://www.youtube.com/watch?v=GGxxMm7KsZM,2022-05-20,9:17:45,8392,339,8,statisticsfordatascience.txt
My CS,Digital Forensic Crash Course for Beginners,https://www.youtube.com/watch?v=JNIUeGMax-U,2022-03-21,24:06,47675,792,9,digitalforensiccrashcourseforbeginners.txt
My CS,Business Mathematics,https://www.youtube.com/watch?v=c_0b_nBCKnU,2021-10-31,8:22:59,288678,5911,90,businessmathematics.txt
My CS,Deep Learning with TensorFlow,https://www.youtube.com/watch?v=qPXIp60FukY,2021-08-26,2:15:14,5540,182,12,deeplearningwithtensorflow.txt
My CS,Calculus 1 - full course for beginners,https://www.youtube.com/watch?v=JizOEcL4ft8,2021-06-15,10:40:47,33483,831,21,calculus1fullcourseforbeginners.txt
My CS,Statistics and Probability Full Course || Statistics For Data Science,https://www.youtube.com/watch?v=zZhU5Pf4W5w,2021-04-09,11:26:35,16809,520,8,statisticsandprobabilityfullcoursestatisticsfordatascience.txt
My CS,Digital Forensics Tutorial 5 || First step in Forensics Analysis,https://www.youtube.com/watch?v=WUY5oKZ4I38,2021-03-20,3:45,4803,76,1,digitalforensicstutorial5firststepinforensicsanalysis.txt
My CS,Python Tutorial - Python for Beginners [Full Course],https://www.youtube.com/watch?v=P3EKA_7CCFY,2021-02-28,11:01:04,51981,1755,47,pythontutorialpythonforbeginnersfullcourse.txt
My CS,Digital Forensics Tutorial 5 || Digital Forensics Tools,https://www.youtube.com/watch?v=Hwbb7zAWamg,2021-02-24,5:49,12507,149,8,digitalforensicstutorial5digitalforensicstools.txt
My CS,Digital Forensics Tutorial 4 || Digital Forensics Terminologies,https://www.youtube.com/watch?v=mYFNiWQPn94,2021-02-20,2:05,4723,81,6,digitalforensicstutorial4digitalforensicsterminologies.txt
My CS,Digital Forensics Tutorial 3 || Digital Forensics process,https://www.youtube.com/watch?v=QvGDH2XnKCw,2021-02-20,4:34,10073,114,5,digitalforensicstutorial3digitalforensicsprocess.txt
My CS,"Digital Forensics Tutorial 2 || Types of Crime, Investigation and Analysis",https://www.youtube.com/watch?v=VZcQgAboFsQ,2021-02-19,5:05,10926,137,7,digitalforensicstutorial2typesofcrimeinvestigationandanalysis.txt
My CS,Digital Forensics Tutorial 1 - An Introduction,https://www.youtube.com/watch?v=VGuiiFJVqjc,2021-02-18,2:50,22538,241,21,digitalforensicstutorial1anintroduction.txt
My CS,Calculus Series and Sequences,https://www.youtube.com/watch?v=_IR2WVV8zZs,2021-01-12,5:44:32,13945,376,10,calculusseriesandsequences.txt
My CS,Calculus 3 Full Course,https://www.youtube.com/watch?v=0yebWTXixnE,2020-11-30,10:24:24,164625,4769,121,calculus3fullcourse.txt
My CS,Practical Statistics Full Course || Learn Statistics with Examples,https://www.youtube.com/watch?v=Vpuv9Cq41K0,2020-11-15,1:04:26,8881,191,4,practicalstatisticsfullcourselearnstatisticswithexamples.txt
My CS,Information Security Tutorial,https://www.youtube.com/watch?v=0vvUkancccU,2020-10-28,27:30,45617,628,14,informationsecuritytutorial.txt
My CS,Network Security Tutorial Course for Beginners,https://www.youtube.com/watch?v=gXEXfYaxlDs,2020-10-13,1:26:31,22252,499,11,networksecuritytutorialcourseforbeginners.txt
My CS,SQLite crash course || SQLite Tutorial for Beginners,https://www.youtube.com/watch?v=rtCgnHdRSk0,2020-09-29,1:01:08,18520,314,13,sqlitecrashcoursesqlitetutorialforbeginners.txt
My CS,Analysis of Variance (ANOVA) Overview in Statistics,https://www.youtube.com/watch?v=5vsMjvS_TOI,2020-08-19,55:00,3587,91,11,analysisofvarianceanovaoverviewinstatistics.txt
My CS,Computer Networking Complete Course - Basic to Advanced,https://www.youtube.com/watch?v=0PbTi_Prpgs,2020-07-13,9:06:43,641570,14486,167,computernetworkingcompletecoursebasictoadvanced.txt
My CS,CompTIA A+  Full Video Course for Beginners,https://www.youtube.com/watch?v=hFjiwMQJers,2020-06-29,3:55:41,452058,7200,121,comptiaafullvideocourseforbeginners.txt
My CS,An Introduction to Reinforcement Learning,https://www.youtube.com/watch?v=3D3oNinUuqU,2020-06-23,53:46,2965,61,3,anintroductiontoreinforcementlearning.txt
My CS,Linux Tutorial For Beginners || Linux Command Line Tutorial,https://www.youtube.com/watch?v=5jIIOkA0NpI,2020-06-17,2:19:42,55718,1161,35,linuxtutorialforbeginnerslinuxcommandlinetutorial.txt
My CS,Algebra for Beginners | Algebra Full Course,https://www.youtube.com/watch?v=_F7_zB3BYQ0,2020-05-26,5:22:06,72126,2075,60,algebraforbeginnersalgebrafullcourse.txt
My CS,Bayes Theorem and Naive Bayes Classifier,https://www.youtube.com/watch?v=MMkZCXVbjOA,2020-05-19,28:31,2392,54,1,bayestheoremandnaivebayesclassifier.txt
My CS,Python Tutorial for Beginners [Full Course] - Learn Python Full Course [2020],https://www.youtube.com/watch?v=ZUJftlqr0LY,2020-05-12,4:09:48,12658,429,15,pythontutorialforbeginnersfullcourselearnpythonfullcourse2020.txt
My CS,Cyber Security for beginners || Introduction to Cybersecurity,https://www.youtube.com/watch?v=y9LJoa79GEk,2020-05-07,22:24,64975,810,18,cybersecurityforbeginnersintroductiontocybersecurity.txt
My CS,Probability statistics tutorial || Probability for data science,https://www.youtube.com/watch?v=iaeLv-ilMA0,2020-04-20,1:19:19,9368,238,7,probabilitystatisticstutorialprobabilityfordatascience.txt
My CS,MySQL Tutorial for Beginners - Full Course,https://www.youtube.com/watch?v=0ZBhyQzyDXQ,2020-04-14,1:25:46,13046,235,5,mysqltutorialforbeginnersfullcourse.txt
My CS,Artificial Intelligence Tutorial for Beginners,https://www.youtube.com/watch?v=dXtEruOcXmQ,2020-04-08,31:24,4145,160,10,artificialintelligencetutorialforbeginners.txt
My CS,DoS attack | What is Denial of Service attack and How to initiate it,https://www.youtube.com/watch?v=pkZHu3NTww4,2019-10-07,1:12:00,11536,251,5,dosattackwhatisdenialofserviceattackandhowtoinitiateit.txt
My CS,Linear Algebra for Beginners,https://www.youtube.com/watch?v=R3VlD0ohKwc,2019-09-14,1:36:34,37990,658,29,linearalgebraforbeginners.txt
My CS,Data Analysis for Beginners | Fundamentals of Data Analysis,https://www.youtube.com/watch?v=dUrt-YC6BXM,2019-09-01,1:20:28,20843,389,11,dataanalysisforbeginnersfundamentalsofdataanalysis.txt
My CS,Quantum Computing for Beginners | How to get started with Quantum Computing,https://www.youtube.com/watch?v=z8K4p1ffQek,2019-08-21,18:33,9835,279,17,quantumcomputingforbeginnershowtogetstartedwithquantumcomputing.txt
My CS,Python Programming  Full Course for Beginners | Basic to Advance,https://www.youtube.com/watch?v=wqPGUdNjSP8,2019-08-17,3:50:54,30156,718,18,pythonprogrammingfullcourseforbeginnersbasictoadvance.txt
My CS,SAS tutorials for beginners | SAS tutorial for data analysis,https://www.youtube.com/watch?v=puWIP9-PGF4,2019-08-06,2:13:29,17720,190,9,sastutorialsforbeginnerssastutorialfordataanalysis.txt
My CS,R programming for Beginners | R programming for data Science,https://www.youtube.com/watch?v=klxMhulYUQk,2019-06-26,1:07:12,11905,324,11,rprogrammingforbeginnersrprogrammingfordatascience.txt
My CS,Learn Machine Learning: FULL Course for Beginners [Without Math],https://www.youtube.com/watch?v=n50wMA9Lct8,2019-06-04,1:37:42,14179,541,10,learnmachinelearningfullcourseforbeginnerswithoutmath.txt
My CS,Data Science Full Course for Beginner | Data Science Tutorial,https://www.youtube.com/watch?v=jHX0iHh6G1Q,2019-05-23,5:58:04,244681,8908,126,datasciencefullcourseforbeginnerdatasciencetutorial.txt
