channel_name,video_title,video_url,publish_date,video_length,views,likes,comments,transcript_filename
Programiz,Relationship network of Harry Potter using Python | Shorts,https://www.youtube.com/watch?v=TO_UqGXyNN0,2023-06-23,0:59,5785,200,1,relationshipnetworkofharrypotterusingpythonshorts.txt
Programiz,Can You Conquer the #ProgramizSummerChallenge in Just 3 Months?,https://www.youtube.com/watch?v=3mXk-w7_-Bk,2023-06-12,0:46,4433,114,2,canyouconquertheprogramizsummerchallengeinjust3months.txt
Programiz,Introducing sensAI - Your Personal Coding Mentor🤖🤖,https://www.youtube.com/watch?v=AxNyNHYSN60,2023-04-20,1:09,7227,155,11,introducingsensaiyourpersonalcodingmentor.txt
Programiz,Big Announcement - Something Sensational is Coming!,https://www.youtube.com/watch?v=gdsyB7sMh78,2023-04-18,0:29,2886,55,3,bigannouncementsomethingsensationaliscoming.txt
Programiz,Are You a True Python Pro? 😮 Take This Quiz and Find Out! #shorts,https://www.youtube.com/watch?v=IpGgXcDeqnU,2023-03-17,0:58,20105,1160,60,areyouatruepythonprotakethisquizandfindoutshorts.txt
Programiz,Only JavaScript Masters Can Solve These Quizzes!😮 #shorts,https://www.youtube.com/watch?v=nb14SJTbBLU,2023-03-10,1:00,7308,352,11,onlyjavascriptmasterscansolvethesequizzesshorts.txt
Programiz,Python Challenge: Create a Full Pyramid in 30 seconds #shorts,https://www.youtube.com/watch?v=c0pCUwG5nSg,2023-03-03,0:48,10673,593,3,pythonchallengecreateafullpyramidin30secondsshorts.txt
Programiz,😲 Unbelievable Python Trick - Inverted Pyramid Pattern in 1 min #shorts,https://www.youtube.com/watch?v=e5BRrMMHNEY,2023-02-24,0:33,5827,235,1,unbelievablepythontrickinvertedpyramidpatternin1minshorts.txt
Programiz,Most Asked Python Interview Question part 2 (Don't Skip !!😮) #shorts,https://www.youtube.com/watch?v=BOJcoHsbSGI,2023-02-17,0:44,38105,1915,20,mostaskedpythoninterviewquestionpart2dontskipshorts.txt
Programiz,You won't believe what this Python Trick can do in 30 seconds #shorts,https://www.youtube.com/watch?v=AtSbWGhxg68,2023-02-10,0:34,5216,239,3,youwontbelievewhatthispythontrickcandoin30secondsshorts.txt
Programiz,Only Python Masters Can Solve These Quizzes!😮 #shorts,https://www.youtube.com/watch?v=zlfJN3IpfzI,2023-02-03,0:57,14323,668,22,onlypythonmasterscansolvethesequizzesshorts.txt
Programiz,Most Asked Coding Interview Question (Don't Skip !!😮) #shorts,https://www.youtube.com/watch?v=yZhxjkmMOMw,2022-12-02,0:32,477403,16685,309,mostaskedcodinginterviewquestiondontskipshorts.txt
Programiz,#24 JavaScript Number | JavaScript for Beginners Course,https://www.youtube.com/watch?v=ho6wqKpTVTs,2022-11-15,11:26,3734,67,6,24javascriptnumberjavascriptforbeginnerscourse.txt
Programiz,Python Challenge: Candy Distribution Problem #shorts 😮😮,https://www.youtube.com/watch?v=sPr9_nv4MNU,2022-11-11,0:31,6354,207,1,pythonchallengecandydistributionproblemshorts.txt
Programiz,#23 JavaScript for..of and for..in Loop | JavaScript for Beginners Course,https://www.youtube.com/watch?v=IYHI3-ciH5o,2022-11-09,10:53,3069,68,6,23javascriptforofandforinloopjavascriptforbeginnerscourse.txt
Programiz,Python Mini Project : Create BMI Calculator in under 1 minute 😮😮 #shorts,https://www.youtube.com/watch?v=71bpxJxk6Sc,2022-11-04,0:33,24732,1195,5,pythonminiprojectcreatebmicalculatorinunder1minuteshorts.txt
Programiz,"#22 JavaScript map, filter, reduce | JavaScript for Beginners Course",https://www.youtube.com/watch?v=KdWHEeTg7I4,2022-11-02,27:33,2275,36,4,22javascriptmapfilterreducejavascriptforbeginnerscourse.txt
Programiz,#21 JavaScript Array Methods You Must Know | JavaScript for Beginners,https://www.youtube.com/watch?v=z5jqXRM2lFM,2022-10-25,13:05,1935,51,5,21javascriptarraymethodsyoumustknowjavascriptforbeginners.txt
Programiz,#20 JavaScript Arrays | JavaScript for Beginners Course,https://www.youtube.com/watch?v=awUPb3ZU4eU,2022-10-19,9:12,1899,55,10,20javascriptarraysjavascriptforbeginnerscourse.txt
Programiz,#19 String Methods You Must know | JavaScript for Beginners Course,https://www.youtube.com/watch?v=bXyvHITRJe0,2022-10-12,9:47,1907,53,7,19stringmethodsyoumustknowjavascriptforbeginnerscourse.txt
Programiz,#18 JavaScript Strings | JavaScript for Beginners Course,https://www.youtube.com/watch?v=Oay041n15mU,2022-09-28,10:14,1810,53,11,18javascriptstringsjavascriptforbeginnerscourse.txt
Programiz,#17 JavaScript Objects | JavaScript for Beginners Course,https://www.youtube.com/watch?v=EoJeoUT7NMQ,2022-09-21,6:31,5987,81,15,17javascriptobjectsjavascriptforbeginnerscourse.txt
Programiz,C Programming Full Course for Beginners - Learn C in 2022,https://www.youtube.com/watch?v=0Sg6QHmlFJE,2022-09-16,4:45:36,215684,4538,189,cprogrammingfullcourseforbeginnerslearncin2022.txt
Programiz,#16 JavaScript Variable Scope | JavaScript for Beginners,https://www.youtube.com/watch?v=2S-Ed63xjyQ,2022-09-14,8:42,3867,58,11,16javascriptvariablescopejavascriptforbeginners.txt
Programiz,#15 JavaScript Arrow Functions | JavaScript for Beginners,https://www.youtube.com/watch?v=Ivq8hXhyenQ,2022-09-07,8:06,2702,81,8,15javascriptarrowfunctionsjavascriptforbeginners.txt
Programiz,#14 JavaScript Functions | JavaScript for Beginners,https://www.youtube.com/watch?v=t_fCi2spRz0,2022-08-31,13:13,3057,102,10,14javascriptfunctionsjavascriptforbeginners.txt
Programiz,#13 JavaScript Break and Continue | JavaScript for Beginners Course,https://www.youtube.com/watch?v=YZ-e2vKKKe0,2022-08-24,11:06,3621,81,12,13javascriptbreakandcontinuejavascriptforbeginnerscourse.txt
Programiz,#12 JavaScript For Loop | JavaScript for Beginners Course,https://www.youtube.com/watch?v=Y32i2I-Pcc8,2022-08-17,12:38,7342,138,19,12javascriptforloopjavascriptforbeginnerscourse.txt
Programiz,#11 JavaScript While Loop | JavaScript for Beginners Course,https://www.youtube.com/watch?v=RxMXNzHgGrY,2022-08-10,12:08,5108,105,18,11javascriptwhileloopjavascriptforbeginnerscourse.txt
Programiz,#10 JavaScript Switch Statement | JavaScript for Beginners,https://www.youtube.com/watch?v=khPXFqOrlqM,2022-08-03,9:30,4714,98,15,10javascriptswitchstatementjavascriptforbeginners.txt
Programiz,#9 JavaScript Ternary Operator | JavaScript for Beginners,https://www.youtube.com/watch?v=7MG0TnJZyQU,2022-07-27,5:15,3725,84,20,9javascriptternaryoperatorjavascriptforbeginners.txt
Programiz,#8 JavaScript if..else | JavaScript for Beginners,https://www.youtube.com/watch?v=M4IKd-GC9jw,2022-07-20,11:51,6204,117,22,8javascriptifelsejavascriptforbeginners.txt
Programiz,#7 JavaScript Type  conversion | JavaScript for Beginners,https://www.youtube.com/watch?v=aLEBEr9IRK4,2022-07-12,13:59,4905,119,21,7javascripttypeconversionjavascriptforbeginners.txt
Programiz,"#6 JavaScript for Beginners: Booleans, Comparison and Logical Operators",https://www.youtube.com/watch?v=R8jAVrhzpl0,2022-07-06,15:27,5708,127,17,6javascriptforbeginnersbooleanscomparisonandlogicaloperators.txt
Programiz,#5 JavaScript - Operators | JavaScript Tutorials for Beginners Course,https://www.youtube.com/watch?v=sfwadfAxb7s,2022-06-29,17:11,6744,143,23,5javascriptoperatorsjavascripttutorialsforbeginnerscourse.txt
Programiz,#4 JavaScript Comments | JavaScript Tutorial for Beginners Course,https://www.youtube.com/watch?v=tZE759mUaY8,2022-06-22,8:33,4212,108,33,4javascriptcommentsjavascripttutorialforbeginnerscourse.txt
Programiz,#3 User Input in JavaScript | JavaScript for Beginners Course,https://www.youtube.com/watch?v=f-aE2Ia3sXI,2022-06-15,11:33,9597,238,51,3userinputinjavascriptjavascriptforbeginnerscourse.txt
Programiz,"#2 JavaScript Data Types & Variables(let, var, const) | JavaScript for Beginners Course",https://www.youtube.com/watch?v=C95cMXD-Fp8,2022-06-08,19:24,17238,388,63,2javascriptdatatypesvariablesletvarconstjavascriptforbeginnerscourse.txt
Programiz,#1 What is JavaScript? | JavaScript Tutorial for Beginners Course,https://www.youtube.com/watch?v=ApbTHm84rsg,2022-06-01,4:53,25366,701,49,1whatisjavascriptjavascripttutorialforbeginnerscourse.txt
Programiz,Learn to Pronounce AGE  in Programming 😂 (with Programiz),https://www.youtube.com/watch?v=24GcxA-H_aU,2022-05-25,4:47,4027,217,84,learntopronounceageinprogrammingwithprogramiz.txt
Programiz,#30: Preprocesor and Macros | C Programming for Beginners,https://www.youtube.com/watch?v=cmGq62c1Ceg,2022-05-18,9:00,41756,742,62,30preprocesorandmacroscprogrammingforbeginners.txt
Programiz,#29: C File Handling | C Programming for Beginners,https://www.youtube.com/watch?v=MQIF-WMUOL8,2022-05-13,11:45,147964,2557,95,29cfilehandlingcprogrammingforbeginners.txt
Programiz,Python Full Course for Beginners 🐍 - Learn Python in 2022,https://www.youtube.com/watch?v=zPFZy6wKhVA,2022-05-11,5:00:11,194307,3514,122,pythonfullcourseforbeginnerslearnpythonin2022.txt
Programiz,#28: Dynamic Memory Allocation in C | C Programming for Beginners,https://www.youtube.com/watch?v=Dn87Bna23TQ,2022-05-04,12:12,63170,1498,87,28dynamicmemoryallocationinccprogrammingforbeginners.txt
Programiz,#27: Enumerations(enums) in C |  C Programming for Beginners,https://www.youtube.com/watch?v=-N212LgGqik,2022-04-27,8:05,35225,663,58,27enumerationsenumsinccprogrammingforbeginners.txt
Programiz,Easy Python Challenge in 4 lines : Extract extension from Filename #Shorts,https://www.youtube.com/watch?v=zzEopCe3sjg,2022-04-22,0:25,4386,119,2,easypythonchallengein4linesextractextensionfromfilenameshorts.txt
Programiz,#26  C Struct | C Programming for Beginners,https://www.youtube.com/watch?v=gt9YPl6O9ZM,2022-04-20,13:37,77794,1694,84,26cstructcprogrammingforbeginners.txt
Programiz,#25  C Pointers and Functions | C Programming For Beginners,https://www.youtube.com/watch?v=JYHpD9huNR4,2022-04-13,10:01,48809,1036,75,25cpointersandfunctionscprogrammingforbeginners.txt
Programiz,Python Challenge : Easy File Encryption in just 10 lines #Shorts 😮😲,https://www.youtube.com/watch?v=QFcszoYnUbQ,2022-04-08,0:35,11635,502,7,pythonchallengeeasyfileencryptioninjust10linesshorts.txt
Programiz,#24 C Pointers and Arrays | C Programming For Beginners,https://www.youtube.com/watch?v=LscgaBzlGdE,2022-04-06,9:56,77344,1648,117,24cpointersandarrayscprogrammingforbeginners.txt
Programiz,Python Challenge - Extract extension from the Filename #Shorts,https://www.youtube.com/watch?v=6PviNRnQWL8,2022-03-31,0:25,4299,129,0,pythonchallengeextractextensionfromthefilenameshorts.txt
Programiz,#23 C Pointers | C Programming For Beginners,https://www.youtube.com/watch?v=KGhacRRMnDw,2022-03-30,11:01,128101,3235,179,23cpointerscprogrammingforbeginners.txt
Programiz,"Programiz PRO: An Interactive platform to learn to code, the right way",https://www.youtube.com/watch?v=BwpYKKcps7E,2022-03-30,1:02,5444,58,10,programizproaninteractiveplatformtolearntocodetherightway.txt
