channel_name,video_title,video_url,publish_date,video_length,views,likes,comments,transcript_filename,"Tier (1, 2, or 3)"
Programming with Mosh,The Complete Data Analyst Roadmap [2024],https://www.youtube.com/watch?v=YRJbhFLLPyE,8/6/24,4:08,24019,992,88,thecompletedataanalystroadmap2024.txt,2
Programming with Mosh,The Complete Data Science Roadmap [2024],https://www.youtube.com/watch?v=9R3X0JoCLyU,8/1/24,6:13,32785,1713,119,thecompletedatascienceroadmap2024.txt,2
Programming with Mosh,The Complete Web Development Roadmap [2024],https://www.youtube.com/watch?v=GxmfcnU3feo,7/25/24,15:15,70204,3432,201,thecompletewebdevelopmentroadmap2024.txt,2
Programming with Mosh,The Complete Machine Learning Roadmap [2024],https://www.youtube.com/watch?v=7IgVGSaQPaw,7/18/24,5:25,95394,4538,233,thecompletemachinelearningroadmap2024.txt,2
Programming with Mosh,Become a Mobile Developer in 12 Months! 🚀,https://www.youtube.com/watch?v=3ZEMvvDFEdA,7/11/24,0:55,9122,535,17,becomeamobiledeveloperin12months.txt,2
Programming with Mosh,The Complete App Development Roadmap [2024],https://www.youtube.com/watch?v=yye7rSsiV6k,7/4/24,7:52,126899,4810,237,thecompleteappdevelopmentroadmap2024.txt,2
Programming with Mosh,Become a Back-end Developer in 12 Months! 🚀,https://www.youtube.com/watch?v=IQDA39A44AA,6/19/24,0:59,18793,1081,16,becomeabackenddeveloperin12months.txt,2
Programming with Mosh,Become a Frontend Developer in 12 Months! 🚀,https://www.youtube.com/watch?v=CxLdTIIMXuM,6/12/24,0:52,18988,880,12,becomeafrontenddeveloperin12months.txt,2
Programming with Mosh,The Complete Backend Developer Roadmap [2024],https://www.youtube.com/watch?v=OeEHJgzqS1k,6/11/24,8:24,172563,6331,352,thecompletebackenddeveloperroadmap2024.txt,2
Programming with Mosh,The Complete Frontend Developer Roadmap [2024],https://www.youtube.com/watch?v=Tef1e9FiSR0,5/28/24,8:54,199430,8160,365,thecompletefrontenddeveloperroadmap2024.txt,2
