channel_name,video_title,video_url,publish_date,video_length,views,likes,comments,transcript_filename
Scratch Team,Scratch & AI: FaceSensing | Tutorial,https://www.youtube.com/watch?v=uLFh9Fvuj1k,2024-05-27,5:18,19734,481,168,scratchaifacesensingtutorial.txt
Scratch Team,Conditional Statements: Make Interactive Projects (Part 1)| Tutorial,https://www.youtube.com/watch?v=STMtgEsi2Ik,2024-05-13,4:33,8553,133,33,conditionalstatementsmakeinteractiveprojectspart1tutorial.txt
Scratch Team,"Conditional Statements: Nesting, Debugging, and Beyond (Part 2)| Tutorial",https://www.youtube.com/watch?v=1LK7sJVW9EA,2024-05-13,4:01,2816,50,7,conditionalstatementsnestingdebuggingandbeyondpart2tutorial.txt
Scratch Team,Turtle Graphics: Using Pen Blocks in Scratch | Tutorial,https://www.youtube.com/watch?v=AeTVJ7H38BQ,2024-03-11,6:33,18107,224,76,turtlegraphicsusingpenblocksinscratchtutorial.txt
Scratch Team,What Are Variables and Lists in Scratch? (Part 1)| Tutorial,https://www.youtube.com/watch?v=kRJ37shzFp0,2024-02-20,5:07,12855,167,34,whatarevariablesandlistsinscratchpart1tutorial.txt
Scratch Team,Using Variables and Lists in Scratch (Part 2) | Tutorial,https://www.youtube.com/watch?v=bwuwRFvNuW8,2024-02-20,7:15,8491,113,15,usingvariablesandlistsinscratchpart2tutorial.txt
Scratch Team,"Create Your Own Asset Pack, Part 2: Tips and Tricks for Creating an Asset in Scratch | Tutorial",https://www.youtube.com/watch?v=kWgPOkbHdOY,2024-01-22,7:48,10302,122,37,createyourownassetpackpart2tipsandtricksforcreatinganassetinscratchtutorial.txt
Scratch Team,"Create Your Own Asset Pack, Part 3: Remixing and Using Assets in Scratch | Tutorial",https://www.youtube.com/watch?v=hLLWoenXIgo,2024-01-22,3:38,5219,59,9,createyourownassetpackpart3remixingandusingassetsinscratchtutorial.txt
Scratch Team,"Create Your Own Asset Pack, Part 1: What Is a Scratch Asset Pack & Why Should I Make One? | Tutorial",https://www.youtube.com/watch?v=F0cCg0YOh8o,2024-01-22,3:07,10033,110,14,createyourownassetpackpart1whatisascratchassetpackwhyshouldimakeonetutorial.txt
Scratch Team,"Scratch My Blocks, Part 3: Custom Blocks with Parameters | Tutorial",https://www.youtube.com/watch?v=596LEqy6p7M,2023-12-18,3:43,19485,200,61,scratchmyblockspart3customblockswithparameterstutorial.txt
Scratch Team,"Scratch My Blocks, Part 2: Tips and Tricks | Tutorial",https://www.youtube.com/watch?v=LncoieV8m3k,2023-12-04,4:43,19834,241,56,scratchmyblockspart2tipsandtrickstutorial.txt
