channel_name,video_title,video_url,publish_date,video_length,views,likes,comments,transcript_filename
Tech With Tim,Build a Python Website in 15 Minutes With Streamlit,https://www.youtube.com/watch?v=2siBrMsqF44,2024-08-08,18:37,19771,1113,64,buildapythonwebsitein15minuteswithstreamlit.txt
Tech With Tim,How I Would Learn Python in 2024 (if I could start over),https://www.youtube.com/watch?v=DMw8jH0R6Fg,2024-08-05,13:21,36584,1876,85,howiwouldlearnpythonin2024ificouldstartover.txt
Tech With Tim,Full Stack AI Web App Tutorial (TypeScript/React/AI/LLMs),https://www.youtube.com/watch?v=kel893RIvHA,2024-08-02,1:10:21,8399,359,22,fullstackaiwebapptutorialtypescriptreactaillms.txt
Tech With Tim,A CRITICAL Interview Tip for Software Developers,https://www.youtube.com/watch?v=t40mAeJCi3w,2024-07-30,0:59,8202,383,4,acriticalinterviewtipforsoftwaredevelopers.txt
Tech With Tim,Want to Actually GET GOOD at Programming? Try THIS,https://www.youtube.com/watch?v=Dj_FR_5NP1c,2024-07-29,0:57,8397,543,4,wanttoactuallygetgoodatprogrammingtrythis.txt
Tech With Tim,Create a LOCAL Python AI Chatbot In Minutes Using Ollama,https://www.youtube.com/watch?v=d0o89z134CQ,2024-07-27,13:17,30677,1509,104,createalocalpythonaichatbotinminutesusingollama.txt
Tech With Tim,Problem Solving Techniques For Programming - How To Actually Get Good,https://www.youtube.com/watch?v=iHNLEWa7Hew,2024-07-22,27:06,18738,917,39,problemsolvingtechniquesforprogramminghowtoactuallygetgood.txt
Tech With Tim,The Truth About Learning Python in 2024,https://www.youtube.com/watch?v=ZDjaruJ1TYk,2024-07-17,13:05,49666,1706,106,thetruthaboutlearningpythonin2024.txt
Tech With Tim,Master Python With This ONE Project!,https://www.youtube.com/watch?v=Dn1EjhcQk64,2024-07-12,56:54,69215,2960,126,masterpythonwiththisoneproject.txt
Tech With Tim,Docker + GenAI | Deploying AI Apps,https://www.youtube.com/watch?v=Y9YbCvzAwas,2024-07-09,20:39,11311,462,24,dockergenaideployingaiapps.txt
Tech With Tim,Building a $1500 AI Chat Bot in 20 Minutes - Full Tutorial,https://www.youtube.com/watch?v=qY6FL3hfA_E,2024-07-04,20:38,26471,1005,95,buildinga1500aichatbotin20minutesfulltutorial.txt
