channel_name,video_title,video_url,publish_date,video_length,views,likes,comments,transcript_filename
TechWorld with Nana,NGINX Tutorial - What is Nginx,https://www.youtube.com/watch?v=iInUBOVeBCc,2024-08-06,14:32,65551,3663,132,nginxtutorialwhatisnginx.txt
TechWorld with Nana,Top 4 AI Tools for Engineers that are ACTUALLY useful,https://www.youtube.com/watch?v=boEB2fMUZnU,2024-07-03,19:05,45840,1431,66,top4aitoolsforengineersthatareactuallyuseful.txt
TechWorld with Nana,The ONLY Continuous Integration (CI) Tutorial you need as an Engineer,https://www.youtube.com/watch?v=MIWH2CpVyXs,2024-05-30,28:25,52885,1627,54,theonlycontinuousintegrationcitutorialyouneedasanengineer.txt
TechWorld with Nana,Amazon Q - Build on AWS like a Pro using Amazon's new AI coding assistant,https://www.youtube.com/watch?v=cA8KrHFm4So,2024-04-30,28:15,39659,793,46,amazonqbuildonawslikeaprousingamazonsnewaicodingassistant.txt
TechWorld with Nana,GitHub Copilot Tutorial | How useful is it for Cloud and DevOps?,https://www.youtube.com/watch?v=9JGONx_X4ho,2024-03-27,43:43,112908,1764,61,githubcopilottutorialhowusefulisitforcloudanddevops.txt
TechWorld with Nana,JavaScript Tutorial for Beginners [JS Crash Course 2024],https://www.youtube.com/watch?v=FtaQSdrl7YA,2024-02-28,1:37:14,153944,4242,178,javascripttutorialforbeginnersjscrashcourse2024.txt
TechWorld with Nana,1 MILLION Special - Ask me Anything,https://www.youtube.com/watch?v=xbmOByVN5CY,2024-02-08,23:01,25662,1266,243,1millionspecialaskmeanything.txt
TechWorld with Nana,Ultimate Docker Compose Tutorial,https://www.youtube.com/watch?v=SXwC9fSwct8,2024-01-11,1:03:14,160743,4618,219,ultimatedockercomposetutorial.txt
TechWorld with Nana,DevSecOps Tutorial for Beginners | CI Pipeline with GitHub Actions and Docker Scout,https://www.youtube.com/watch?v=gLJdrXPn0ns,2023-12-07,1:20:00,97052,2026,68,devsecopstutorialforbeginnerscipipelinewithgithubactionsanddockerscout.txt
TechWorld with Nana,Consul Service Mesh Tutorial for Beginners [Crash Course],https://www.youtube.com/watch?v=s3I1kKKfjtQ,2023-10-26,1:47:58,67104,1521,104,consulservicemeshtutorialforbeginnerscrashcourse.txt
TechWorld with Nana,Complete DevSecOps Bootcamp - Most Extensive Training OUT NOW 🚀,https://www.youtube.com/watch?v=cdb6ernButc,2023-10-06,42:28,52309,1131,94,completedevsecopsbootcampmostextensivetrainingoutnow.txt
TechWorld with Nana,Kubernetes Roadmap - Complete Step-by-Step Learning Path,https://www.youtube.com/watch?v=S8eX0MxfnB4,2023-08-09,26:58,194479,5133,155,kubernetesroadmapcompletestepbysteplearningpath.txt
TechWorld with Nana,10 DevOps Tools you need to know - The Complete Guide,https://www.youtube.com/watch?v=UMQGyeAnfFE,2023-07-10,11:27,158202,4945,136,10devopstoolsyouneedtoknowthecompleteguide.txt
TechWorld with Nana,What is Platform Engineering and how it fits into DevOps and Cloud world,https://www.youtube.com/watch?v=ghzsBm8vOms,2023-06-07,42:41,147134,3337,182,whatisplatformengineeringandhowitfitsintodevopsandcloudworld.txt
TechWorld with Nana,Cloud Engineer vs DevOps Engineer - Differences and Overlaps of tasks and responsibilities,https://www.youtube.com/watch?v=N1-mhvUghb0,2023-05-08,20:50,230318,5337,187,cloudengineervsdevopsengineerdifferencesandoverlapsoftasksandresponsibilities.txt
TechWorld with Nana,How I became a DevOps Engineer - Minidoc by @Honeypotio ​,https://www.youtube.com/watch?v=drTDBBrfqSE,2023-04-06,11:08,110582,2783,198,howibecameadevopsengineerminidocbyhoneypotio.txt
TechWorld with Nana,Python Automation with ChatGPT,https://www.youtube.com/watch?v=w-X_EQ2Xva4,2023-03-07,1:14:05,271203,6320,260,pythonautomationwithchatgpt.txt
TechWorld with Nana,Docker Crash Course for Absolute Beginners [NEW],https://www.youtube.com/watch?v=pg19Z8LL06w,2023-02-15,1:07:39,1654402,37088,1034,dockercrashcourseforabsolutebeginnersnew.txt
TechWorld with Nana,ChatGPT Tutorial - Use ChatGPT for DevOps tasks to 10x Your Productivity,https://www.youtube.com/watch?v=l-kE11fhfaQ,2023-01-18,1:07:43,654024,9249,322,chatgpttutorialusechatgptfordevopstasksto10xyourproductivity.txt
TechWorld with Nana,A Guide of how to get started in IT in 2024 - Top IT Career Paths,https://www.youtube.com/watch?v=XmWkcePhf84,2022-12-19,37:39,710628,18851,728,aguideofhowtogetstartedinitin2024topitcareerpaths.txt
TechWorld with Nana,Ultimate Course for IT Beginners - From Zero to Engineer [22 Hours Released],https://www.youtube.com/watch?v=Iyfntbj2jWU,2022-11-30,21:23,74168,1598,130,ultimatecourseforitbeginnersfromzerotoengineer22hoursreleased.txt
TechWorld with Nana,Is DevOps right for you? 13 points to consider,https://www.youtube.com/watch?v=Ms_jTcERvMY,2022-11-15,19:27,123028,3367,166,isdevopsrightforyou13pointstoconsider.txt
TechWorld with Nana,From Zero to DevOps Engineer - DevOps Roadmap for YOUR specific background,https://www.youtube.com/watch?v=G_nVMUtaqCk,2022-10-13,25:12,478717,10781,338,fromzerotodevopsengineerdevopsroadmapforyourspecificbackground.txt
TechWorld with Nana,5 reasons I chose DevOps as a Career,https://www.youtube.com/watch?v=2NtiI0Ojczw,2022-09-13,15:08,150493,4694,249,5reasonsichosedevopsasacareer.txt
TechWorld with Nana,"Microservices explained - the What, Why and How?",https://www.youtube.com/watch?v=rv4LlmLmVWk,2022-08-16,18:30,837784,26841,546,microservicesexplainedthewhatwhyandhow.txt
