channel_name,video_title,video_url,publish_date,video_length,views,likes,comments,transcript_filename
griffpatch,"How to code the Perfect ""DOUBLE JUMP"" in Scratch Tutorial 😺",https://www.youtube.com/watch?v=07MG5hUWI1Q,2024-08-03,8:43,19475,752,246,howtocodetheperfectdoublejumpinscratchtutorial.txt
griffpatch,"The BEST Scratch Games 🏆 ""Feed It"" Game Jam",https://www.youtube.com/watch?v=fwCzYRyJBlo,2024-07-26,23:52,24100,690,170,thebestscratchgamesfeeditgamejam.txt
griffpatch,"🦔🛸 How to code ""Spiky"" 🛸🦔 | Scratch Platformer Tutorial e15",https://www.youtube.com/watch?v=P3u96dbBiZ0,2024-07-20,14:38,25577,805,300,howtocodespikyscratchplatformertutoriale15.txt
griffpatch,Goodbye Sweet Enemy - BONUS EPISODE | Scratch Platformer Tutorial e14,https://www.youtube.com/watch?v=wVNWNg9Xprs,2024-07-13,5:38,28883,1053,476,goodbyesweetenemybonusepisodescratchplatformertutoriale14.txt
griffpatch,Next in the Griffpatch Academy - Plants vs. Zombies - Scratch Tutorial 👽,https://www.youtube.com/watch?v=zeA1YGtjCpw,2024-07-04,2:35,33512,1065,524,nextinthegriffpatchacademyplantsvszombiesscratchtutorial.txt
griffpatch,"Scratch Game Jam ""Backwards"" - The Best of June 2024 🏆 Griffpatch Academy",https://www.youtube.com/watch?v=_0o0tvINLFo,2024-07-01,8:30,29884,994,260,scratchgamejambackwardsthebestofjune2024griffpatchacademy.txt
griffpatch,"The Best Games from Scratch Game Jam, May 2024 🏆 Griffpatch Academy",https://www.youtube.com/watch?v=pXMcB7_vBU8,2024-06-01,23:50,64698,1748,412,thebestgamesfromscratchgamejammay2024griffpatchacademy.txt
griffpatch,Scratch Basics - A Beginners Guide to Scratch,https://www.youtube.com/watch?v=zOa5o9Yq_ZU,2024-03-30,5:15,101031,1976,469,scratchbasicsabeginnersguidetoscratch.txt
griffpatch,Griffpatch Academy Tour - From Gamer to Games Creator!,https://www.youtube.com/watch?v=2noISsUvRyE,2024-03-24,7:33,49700,1811,0,griffpatchacademytourfromgamertogamescreator.txt
griffpatch,Griffpatch Academy - Learn Scratch Coding from the Master!,https://www.youtube.com/watch?v=6GtNBUuSAlU,2024-03-02,3:45,153486,3383,767,griffpatchacademylearnscratchcodingfromthemaster.txt
