channel_name,video_title,video_url,publish_date,video_length,views,likes,comments,transcript_filename,"Tier (1, 2, or 3)"
mycodeschool,Graph Representation part 03 - Adjacency List,https://www.youtube.com/watch?v=k1wraWzqtvQ,10/24/16,27:50:00,432477,6489,682,graphrepresentationpart03adjacencylist.txt,2
mycodeschool,Graph Representation part 02 - Adjacency Matrix,https://www.youtube.com/watch?v=9C2cpQZVRBA,2/20/15,14:45,535034,4593,193,graphrepresentationpart02adjacencymatrix.txt,2
mycodeschool,Graph Representation part 01 - Edge List,https://www.youtube.com/watch?v=ZdY1Fp9dKzs,1/24/15,13:45,474765,4497,128,graphrepresentationpart01edgelist.txt,2
mycodeschool,Data structures: Properties of Graphs,https://www.youtube.com/watch?v=AfYqN3fGapc,9/16/14,15:16,476925,5346,172,datastructurespropertiesofgraphs.txt,2
mycodeschool,Data structures: Introduction to graphs,https://www.youtube.com/watch?v=gXgEDyodOJU,9/2/14,16:43,961676,12639,382,datastructuresintroductiontographs.txt,2
mycodeschool,Maximum sum sub-array,https://www.youtube.com/watch?v=ohHWQf1HDfU,6/23/14,18:29,386936,3239,230,maximumsumsubarray.txt,2
mycodeschool,Using Arithmetic Operators - C Programming Tutorial 07,https://www.youtube.com/watch?v=vvpDbhqPrww,6/3/14,16:12,140198,1187,50,usingarithmeticoperatorscprogrammingtutorial07.txt,2
mycodeschool,Find merge point of two linked list,https://www.youtube.com/watch?v=gE0GopCq378,5/29/14,12:48,107924,1303,121,findmergepointoftwolinkedlist.txt,2
mycodeschool,Input and Output:  Printf and Scanf - C Programming Tutorial 06,https://www.youtube.com/watch?v=xOIVXR35aI4,5/28/14,17:19,277551,2784,99,inputandoutputprintfandscanfcprogrammingtutorial06.txt,2
mycodeschool,Inorder Successor in a binary search tree,https://www.youtube.com/watch?v=5cPbNCrdotA,5/17/14,17:58,359681,3319,169,inordersuccessorinabinarysearchtree.txt,2
mycodeschool,Find height of a binary tree,https://www.youtube.com/watch?v=_pnqMz5nrRs,5/17/14,7:09,564943,4760,219,findheightofabinarytree.txt,2
mycodeschool,Delete a node from Binary Search Tree,https://www.youtube.com/watch?v=gcULXE7ViZw,5/1/14,18:27,1172193,14027,668,deleteanodefrombinarysearchtree.txt,2
mycodeschool,Check if a binary tree is binary search tree or not,https://www.youtube.com/watch?v=yEwSGhSsT0U,4/19/14,16:30,377164,3659,264,checkifabinarytreeisbinarysearchtreeornot.txt,2
mycodeschool,"Binary tree traversal: Preorder, Inorder, Postorder",https://www.youtube.com/watch?v=gm8DUJJhmY4,4/7/14,14:29,955429,9774,387,binarytreetraversalpreorderinorderpostorder.txt,2
mycodeschool,Binary tree: Level Order Traversal,https://www.youtube.com/watch?v=86g8jAQug04,3/13/14,11:23,602895,7088,318,binarytreelevelordertraversal.txt,2
mycodeschool,Direction of a point from a line segment,https://www.youtube.com/watch?v=VMVuKpj_RQQ,3/4/14,12:04,23375,318,27,directionofapointfromalinesegment.txt,2
mycodeschool,Binary tree traversal - breadth-first and depth-first strategies,https://www.youtube.com/watch?v=9RHO6jU--GU,2/26/14,11:54,797176,7546,192,binarytreetraversalbreadthfirstanddepthfirststrategies.txt,2
mycodeschool,Find min and max element in a binary search tree,https://www.youtube.com/watch?v=Ut90klNN264,2/13/14,5:48,355047,2781,78,findminandmaxelementinabinarysearchtree.txt,2
mycodeschool,BST implementation -  memory allocation in stack and heap,https://www.youtube.com/watch?v=hWokyBoo0aI,2/10/14,13:04,299042,3383,156,bstimplementationmemoryallocationinstackandheap.txt,2
mycodeschool,Binary search tree - Implementation in C/C++,https://www.youtube.com/watch?v=COZK7NATh4k,2/4/14,18:36,1342881,13864,606,binarysearchtreeimplementationincc.txt,2
mycodeschool,Data structures: Binary Search Tree,https://www.youtube.com/watch?v=pYT9F8_LFTM,1/25/14,19:28,1348434,12930,384,datastructuresbinarysearchtree.txt,2
mycodeschool,Data structures: Binary Tree,https://www.youtube.com/watch?v=H5JubkIy_p8,1/18/14,16:17,1465302,13647,383,datastructuresbinarytree.txt,2
mycodeschool,Data structures: Introduction to Trees,https://www.youtube.com/watch?v=qH6yxkw0u78,1/12/14,15:50,1490724,18932,453,datastructuresintroductiontotrees.txt,2
mycodeschool,Analysis of quicksort,https://www.youtube.com/watch?v=3Bbm3Prd5Fo,12/16/13,20:17,309792,2846,162,analysisofquicksort.txt,2
mycodeschool,Area of polygon,https://www.youtube.com/watch?v=WAyPIMme3Yw,12/9/13,13:58,40168,522,29,areaofpolygon.txt,2
mycodeschool,Infix to Postfix using stack,https://www.youtube.com/watch?v=vq-nUF0G4fI,12/9/13,18:20,747978,7366,345,infixtopostfixusingstack.txt,2
mycodeschool,Evaluation of Prefix and Postfix expressions using stack,https://www.youtube.com/watch?v=MeRb_1bddWg,11/29/13,14:10,628653,6195,270,evaluationofprefixandpostfixexpressionsusingstack.txt,2
mycodeschool,"Infix, Prefix and Postfix",https://www.youtube.com/watch?v=jos1Flt21is,11/26/13,13:38,918652,8441,273,infixprefixandpostfix.txt,2
mycodeschool,Data structures: Linked List implementation of Queue,https://www.youtube.com/watch?v=A5_XdiK4J8A,11/17/13,14:17,535646,5446,230,datastructureslinkedlistimplementationofqueue.txt,2
mycodeschool,Doubly Linked List - Implementation in C/C++,https://www.youtube.com/watch?v=VOQNf1VxU3Q,11/13/13,15:21,583622,5502,280,doublylinkedlistimplementationincc.txt,2
mycodeschool,Data structures: Introduction to Doubly Linked List,https://www.youtube.com/watch?v=JdQeNxWCguQ,11/12/13,7:13,504643,4008,85,datastructuresintroductiontodoublylinkedlist.txt,2
mycodeschool,Data structures: Array implementation of Queue,https://www.youtube.com/watch?v=okr-XE8yTO8,11/6/13,14:59,876276,8993,381,datastructuresarrayimplementationofqueue.txt,2
mycodeschool,Data structures: Introduction to Queues,https://www.youtube.com/watch?v=XuCbpw6Bj1U,11/1/13,9:19,526217,5168,134,datastructuresintroductiontoqueues.txt,2
mycodeschool,Check for balanced parentheses using stack,https://www.youtube.com/watch?v=QZOLb0xHB_Q,10/29/13,14:13,471934,5058,194,checkforbalancedparenthesesusingstack.txt,2
mycodeschool,Reverse a string or linked list using stack.,https://www.youtube.com/watch?v=hNP72JdOIgY,10/15/13,16:25,384134,2730,184,reverseastringorlinkedlistusingstack.txt,2
mycodeschool,GCD using Euclid's algorithm,https://www.youtube.com/watch?v=7HCd074v8g8,10/10/13,15:33,63767,998,61,gcdusingeuclidsalgorithm.txt,2
mycodeschool,Data Structures: Linked List implementation of stacks,https://www.youtube.com/watch?v=MuwxQ2IB8lQ,10/10/13,10:58,634140,5314,206,datastructureslinkedlistimplementationofstacks.txt,2
mycodeschool,Data structures: Array implementation of stacks,https://www.youtube.com/watch?v=sFVxsglODoo,10/8/13,13:09,851086,7156,299,datastructuresarrayimplementationofstacks.txt,2
mycodeschool,Data structures: Introduction to stack,https://www.youtube.com/watch?v=F1F2imiOJfk,10/1/13,8:26,603531,5368,138,datastructuresintroductiontostack.txt,2
mycodeschool,Function pointers and callbacks,https://www.youtube.com/watch?v=sxTFSDAZM8s,9/28/13,15:19,334003,4157,179,functionpointersandcallbacks.txt,2
mycodeschool,Function Pointers in C / C++,https://www.youtube.com/watch?v=ynYtgGUNelE,9/22/13,11:57,434290,6155,259,functionpointersincc.txt,2
mycodeschool,Pointers and multidimensional arrays,https://www.youtube.com/watch?v=_j5lhHWkbnQ,9/18/13,16:45,243428,2650,146,pointersandmultidimensionalarrays.txt,2
mycodeschool,Pointers and 2-D arrays,https://www.youtube.com/watch?v=sHcnvZA2u88,9/7/13,12:19,482514,5735,307,pointersand2darrays.txt,2
mycodeschool,mycodeschool.com - Walk-through and Getting started.,https://www.youtube.com/watch?v=g7ORxNolZOM,9/6/13,2:31,4429,70,25,mycodeschoolcomwalkthroughandgettingstarted.txt,2
mycodeschool,"Data types, Constants and Variables - C Programming Tutorial 05",https://www.youtube.com/watch?v=OSyjOvFbAGI,8/25/13,16:08,175374,1427,54,datatypesconstantsandvariablescprogrammingtutorial05.txt,2
mycodeschool,Installing and configuring gcc / g++ on Windows.,https://www.youtube.com/watch?v=lqzuR2USKRM,8/16/13,3:09,154869,890,55,installingandconfiguringgccgonwindows.txt,2
mycodeschool,Working with Integrated Development Environments (IDEs): C Programming Tutorial 04,https://www.youtube.com/watch?v=4LbarXsdEbM,8/14/13,10:58,103090,617,38,workingwithintegrateddevelopmentenvironmentsidescprogrammingtutorial04.txt,2
mycodeschool,Writing and executing your first program: C Programming Tutorial 03,https://www.youtube.com/watch?v=aMpsKnf6DrQ,8/14/13,9:26,228060,1746,81,writingandexecutingyourfirstprogramcprogrammingtutorial03.txt,2
mycodeschool,Basics of computer's memory and Getting started: C Programming Tutorial 02,https://www.youtube.com/watch?v=xyBbocLXbNY,8/14/13,9:37,221361,2417,66,basicsofcomputersmemoryandgettingstartedcprogrammingtutorial02.txt,2
mycodeschool,Introduction to programming and programming languages: C Programming Tutorial 01,https://www.youtube.com/watch?v=AWliApDc61w,8/14/13,17:22,751723,7372,272,introductiontoprogrammingandprogramminglanguagescprogrammingtutorial01.txt,2
mycodeschool,Quicksort algorithm,https://www.youtube.com/watch?v=COk73cpQbFQ,7/23/13,20:39,1864861,18219,1001,quicksortalgorithm.txt,2
mycodeschool,Analysis of Merge sort algorithm,https://www.youtube.com/watch?v=0nlPxaC2lTw,7/6/13,18:21,542975,4318,208,analysisofmergesortalgorithm.txt,2
mycodeschool,Merge sort algorithm,https://www.youtube.com/watch?v=TzeBrDU-JaY,7/2/13,18:20,2262004,22237,1224,mergesortalgorithm.txt,2
mycodeschool,Insertion sort algorithm,https://www.youtube.com/watch?v=i-SKeOcBwko,6/12/13,14:15,1579657,13750,486,insertionsortalgorithm.txt,2
mycodeschool,Bubble sort algorithm,https://www.youtube.com/watch?v=Jdtq5uKz-w4,6/7/13,10:24,1756172,14709,410,bubblesortalgorithm.txt,2
mycodeschool,Selection sort algorithm,https://www.youtube.com/watch?v=GUDLRan2DWM,6/7/13,10:18,1296695,9944,364,selectionsortalgorithm.txt,2
mycodeschool,Introduction to sorting algorithms,https://www.youtube.com/watch?v=pkkFqlG0Hds,6/7/13,8:57,945575,6895,185,introductiontosortingalgorithms.txt,2
mycodeschool,Print 2-D array in spiral order,https://www.youtube.com/watch?v=siKFOI8PNKM,5/22/13,10:13,228438,2703,179,print2darrayinspiralorder.txt,2
mycodeschool,Memory leak in C/C++,https://www.youtube.com/watch?v=F2nrej6Kjww,5/8/13,17:55,243210,4369,333,memoryleakincc.txt,2
mycodeschool,Reverse a linked list using recursion,https://www.youtube.com/watch?v=KYH83T4q6Vs,5/2/13,8:55,606558,5075,331,reversealinkedlistusingrecursion.txt,2
mycodeschool,Print elements of a linked list in forward and reverse order using recursion,https://www.youtube.com/watch?v=K7J3nCeRC80,4/30/13,14:24,357945,2571,144,printelementsofalinkedlistinforwardandreverseorderusingrecursion.txt,2
mycodeschool,Reverse a linked list - Iterative method,https://www.youtube.com/watch?v=sYcOK51hl-A,4/29/13,13:50,774515,6999,316,reversealinkedlistiterativemethod.txt,2
mycodeschool,Character arrays and pointers - part 2,https://www.youtube.com/watch?v=vFZTxvUoZSU,4/25/13,10:01,270939,3026,160,characterarraysandpointerspart2.txt,2
mycodeschool,Character arrays and pointers - part 1,https://www.youtube.com/watch?v=Bf8a6IC1dE8,4/24/13,14:41,547991,5590,326,characterarraysandpointerspart1.txt,2
mycodeschool,Pointers to Pointers in C/C++,https://www.youtube.com/watch?v=d3kd5KbGB48,4/20/13,9:21,535841,6820,335,pointerstopointersincc.txt,2
mycodeschool,Pointers as function returns in C/C++,https://www.youtube.com/watch?v=E8Yh4dw6Diw,4/13/13,15:15,278802,4263,237,pointersasfunctionreturnsincc.txt,2
mycodeschool,Linked List in C/C++ - Delete a node at nth position,https://www.youtube.com/watch?v=Y0n86K43GO4,4/10/13,12:30,542005,3832,303,linkedlistinccdeleteanodeatnthposition.txt,2
mycodeschool,Linked List in C/C++ - Insert a node at nth position,https://www.youtube.com/watch?v=IbvsNF22Ud0,4/9/13,15:15,728747,4864,358,linkedlistinccinsertanodeatnthposition.txt,2
mycodeschool,Linked List in C/C++ - Inserting a node at beginning,https://www.youtube.com/watch?v=cAZ8CyDY56s,4/6/13,12:50,1153230,8205,579,linkedlistinccinsertinganodeatbeginning.txt,2
mycodeschool,Linked List - Implementation in C/C++,https://www.youtube.com/watch?v=vcQIFT79_50,4/4/13,13:58,1625357,13266,575,linkedlistimplementationincc.txt,2
mycodeschool,Data Structures: Arrays vs Linked Lists,https://www.youtube.com/watch?v=lC-yYCOnN8Q,4/2/13,12:16,791868,7081,240,datastructuresarraysvslinkedlists.txt,2
mycodeschool,Introduction to linked list,https://www.youtube.com/watch?v=NobHlGUjV3g,3/28/13,17:13,1676068,19101,887,introductiontolinkedlist.txt,2
mycodeschool,Data Structures: List as abstract data type,https://www.youtube.com/watch?v=HdFG8L1sajw,3/25/13,13:08,1109890,8545,258,datastructureslistasabstractdatatype.txt,2
mycodeschool,Introduction to data structures,https://www.youtube.com/watch?v=92S4zgXN17o,3/25/13,6:33,2993254,19188,558,introductiontodatastructures.txt,2
mycodeschool,Arrays as function arguments,https://www.youtube.com/watch?v=CpjVucvAc3g,3/19/13,12:54,376069,4563,240,arraysasfunctionarguments.txt,2
mycodeschool,Dynamic memory allocation in C - malloc calloc realloc free,https://www.youtube.com/watch?v=xDVC3wKjS64,3/5/13,17:35,880870,12353,541,dynamicmemoryallocationincmalloccallocreallocfree.txt,2
mycodeschool,Pointers and dynamic memory - stack vs heap,https://www.youtube.com/watch?v=_8-ht2AKyH4,2/23/13,17:26,1477601,29149,1033,pointersanddynamicmemorystackvsheap.txt,2
mycodeschool,Pointers and arrays,https://www.youtube.com/watch?v=ASVB8KAFypk,2/20/13,8:43,642698,7367,271,pointersandarrays.txt,2
mycodeschool,"Pointer types, pointer arithmetic, void pointers",https://www.youtube.com/watch?v=JTttg85xsbo,2/18/13,10:57,486147,6480,428,pointertypespointerarithmeticvoidpointers.txt,2
mycodeschool,Pointers as function arguments - call by reference,https://www.youtube.com/watch?v=LW8Rfh6TzGg,2/16/13,14:16,484569,6917,348,pointersasfunctionargumentscallbyreference.txt,2
mycodeschool,Search element in a circular sorted array,https://www.youtube.com/watch?v=uufaK2uLnSI,2/12/13,12:22,123775,1310,60,searchelementinacircularsortedarray.txt,2
mycodeschool,How many times is a sorted array rotated?,https://www.youtube.com/watch?v=4qjprDkJrjY,2/11/13,13:03,171623,1624,153,howmanytimesisasortedarrayrotated.txt,2
mycodeschool,Count occurrences of a number in a sorted array with duplicates using Binary Search,https://www.youtube.com/watch?v=pLT_9jwaPLs,2/8/13,12:25,243100,1949,96,countoccurrencesofanumberinasortedarraywithduplicatesusingbinarysearch.txt,2
mycodeschool,Binary Search - Recursive implementation,https://www.youtube.com/watch?v=-bQ4UzUmWe8,1/30/13,9:10,160965,1688,67,binarysearchrecursiveimplementation.txt,2
mycodeschool,Binary search - finding first or last occurrence of a number,https://www.youtube.com/watch?v=OE7wUUpJw6I,1/27/13,10:27,352607,2129,99,binarysearchfindingfirstorlastoccurrenceofanumber.txt,2
