channel_name,video_title,video_url,publish_date,video_length,views,likes,comments,transcript_filename,"Tier (1, 2, or 3)"
thenewboston,The Singularity - Tutorial 1 - Architecture,https://www.youtube.com/watch?v=OB1qs56g0VA,7/25/24,25:53:00,6445,153,15,thesingularitytutorial1architecture.txt,2
thenewboston,Prompt Engineering for Beginners - Tutorial 19 - Building Your Own ChatGPT (part 2),https://www.youtube.com/watch?v=C2_nVCUegKw,6/24/24,7:26,4270,113,10,promptengineeringforbeginnerstutorial19buildingyourownchatgptpart2.txt,2
thenewboston,Prompt Engineering for Beginners - Tutorial 18 - Building Your Own ChatGPT (part 1),https://www.youtube.com/watch?v=Reujw-HcTps,5/21/24,31:13:00,5454,129,12,promptengineeringforbeginnerstutorial18buildingyourownchatgptpart1.txt,2
thenewboston,LLM Application Development - Tutorial 5 - Long Term Memory,https://www.youtube.com/watch?v=Hb3v7zcu6UY,4/15/24,16:40,5725,132,16,llmapplicationdevelopmenttutorial5longtermmemory.txt,2
thenewboston,LLM Application Development - Tutorial 4 - Routing,https://www.youtube.com/watch?v=1xmaUjeCjjc,4/15/24,10:00,3046,76,3,llmapplicationdevelopmenttutorial4routing.txt,2
thenewboston,LLM Application Development - Tutorial 3 - RAG,https://www.youtube.com/watch?v=QGORdKKzEkY,4/12/24,28:56:00,3359,90,14,llmapplicationdevelopmenttutorial3rag.txt,2
thenewboston,LLM Application Development - Tutorial 2 - Evaluations,https://www.youtube.com/watch?v=goW1ssfTQzU,4/12/24,22:08,2405,58,4,llmapplicationdevelopmenttutorial2evaluations.txt,2
thenewboston,Prompt Engineering for Beginners - Tutorial 17 - Anthropic Claude 3,https://www.youtube.com/watch?v=_7zmngXU3vE,3/24/24,14:26,13552,178,8,promptengineeringforbeginnerstutorial17anthropicclaude3.txt,2
thenewboston,Prompt Engineering for Beginners - Tutorial 16 - Anthropic,https://www.youtube.com/watch?v=t8QuD3s9GsI,3/2/24,8:27,36027,249,15,promptengineeringforbeginnerstutorial16anthropic.txt,2
thenewboston,Prompt Engineering for Beginners - Tutorial 15 - Evaluation Pipeline,https://www.youtube.com/watch?v=8hW-OjwpwMk,2/12/24,10:13,25685,233,14,promptengineeringforbeginnerstutorial15evaluationpipeline.txt,2
thenewboston,Prompt Engineering for Beginners - Tutorial 14 - Creating Prompt Templates,https://www.youtube.com/watch?v=jSVVsD3H7zs,1/23/24,12:51,7589,132,0,promptengineeringforbeginnerstutorial14creatingprompttemplates.txt,2
thenewboston,Prompt Engineering for Beginners - Tutorial 13 - Embeddings,https://www.youtube.com/watch?v=g14Rkur1SCw,1/8/24,10:29,27655,284,14,promptengineeringforbeginnerstutorial13embeddings.txt,2
thenewboston,Prompt Engineering for Beginners - Tutorial 12 - Large Text Summarizer,https://www.youtube.com/watch?v=ROCEdC_lN9Y,12/31/23,16:52,66058,401,9,promptengineeringforbeginnerstutorial12largetextsummarizer.txt,2
thenewboston,Prompt Engineering for Beginners - Tutorial 11 - Image Variation,https://www.youtube.com/watch?v=2BPDwDoiw3E,12/8/23,4:13,24127,214,16,promptengineeringforbeginnerstutorial11imagevariation.txt,2
thenewboston,Prompt Engineering for Beginners - Tutorial 10 - Image Generation,https://www.youtube.com/watch?v=LMtUAg6K2_E,12/6/23,7:05,36705,330,19,promptengineeringforbeginnerstutorial10imagegeneration.txt,2
thenewboston,Prompt Engineering for Beginners - Tutorial 9 - Scoring,https://www.youtube.com/watch?v=He4V-qn188k,11/28/23,7:31,24672,217,7,promptengineeringforbeginnerstutorial9scoring.txt,2
thenewboston,Prompt Engineering for Beginners - Tutorial 8 - Prompt Templates,https://www.youtube.com/watch?v=jnXoWCJIlUQ,11/14/23,20:52,14357,180,4,promptengineeringforbeginnerstutorial8prompttemplates.txt,2
thenewboston,Prompt Engineering for Beginners - Tutorial 7 - New OpenAI Updates,https://www.youtube.com/watch?v=ZVllQ9BEt2U,11/8/23,4:50,8129,89,16,promptengineeringforbeginnerstutorial7newopenaiupdates.txt,2
thenewboston,Prompt Engineering for Beginners - Tutorial 6 - PromptLayer,https://www.youtube.com/watch?v=B5usn2_XQVE,11/2/23,11:05,24462,211,9,promptengineeringforbeginnerstutorial6promptlayer.txt,2
thenewboston,Prompt Engineering for Beginners - Tutorial 5 - Function Calling,https://www.youtube.com/watch?v=zgnFyw19neg,10/26/23,22:05,38023,356,11,promptengineeringforbeginnerstutorial5functioncalling.txt,2
