Channel Name (HANDLE),Video Title,Video URL,Transcript Link,,,,,,,BatchID,,,,,,,
GirlsWhoCode,"Meet Miriam Haart, engineering student and star of Netflix's ‚ÄúMy Unorthodox Life.‚Äù #shorts",https://www.youtube.com/watch?v=9gNXz6-RFjQ," Transcript: Meet Miriam Haart, Engineering Student and Star of Netflix's ""My Unorthodox Life""",2/3/23,0:25,2461,33,3,meetmiriamhaartengineeringstudentandstarofnetflixsmyunorthodoxlifeshorts.txt,,,,,,,,
GirlsWhoCode,Girls Who Code's #MarchForSisterhood on Day of the Girl 2019,https://www.youtube.com/watch?v=UQanaiSxQqw,Transcript: Girls Who Code's #MarchForSisterhood on Day of the Girl 2019,10/11/19,1:01,7597,66,17,girlswhocodesmarchforsisterhoodondayofthegirl2019.txt,,,,,,,,
GirlsWhoCode,Join the Movement to #PayItForward,https://www.youtube.com/watch?v=HwzY8kOjAgw,Transcript: Join the Movement to #PayItForward,8/22/16,1:06,2201,28,2,jointhemovementtopayitforward.txt,,,,,,,,
GirlsWhoCode,Watch Girls Who Code on the next episode of CBS Mission Unstoppable. #shorts #girlswhocode,https://www.youtube.com/watch?v=DlAuRg-uo4Q,Transcript: Watch Girls Who Code on the Next Episode of CBS Mission Unstoppable,5/19/23,1:00,303,14,0,watchgirlswhocodeonthenextepisodeofcbsmissionunstoppableshortsgirlswhocode.txt,,,,,,,,
GirlsWhoCode,"SISTERHOOD ‚Ä¢ ""Outro"" (Featuring Gia Grier, Girls Who Code Alumni)",https://www.youtube.com/watch?v=BcULmLwT4jc,Transcript: Sisterhood Outro Featuring Gia Grier - Girls Who Code Alumni,10/11/18,3:45,1510,25,1,sisterhoodoutrofeaturinggiagriergirlswhocodealumni.txt,,,,,,,,
GirlsWhoCode,The Truth Behind Us: A Girls Who Code Project,https://www.youtube.com/watch?v=c_UEDlxUQUk,Transcript: The Truth Behind USA Girls Who Code Project,3/5/18,2:10,6622,93,3,thetruthbehindusagirlswhocodeproject.txt,,,,,,,,
GirlsWhoCode,"SISTERHOOD ‚Ä¢ ""On Being"" (Featuring Robin M√°xkii, technology activist)",https://www.youtube.com/watch?v=GLL1h3Kt0HI,"Transcript: SISTERHOOD - ""On Being"" (Featuring Robin Mǎxkii, Technology Activist)",10/11/18,1:17,808,18,0,sisterhoodonbeingfeaturingrobinmxkiitechnologyactivist.txt,,,,,,,,
GirlsWhoCode,Girls Who Code: Technical Interview Prep,https://www.youtube.com/watch?v=SFp9H2kKRNQ,Transcript: girlswhocodetechnicalinterviewprep (2022),11/15/22,1:44,757,18,1,girlswhocodetechnicalinterviewprep.txt (drive only) (2022),,,,,,,,
Khan Academy - Hour of Code,Worldwide,https://youtu.be/KsOIlDT145A,,,,,,,,,,,,,,,
BlackGirlsCode,Black Girls CODE Bay Area Summer Camp 2022,Black Girls CODE Bay Area Summer Camp 2022,Transcript: Black Girls CODE Bay Area Summer Camp 2022,2022-10-06,1:44,369,6,0,blackgirlscodebayareasummercamp2022.txt,1,,,,,,,Fri 6/28/2024
