channel_name,video_title,video_url,publish_date,video_length,views,likes,comments,transcript_filename,"Tier (1, 2, or 3)"
AlvinBlox,How To Make A Roblox Game - 2023 Beginner Tutorial!,https://www.youtube.com/watch?v=vCpl5M_9mcQ,12/8/18,23:03,4957965,97290,11790,howtomakearobloxgame2023beginnertutorial.txt,2
AlvinBlox,Roblox How To Script - Beginners Roblox Scripting Tutorial,https://www.youtube.com/watch?v=yc_d8Zh95l0,6/22/18,45:20:00,2230998,58752,8054,robloxhowtoscriptbeginnersrobloxscriptingtutorial.txt,2
AlvinBlox,How To Make A Roblox Game In 20 Minutes (2023),https://www.youtube.com/watch?v=rWUbmR9EmLU,9/1/19,20:01,2806139,52314,5054,howtomakearobloxgamein20minutes2023.txt,2
AlvinBlox,Roblox How To Code - How To Script On Roblox - Episode 1,https://www.youtube.com/watch?v=BfLUt3mfJiY,7/21/19,20:14,2242063,50127,6854,robloxhowtocodehowtoscriptonrobloxepisode1.txt,2
AlvinBlox,How To Make A Piggy Game In Roblox - Piggy / Granny Tutorial - Ep 1,https://www.youtube.com/watch?v=qYcRJ9khljg,4/25/20,34:16:00,1520966,46490,8017,howtomakeapiggygameinrobloxpiggygrannytutorialep1.txt,2
AlvinBlox,How To Make A Simulator Game On Roblox - Part 1,https://www.youtube.com/watch?v=0UhMpxxRFyc,1/26/19,26:27:00,2010473,36722,12249,howtomakeasimulatorgameonrobloxpart1.txt,2
AlvinBlox,How pro Roblox developers learnt to script,https://www.youtube.com/watch?v=fivk8yp-VT4,1/23/21,10:03,847081,32856,1543,howprorobloxdeveloperslearnttoscript.txt,2
AlvinBlox,How To Add Admin Commands In Your Roblox Game - HD Admin [1],https://www.youtube.com/watch?v=8_wMQLJF5ds,3/3/19,7:23,2011171,29820,3171,howtoaddadmincommandsinyourrobloxgamehdadmin1.txt,2
AlvinBlox,Beginner Roblox Scripting Tutorial 2 - Referencing & More Properties,https://www.youtube.com/watch?v=_K7stCkqFBY,7/29/19,11:05,568987,29269,1377,beginnerrobloxscriptingtutorial2referencingmoreproperties.txt,2
AlvinBlox,How To Script On Roblox - Episode 1 (Properties),https://www.youtube.com/watch?v=aX0Kw_txrIY,3/5/21,10:48,954836,27110,2282,howtoscriptonrobloxepisode1properties.txt,2
AlvinBlox,Beginner Roblox Scripting Tutorial 4 - Variables,https://www.youtube.com/watch?v=NOLxgJnFahE,8/28/19,17:34,400562,13933,1425,beginnerrobloxscriptingtutorial4variables.txt,2
AlvinBlox,How To Make A Roblox Game - Episode 2,https://www.youtube.com/watch?v=1MappXJ51Oo,12/9/18,23:56,643778,13758,4156,howtomakearobloxgameepisode2.txt,2
AlvinBlox,How To Make A Story Game On Roblox - Episode 1,https://www.youtube.com/watch?v=hmaewyY0vHo,10/29/21,34:45:00,513921,13329,1793,howtomakeastorygameonrobloxepisode1.txt,2
AlvinBlox,"Beginner Roblox Scripting Tutorial 3 - Dice Game (Properties,Referencing Part 2]",https://www.youtube.com/watch?v=jugxDNrrdRY,8/6/19,10:21,393164,13194,1304,beginnerrobloxscriptingtutorial3dicegamepropertiesreferencingpart2.txt,2
AlvinBlox,Roblox Loading Screen Tutorial (Read Description),https://www.youtube.com/watch?v=rb6lUFCtvgc,4/3/19,5:27,508053,12149,2752,robloxloadingscreentutorialreaddescription.txt,2
AlvinBlox,How To Make An EGG HATCHING SYSTEM - Roblox Studio Scripting Tutorial,https://www.youtube.com/watch?v=wip3VN-LUA0,5/29/20,44:46:00,484190,12131,2694,howtomakeanegghatchingsystemrobloxstudioscriptingtutorial.txt,2
AlvinBlox,Roblox Obby Checkpoint Tutorial,https://www.youtube.com/watch?v=Aa83VYif6VA,3/28/20,10:58,405836,10589,1814,robloxobbycheckpointtutorial.txt,2
AlvinBlox,Roblox Cutscene Script Tutorial,https://www.youtube.com/watch?v=A3JFj7ugqKg,5/31/20,7:36,384831,10380,2013,robloxcutscenescripttutorial.txt,2
